nquest,comprens,ita,veroaf,veroab,verored,klima,facil,INTS,durata
36130,5,5,5,5,5,6,5,5,45
36164,8,7,8,8,7,7,7,8,78
36186,10,10,10,10,10,10,10,10,39
36250,8,8,7,8,7,8,7,7,59
36321,8,8,8,8,8,9,8,8,62
36333,10,10,10,10,10,10,10,10,52
36378,5,6,6,6,6,6,5,6,63
36403,5,5,5,7,5,5,4,6,50
36409,8,8,8,8,8,8,8,8,65
36443,10,10,10,10,10,10,10,10,47
36450,10,10,10,10,10,10,10,10,49
36522,10,10,9,10,10,10,10,10,100
36524,7,8,8,9,8,9,7,7,76
36697,8,8,8,8,8,9,9,8,68
36893,8,8,8,8,8,8,8,8,70
37001,8,8,8,9,9,8,8,8,101
37011,8,8,8,8,8,8,8,8,47
37299,8,8,8,8,9,9,9,9,27
37459,9,9,8,7,7,9,8,8,54
37521,9,9,9,9,9,9,9,9,57
37665,8,9,8,8,8,8,8,8,35
37677,9,9,9,9,8,9,9,9,67
37810,9,9,9,9,9,9,9,9,25
38014,8,8,8,9,10,10,8,8,56
38095,8,8,8,8,7,8,7,7,33
38106,10,10,10,10,10,10,10,10,35
38135,10,10,10,10,10,10,10,10,74
38272,10,10,8,10,10,10,8,10,51
38316,8,8,7,8,8,7,6,8,103
38349,8,8,8,8,8,9,8,8,69
38554,8,8,9,9,9,9,9,9,87
38877,8,7,8,6,6,7,8,8,23
38885,8,7,7,9,9,10,9,9,105
38939,9,9,9,9,9,10,9,9,63
38940,9,9,9,9,9,9,9,9,37
38957,9,9,9,9,9,9,9,9,45
38979,9,9,9,9,9,9,9,9,37
38992,8,8,8,8,7,9,8,8,82
39056,10,10,10,10,8,10,10,5,90
39086,9,9,9,9,9,9,9,9,83
39095,9,9,9,9,9,9,9,9,94
39218,8,8,8,8,8,8,8,8,42
39227,9,9,9,9,9,9,9,9,67
39284,7,8,7,8,9,10,7,9,86
39317,8,9,9,8,9,9,9,9,32
39318,10,10,10,10,10,10,10,9,94
39351,10,10,10,10,10,10,10,10,60
39488,10,10,10,10,10,10,10,10,37
39491,10,10,10,10,10,10,10,10,72
39697,10,9,7,8,9,9,8,8,33
50052,9,9,9,9,9,10,9,9,41
50060,9,10,10,10,10,10,10,9,67
50085,9,9,9,9,9,9,9,9,35
50231,8,8,8,8,8,8,8,9,34
50232,9,9,9,9,9,9,9,9,15
51013,7,8,8,8,8,8,8,7,48
51363,7,6,7,8,10,10,6,7,72
51444,9,10,10,9,10,10,10,9,130
51467,5,4,4,4,5,6,4,4,50
51544,9,10,10,10,10,10,10,8,93
51733,8,8,8,8,8,8,8,8,58
51895,10,10,10,10,10,10,10,10,25
52700,7,8,8,9,7,8,8,8,43
52718,8,7,7,7,8,7,8,8,54
52736,8,8,8,9,8,9,9,8,80
53008,9,9,9,9,10,9,10,8,56
53028,6,7,8,8,8,8,7,8,29
53086,7,7,7,8,7,10,7,7,52
53109,6,7,7,8,7,10,6,7,47
53202,7,7,7,8,8,5,7,8,42
53234,8,7,7,7,7,9,7,7,31
53373,8,8,8,8,8,8,8,8,43
53380,9,9,8,9,8,9,9,9,40
53520,10,10,10,10,10,10,10,10,51
53549,10,10,10,10,10,10,10,10,52
53552,9,8,8,9,6,6,8,8,44
53564,10,10,10,10,10,10,10,10,61
53596,10,9,8,9,8,8,8,8,74
53871,8,9,8,7,8,8,8,5,45
53997,10,10,10,10,10,10,10,10,77
54143,8,8,7,8,9,9,8,7,54
55147,8,8,8,8,8,7,7,7,79
55308,4,4,4,4,4,4,4,4,17
55425,10,10,10,10,10,10,10,10,59
55430,10,7,6,7,7,6,5,7,45
55636,10,10,10,10,10,10,10,10,69
55774,7,8,8,8,9,9,8,8,55
56251,6,8,7,10,10,9,7,7,55
56465,8,10,8,9,9,9,9,9,45
56563,6,7,7,7,5,7,6,6,37
56582,9,9,9,9,9,9,9,9,85
56603,10,9,10,6,8,6,5,6,97
56624,10,10,10,9,8,7,7,7,78
56658,7,8,8,7,9,8,8,9,31
56677,7,6,6,7,8,8,7,9,31
56721,10,9,10,10,10,9,9,9,44
56761,7,7,6,8,6,7,6,6,64
56762,7,7,7,9,9,9,7,7,55
57027,9,9,9,9,9,9,9,9,61
57042,7,7,7,6,8,7,7,7,38
57138,8,8,8,8,8,8,7,8,47
57546,9,9,8,8,9,9,9,9,77
57547,8,8,6,8,6,8,8,8,62
57621,10,10,10,10,10,10,10,10,77
57670,8,8,7,8,7,6,7,7,110
57779,10,10,10,10,10,10,10,10,49
57962,9,9,8,8,8,8,8,6,78
58366,10,10,9,9,8,8,8,6,78
60078,10,10,10,10,8,10,10,10,41
