nquest,comprens,ita,veroaf,veroab,verored,klima,facil,INTS,durata
852140,7,7,7,7,7,7,7,7,82
852204,9,8,6,8,7,8,7,6,50
852283,10,10,10,10,10,10,10,10,53
852304,10,10,10,10,5,10,10,10,41
852321,8,7,8,7,8,8,8,7,38
852330,7,7,7,7,8,7,7,7,19
852332,8,7,7,7,7,7,7,7,36
852554,10,10,10,10,10,10,10,10,55
852573,5,6,7,8,8,8,7,7,66
852574,10,8,9,9,10,9,9,9,61
852595,5,6,6,7,6,7,6,7,29
852658,7,6,6,7,6,6,6,6,20
852762,8,8,8,8,8,8,8,8,100
853073,9,9,9,9,9,9,9,8,55
853175,4,5,4,5,4,5,4,4,40
853279,8,7,8,8,8,8,8,8,61
853296,8,8,8,7,8,8,8,7,48
853318,9,9,9,9,9,9,8,8,61
853352,8,8,8,9,9,9,9,9,61
853354,9,7,7,7,7,7,7,6,45
853565,7,9,6,7,8,9,7,6,52
853569,10,10,10,9,9,10,10,10,58
853617,8,8,8,8,8,8,8,8,67
853765,8,8,7,8,8,7,8,7,30
853801,7,8,8,8,8,8,7,7,55
853849,9,9,9,9,9,9,9,9,24
853854,9,9,9,9,9,9,9,9,27
853875,7,7,5,6,5,8,7,7,40
853911,10,8,7,7,6,5,6,3,73
854058,10,10,10,10,10,10,10,10,84
854070,10,10,10,10,10,10,10,10,72
854074,10,10,10,10,10,10,10,10,78
854078,10,10,10,10,10,10,10,10,55
854081,10,10,10,10,8,10,10,9,84
854108,8,8,8,9,8,8,9,8,116
854112,7,8,7,8,8,8,8,8,136
854163,9,9,9,9,9,9,8,9,51
854188,8,7,7,8,8,7,7,7,37
854197,7,6,8,7,8,6,6,6,42
854223,9,6,5,6,6,7,7,7,38
854306,10,10,10,10,10,10,9,9,48
854346,10,10,10,8,6,10,10,10,52
854352,1,3,3,7,7,5,1,1,23
854385,6,8,8,8,7,8,7,6,39
854393,10,10,10,10,10,10,10,10,27
854406,10,10,10,10,10,10,10,10,30
854435,10,10,10,10,10,10,10,10,50
854460,10,9,8,8,7,8,8,7,26
854501,10,10,10,10,10,10,10,10,63
854534,10,10,10,10,10,10,10,10,61
854535,10,10,10,10,7,10,10,10,62
854554,7,6,8,10,10,10,6,7,67
854559,10,10,9,10,10,10,10,10,52
854592,5,10,10,10,10,10,10,10,30
854593,7,8,5,6,4,9,8,7,32
854714,7,8,8,8,7,7,7,7,34
854730,9,9,9,10,10,9,9,10,61
854762,9,8,9,8,8,9,9,8,33
854858,10,7,7,8,8,10,8,8,73
854862,7,6,6,7,6,8,8,6,68
854970,7,7,7,7,7,7,7,7,34
855004,10,10,10,10,10,10,10,10,36
855035,10,10,10,10,10,10,10,10,50
855088,7,7,8,8,8,8,8,8,57
855111,8,8,8,8,8,8,8,8,52
855135,8,8,8,8,8,8,8,8,51
855181,8,8,8,7,7,8,8,4,38
855238,10,10,10,10,10,10,10,10,63
855259,9,9,9,9,9,9,9,9,85
855268,8,8,8,8,8,8,8,8,28
855295,9,9,9,9,9,9,9,9,20
855308,9,9,9,9,9,9,9,9,34
855344,10,10,10,10,10,10,10,10,90
855371,8,8,8,8,8,8,8,8,73
855376,9,9,9,9,9,9,9,9,56
855396,10,10,10,10,10,10,10,10,62
855402,9,9,9,9,9,9,9,9,46
855417,10,10,10,10,10,10,10,10,43
855468,7,7,7,7,7,7,7,7,60
855534,8,8,7,9,7,8,8,8,75
855681,9,9,9,9,9,9,9,9,78
855685,8,8,7,7,7,8,8,8,64
855780,7,7,7,8,7,8,8,8,51
855790,10,10,10,10,10,10,10,10,47
855792,8,8,8,8,8,8,8,8,36
855809,7,7,7,7,7,7,7,7,32
855839,8,9,8,8,8,9,8,8,74
855991,9,8,8,8,8,8,8,8,43
856128,10,10,8,8,8,8,7,8,66
856134,9,9,9,4,4,8,8,9,32
856150,9,8,9,9,9,8,8,9,39
856177,9,9,9,9,9,9,9,9,144
856218,9,9,9,9,9,9,9,9,26
856297,10,10,10,10,10,10,10,10,65
856322,7,8,8,8,8,8,8,7,50
856327,8,8,8,8,8,8,8,8,35
856328,10,10,8,10,10,10,10,10,41
856363,6,5,5,7,7,5,5,5,47
856374,8,7,7,8,8,7,7,7,54
856430,10,10,10,10,10,10,10,10,45
856674,10,10,9,9,9,9,9,9,88
856688,9,9,6,9,6,9,8,8,78
856708,10,10,9,9,9,9,9,8,148
856731,9,8,9,9,8,8,8,8,93
856759,7,5,5,6,5,7,6,6,69
856963,6,5,6,6,7,8,7,7,61
857044,6,7,7,9,9,9,9,6,56
857107,10,10,9,10,9,10,10,10,59
857172,9,9,9,9,9,9,9,9,18
857273,10,8,9,10,9,8,8,9,54
857353,7,7,8,7,8,7,7,7,104
857398,9,9,9,9,9,9,9,9,70
857466,8,8,8,8,8,7,8,8,67
857467,8,7,7,7,7,8,8,7,96
857514,8,8,8,8,8,7,8,8,64
857521,8,8,9,9,9,7,7,7,36
857549,8,6,8,9,9,8,7,8,30
857621,8,7,7,7,6,8,6,6,35
857670,8,8,8,8,8,9,8,8,69
857679,8,8,8,8,8,8,8,9,115
857718,8,8,8,8,8,8,8,8,58
857741,8,8,7,8,8,9,8,8,58
857856,2,2,7,2,2,7,2,5,77
857914,10,10,10,10,10,10,10,10,31
858214,8,9,8,8,8,8,8,8,29
858238,8,9,8,9,9,9,9,7,31
858353,10,10,10,10,10,10,10,10,76
858445,7,7,5,6,5,7,7,5,43
858474,10,10,8,7,5,7,7,6,67
858481,8,9,9,8,9,10,8,8,58
858534,10,10,10,10,10,10,10,10,59
858712,8,8,9,9,10,9,6,7,34
858735,7,6,6,9,8,6,6,6,45
858811,9,9,9,10,10,8,10,9,68
859244,7,7,8,9,9,8,7,8,58
859261,9,9,9,9,9,9,9,9,114
859293,9,9,9,9,9,9,9,9,96
859321,10,10,10,10,7,10,7,10,91
859360,9,9,9,9,9,9,9,9,30
859449,7,7,8,8,8,10,7,8,49
859456,10,10,10,10,10,10,10,10,69
859459,10,10,10,10,10,10,10,10,117
859507,7,8,7,9,6,8,8,6,55
859573,9,9,8,9,6,9,8,8,49
859587,9,9,9,9,9,9,8,9,52
859588,8,9,9,9,9,8,8,7,47
859592,8,9,8,9,9,9,8,9,67
859597,8,8,7,10,9,8,8,7,45
859611,9,9,6,9,8,9,9,9,53
859616,9,10,8,9,8,9,9,8,44
859696,8,8,8,8,5,8,8,8,33
859908,9,9,9,9,9,9,9,9,31
859913,9,9,9,9,9,9,9,9,27
859920,9,9,9,9,9,9,9,9,63
859946,7,7,7,7,7,7,7,7,60
859993,10,10,10,10,10,10,10,10,25
860092,10,8,8,10,10,10,10,10,62
860095,10,10,10,10,10,10,10,10,35
860127,10,10,10,10,10,10,10,10,46
860164,9,9,9,9,8,9,9,9,60
860182,8,8,8,8,8,9,9,9,51
860328,10,10,10,10,10,10,10,10,54
860353,10,8,5,5,5,8,8,8,75
860381,9,10,10,10,7,10,10,10,75
860525,10,10,10,10,10,10,7,9,106
860573,9,9,9,10,10,10,9,9,64
860684,10,10,8,10,10,10,10,10,31
860688,9,9,7,8,8,9,10,10,57
860704,10,9,9,9,9,8,8,6,44
860726,10,9,10,10,10,9,9,7,60
860757,10,10,10,10,10,10,10,10,38
860780,10,10,10,10,10,10,10,10,32
860783,4,4,2,4,4,2,2,1,26
860787,8,8,8,8,8,10,10,10,35
860799,8,8,8,8,5,8,8,8,66
860820,8,8,8,8,8,8,8,8,40
860826,7,7,7,8,8,6,7,7,33
860900,10,10,10,10,10,10,10,10,88
860929,9,10,10,10,10,8,9,9,34
860940,10,10,10,10,10,10,10,7,56
860963,8,6,5,6,6,5,5,3,39
860977,8,6,5,5,5,8,6,6,46
860985,9,6,5,5,7,7,6,4,102
861061,9,8,7,9,6,9,9,7,49
861065,9,6,7,6,6,8,7,7,64
861272,7,6,9,8,7,8,8,7,49
861452,10,10,10,10,10,10,10,10,33
861471,10,10,10,10,10,10,10,10,82
861502,9,9,9,9,9,9,9,9,63
861508,6,7,7,4,2,2,5,7,47
861578,6,6,6,9,9,9,9,3,30
861581,7,7,7,8,8,9,9,5,46
861584,8,9,8,8,6,7,9,5,44
861731,10,10,10,10,10,10,10,10,44
861752,8,8,8,8,8,8,8,8,42
861850,10,10,10,10,10,10,10,10,45
861949,10,9,9,8,9,10,10,9,41
861954,9,9,10,9,8,8,8,10,64
861992,10,10,10,10,10,10,10,10,8
862003,8,7,8,9,9,8,8,7,42
862007,7,7,6,7,8,9,7,7,36
862012,8,8,8,8,8,8,8,8,39
862062,8,9,8,8,8,9,7,7,51
862075,4,4,4,5,5,3,3,2,25
862080,9,9,9,9,8,9,8,8,81
862146,10,10,10,10,7,10,10,10,56
862150,10,10,9,10,10,10,10,10,41
862168,10,10,10,10,10,10,10,10,61
862302,10,10,8,10,8,10,10,9,52
862303,7,6,8,6,7,6,6,6,20
862314,7,7,7,7,7,8,7,7,51
862358,10,9,9,9,9,9,8,9,29
862416,10,10,10,10,10,10,10,10,34
862424,7,7,7,7,8,8,7,7,112
862455,10,9,7,7,8,8,8,8,36
862462,10,10,10,10,10,10,10,10,44
862466,10,10,10,10,7,10,10,10,71
862503,10,10,10,10,10,10,10,10,95
862583,10,10,10,10,10,10,10,10,75
862590,9,9,9,9,9,9,9,9,24
862604,10,10,10,10,10,10,10,10,25
862789,10,10,8,10,10,8,8,7,43
862824,7,7,7,10,7,9,7,8,47
862826,7,7,7,7,7,7,7,7,30
862853,8,8,8,8,8,9,9,8,78
862877,10,10,10,10,10,10,10,10,89
862939,9,9,9,9,9,9,9,9,53
863078,7,6,7,7,7,6,6,6,115
863087,6,6,6,6,6,6,6,6,83
863099,7,8,7,8,8,8,8,8,43
863223,8,8,9,9,7,8,9,8,76
863239,10,10,9,9,8,10,10,9,95
863308,10,10,10,10,10,10,10,10,91
863331,10,7,7,10,10,9,8,5,61
863333,8,9,9,9,9,8,8,8,57
863387,7,6,5,5,5,6,6,6,75
863397,10,10,10,10,10,10,10,10,78
863402,8,8,8,8,8,10,8,8,74
863430,8,8,7,7,8,8,8,7,32
863447,7,7,8,8,7,9,8,8,29
863451,8,8,8,9,8,7,7,8,30
863458,8,8,7,8,8,8,8,9,25
863542,8,7,9,10,10,9,9,8,39
863575,8,9,9,9,9,9,8,7,32
863673,10,10,10,10,9,10,10,10,66
863684,10,10,10,10,10,10,10,10,46
863863,9,9,9,9,9,9,9,9,56
864040,9,9,8,8,7,8,8,7,46
864120,8,9,8,8,8,8,9,8,54
864133,5,6,6,7,7,7,7,6,48
864138,9,9,6,7,8,9,8,7,31
864156,7,8,6,9,7,10,7,9,65
864213,8,9,9,9,9,9,9,9,38
864395,5,5,5,8,8,8,8,5,27
864441,6,6,6,7,8,8,8,7,26
864452,8,8,8,9,8,9,9,8,34
864456,10,7,7,7,7,8,7,7,33
864457,8,5,5,7,6,5,5,4,39
864458,10,7,7,8,6,8,8,7,26
864473,10,10,10,10,10,10,10,10,79
864477,10,10,10,10,8,10,10,10,81
864482,10,10,10,10,10,10,10,10,53
864754,8,8,6,7,6,8,7,6,27
864809,10,10,10,10,8,10,10,9,40
865142,10,10,10,10,10,10,10,10,32
865155,8,8,8,8,8,8,8,8,50
865192,9,9,9,9,9,9,9,9,33
865202,9,9,9,9,9,9,9,9,59
865323,9,9,8,8,8,9,9,8,127
865357,9,9,9,8,9,9,9,9,117
865481,6,6,5,5,4,8,8,6,71
865483,10,10,10,7,5,10,10,10,52
865491,7,9,7,10,4,10,9,8,40
865494,10,10,10,10,10,10,10,10,55
865498,10,10,10,8,8,10,10,10,54
865500,10,10,10,10,10,10,10,10,54
865504,10,10,7,7,7,10,10,10,53
865515,5,10,4,10,6,8,8,5,20
865680,7,9,10,10,10,10,9,9,38
865764,5,4,4,6,6,5,3,2,36
865780,8,6,7,8,5,6,6,5,40
865806,9,9,9,9,9,10,10,10,148
865882,7,7,7,7,7,7,6,6,38
866028,9,9,8,8,9,8,8,8,75
866035,7,5,6,8,8,7,6,7,39
866041,7,5,6,8,8,5,5,6,42
866071,10,10,10,10,10,10,10,10,64
866106,10,10,10,10,10,10,10,10,42
866220,8,7,7,8,7,8,8,8,26
866382,10,10,10,10,10,10,10,10,36
866386,10,10,10,10,10,10,10,10,36
866387,10,10,10,10,10,10,10,10,36
866452,6,6,6,7,6,7,6,6,27
866489,6,6,5,9,9,8,4,6,27
866507,9,9,9,7,9,9,9,9,57
866541,5,5,5,5,5,5,5,5,40
866855,9,8,8,9,8,8,8,7,38
866960,10,10,10,10,5,10,10,10,60
866985,7,8,8,9,8,8,8,8,37
867003,6,7,8,8,8,8,8,8,59
867008,8,8,8,6,8,8,8,8,47
867019,8,8,8,9,7,7,7,7,53
867025,8,8,8,9,7,8,8,8,43
867090,5,4,4,5,4,3,4,4,24
867104,10,10,10,8,8,10,10,10,38
867114,8,8,7,8,7,9,8,9,33
867201,9,9,9,9,9,9,9,9,69
867205,9,9,9,9,9,9,9,9,105
867275,8,8,8,10,9,8,8,8,67
867318,10,10,10,10,10,10,8,6,39
867344,10,10,10,10,10,10,10,10,81
867373,9,10,10,10,10,10,10,10,86
867433,7,7,7,7,7,7,7,7,29
867462,7,9,7,8,8,8,8,8,121
867498,9,9,9,9,9,10,9,9,102
867505,10,10,10,10,10,10,10,10,36
867522,9,9,9,9,9,9,9,9,41
867653,6,6,6,7,7,9,7,7,54
867674,8,8,7,9,8,6,7,8,33
867686,10,10,10,10,10,10,10,10,48
867784,9,9,8,8,8,9,9,7,114
867799,9,9,9,9,9,9,9,9,47
867801,9,9,9,9,9,9,9,9,37
867914,10,10,10,10,10,10,10,10,47
867925,6,6,4,8,8,3,3,4,44
867929,5,5,5,5,5,5,5,5,65
867993,10,10,10,10,10,10,10,10,62
868013,8,8,8,8,8,8,8,8,43
868093,10,9,9,10,9,10,10,10,88
868098,10,10,10,10,10,10,10,10,93
868165,8,8,8,8,8,8,8,8,56
868231,6,5,6,7,7,7,6,7,24
868264,10,10,10,10,10,10,10,10,51
868280,6,6,6,6,6,8,6,6,47
868283,7,8,7,8,7,9,7,8,80
868294,8,8,7,7,7,7,7,7,48
868337,10,10,10,10,10,9,10,9,38
868406,7,7,7,7,7,7,7,7,60
868456,10,10,8,10,9,7,8,8,70
868463,10,8,9,9,9,9,9,9,54
868474,10,10,10,9,9,9,9,9,50
868478,10,10,9,9,9,9,9,9,77
868483,10,8,8,6,8,9,8,7,51
868489,7,8,8,8,8,8,7,8,36
868500,8,8,8,8,8,8,8,8,58
868504,8,8,6,7,7,7,8,8,36
868505,7,8,8,8,8,8,8,9,49
868564,8,7,7,8,7,7,7,5,33
868583,9,9,9,9,8,10,10,9,97
868697,5,4,4,5,4,5,4,5,67
868805,4,5,5,4,5,7,5,5,58
868843,7,7,7,9,9,10,8,8,58
869003,9,10,10,10,9,10,9,10,60
869006,10,10,10,9,9,10,10,10,54
869019,7,6,6,6,5,6,5,6,53
869021,9,10,10,10,10,10,10,10,74
869022,8,8,8,8,8,8,8,8,47
869023,10,7,7,8,8,7,7,7,49
869042,7,7,7,7,7,7,7,7,56
869043,9,7,8,9,8,8,8,7,36
871009,8,9,8,7,8,9,9,8,45
871078,10,10,10,10,10,10,10,10,44
871085,10,10,10,10,10,10,10,10,53
871090,8,8,10,10,8,8,8,10,77
871145,5,6,6,5,4,5,5,4,33
871191,10,10,10,10,10,10,10,10,128
871218,6,6,6,7,8,6,6,6,46
871237,9,9,9,9,9,9,9,9,128
871242,7,6,6,6,9,6,6,6,41
871268,7,7,7,9,9,7,7,7,38
871272,9,9,9,9,7,9,9,9,27
871273,10,10,10,8,7,10,10,9,44
871320,9,9,9,9,9,9,9,9,45
871385,9,9,9,9,9,9,9,9,60
871395,9,9,9,9,9,9,9,9,47
871412,8,8,8,8,8,8,8,8,116
871440,10,10,10,10,10,10,10,10,48
871442,10,10,9,10,10,10,9,10,42
871461,10,10,10,10,10,10,10,10,46
871470,10,10,10,10,10,10,10,10,44
871517,10,10,10,10,10,10,10,10,70
871521,9,9,8,9,8,10,8,8,54
871533,8,8,8,8,8,10,8,8,64
871572,10,10,10,10,10,10,10,10,27
871580,8,8,8,8,7,7,7,7,49
871610,6,7,7,6,7,7,6,6,40
871617,7,9,8,8,8,7,8,8,48
871618,9,9,9,10,9,9,9,9,56
871631,8,7,6,6,6,6,8,5,95
871634,9,8,8,7,7,8,8,8,32
871642,6,8,8,8,8,8,6,7,30
871695,6,7,6,6,4,10,9,10,53
871697,6,6,6,6,6,6,4,5,73
871747,9,9,10,9,9,8,9,9,52
871798,10,6,8,10,10,10,10,10,60
871807,10,10,10,10,10,10,10,10,47
871811,10,10,10,10,10,10,10,10,68
871886,10,10,10,10,10,10,10,10,35
871892,10,10,10,10,10,10,10,10,25
871903,10,10,10,10,10,10,10,10,62
872005,7,6,10,10,10,7,6,6,39
872027,9,9,9,9,9,9,9,9,32
872065,10,10,10,10,10,8,7,9,34
872073,10,10,10,10,10,10,10,10,39
872077,10,7,10,9,10,8,9,10,56
872082,10,10,10,10,8,10,10,10,36
872107,10,10,10,10,8,10,10,9,53
872112,10,10,10,10,10,10,10,10,70
872122,10,8,7,10,8,10,10,10,67
872125,8,8,7,8,6,9,6,8,89
872133,7,9,6,8,6,10,8,6,118
872161,10,10,10,10,10,10,10,10,57
872166,8,8,8,8,8,9,8,8,30
872190,10,10,10,10,10,10,10,10,113
872192,10,10,8,10,10,10,10,10,46
872199,8,8,8,8,8,8,8,8,49
872217,9,7,5,10,10,7,7,5,34
872228,6,6,8,8,6,7,7,7,38
872229,10,10,7,10,10,10,10,10,47
872233,8,8,8,10,10,10,10,10,33
872261,8,8,8,8,8,8,8,8,72
872306,9,8,7,8,8,8,8,7,54
872312,9,8,9,9,9,9,8,7,32
872357,10,10,10,10,10,10,10,10,76
872367,6,6,5,8,5,5,5,7,34
872377,10,10,10,10,10,10,10,10,15
872385,8,5,8,7,8,8,9,7,43
872407,7,8,7,8,8,7,7,8,33
872413,9,8,8,7,8,8,7,7,22
872417,7,8,7,7,8,7,7,6,24
872422,8,7,8,8,7,8,8,8,27
872432,7,6,8,7,5,8,4,9,217
872433,8,8,7,8,8,8,8,8,26
872434,8,8,7,6,8,7,6,7,34
872443,8,8,9,7,8,8,8,7,38
872450,7,7,7,7,7,7,7,7,103
872555,7,7,7,7,7,7,7,7,51
872556,7,7,7,7,7,7,7,7,68
872572,6,6,6,6,6,6,6,6,54
872583,9,8,8,8,8,8,8,8,46
872602,10,8,8,8,8,8,8,8,65
872619,10,9,9,9,9,9,9,9,61
872633,8,6,5,7,4,9,10,8,52
872646,8,6,6,7,8,9,8,8,65
872661,10,9,6,9,5,10,10,10,81
872698,3,5,4,8,8,8,5,4,34
872702,4,4,4,4,4,5,4,4,29
872710,10,10,10,10,10,10,10,10,30
872732,8,8,9,9,9,8,8,8,51
872747,9,8,9,9,9,8,8,8,63
872748,10,10,10,10,10,10,10,10,60
872750,10,10,10,10,10,10,10,10,84
872781,8,8,8,8,7,9,9,6,79
872794,5,6,6,7,6,7,6,7,59
872795,1,2,3,7,8,3,6,1,38
872847,7,7,7,7,7,7,7,7,45
872919,6,6,6,7,7,6,5,6,39
872924,10,10,10,10,10,10,10,10,58
872930,10,10,10,10,10,10,6,10,71
872935,7,8,8,10,8,9,7,7,46
872951,8,8,8,8,8,8,8,8,80
872963,8,8,7,8,7,8,7,7,106
873011,9,9,8,8,8,9,8,7,59
873023,9,8,8,7,8,8,8,7,45
873037,7,6,6,7,6,6,6,6,42
873042,6,6,5,6,5,7,6,6,57
873043,6,6,6,7,6,7,7,7,56
873048,7,8,7,8,7,7,7,8,68
873052,6,6,6,6,6,6,6,6,70
873072,8,8,8,8,8,8,9,8,45
873073,8,9,8,8,8,9,9,9,62
873133,6,5,5,7,7,5,5,2,27
873157,9,7,8,8,8,8,8,5,30
873158,8,8,7,8,8,8,8,8,35
873166,9,9,9,8,5,8,8,4,62
873194,10,10,9,9,9,10,10,8,101
873202,10,10,9,9,8,9,10,10,78
873207,9,10,9,9,10,9,9,9,67
873221,10,10,10,10,10,10,10,9,62
873224,8,8,8,8,8,9,9,8,58
873231,6,6,6,6,6,7,6,6,54
873232,8,8,8,8,8,8,8,8,31
873243,10,10,10,10,10,10,10,10,45
873260,5,5,5,5,5,5,5,5,76
873272,9,9,9,9,9,9,9,9,46
873275,9,9,9,10,9,10,10,10,51
873279,10,9,10,9,10,9,10,9,105
873280,10,10,10,10,10,10,10,10,99
873281,10,10,10,9,9,10,9,9,90
873282,9,10,10,9,9,9,9,9,73
873286,9,9,10,9,9,10,9,9,50
873287,10,10,10,10,10,10,10,10,44
873299,9,9,9,9,9,9,9,9,60
873337,10,10,10,10,10,10,10,10,24
873380,9,9,9,9,9,9,9,9,96
873390,9,9,9,9,9,10,9,8,33
873399,7,7,7,7,7,7,7,7,58
873401,7,7,7,7,7,7,7,7,75
873402,6,6,6,6,6,6,6,6,41
873457,8,8,8,8,8,8,8,8,34
873490,10,10,10,10,10,10,10,10,58
873491,10,10,10,10,10,10,10,10,34
873559,8,8,8,8,8,7,9,8,23
873588,5,6,6,5,5,6,6,6,35
873597,7,7,8,8,8,7,6,7,38
873607,6,5,5,6,6,7,6,6,115
873674,9,9,9,9,9,9,9,9,39
873772,7,7,7,7,7,7,7,7,44
873788,10,10,6,7,8,10,8,8,95
873791,10,10,8,8,9,10,9,9,66
873809,10,10,10,10,10,10,10,10,144
873811,10,8,10,9,8,10,10,10,114
873859,8,8,8,8,8,8,7,8,59
874026,8,8,7,7,7,8,8,8,43
874111,9,9,9,9,9,9,9,9,29
874115,8,5,5,7,6,8,8,7,30
874134,6,6,6,6,6,6,6,6,29
874152,7,7,7,6,5,8,7,8,35
874157,6,7,7,7,5,8,6,7,28
874163,8,9,8,3,8,9,7,8,29
874168,8,7,7,5,5,8,7,7,32
874213,10,10,10,10,10,10,10,9,64
874225,8,10,8,10,6,10,8,8,95
874249,8,9,9,8,9,10,10,8,97
874274,8,7,8,9,9,9,8,8,44
874278,8,7,7,8,8,8,8,9,35
874294,8,8,8,8,7,9,8,8,26
874312,9,8,9,9,9,9,9,9,54
874323,10,10,10,10,10,10,10,10,79
874325,10,10,10,10,10,10,10,10,68
874330,10,10,10,10,10,10,10,10,49
874347,10,10,10,10,10,10,10,10,76
874350,10,10,10,10,10,10,10,10,47
874375,7,7,7,9,9,6,7,7,125
874376,6,5,5,5,4,5,6,6,74
874392,7,7,8,8,8,7,8,7,73
874404,5,6,5,3,2,3,4,5,58
874514,8,8,8,8,8,8,8,8,86
874515,8,8,8,8,8,8,8,8,107
874517,8,8,8,8,8,8,8,8,94
874545,9,9,9,9,9,9,9,9,53
874556,9,9,9,9,9,9,9,9,74
874587,9,9,8,9,9,6,6,7,35
874593,10,10,10,10,10,10,10,10,48
874597,10,10,10,10,10,6,8,6,34
874607,7,9,8,8,9,9,7,7,37
874612,4,4,4,7,5,2,3,2,46
874631,10,10,10,10,10,10,10,10,30
874670,8,10,8,8,8,10,10,10,49
874681,10,9,8,8,8,8,8,8,28
874704,9,8,9,8,8,8,9,6,39
874705,9,8,8,8,8,9,7,8,49
874717,9,8,7,8,8,8,8,8,22
874745,10,10,10,10,7,10,10,10,60
874756,10,10,10,10,10,10,10,10,81
874761,10,10,7,9,7,8,8,8,65
874777,7,8,8,10,10,10,5,7,38
874791,6,7,9,10,10,7,7,8,44
874877,9,8,8,8,8,7,7,8,35
874891,7,6,7,7,7,7,7,7,30
874947,6,6,7,7,6,7,7,7,63
874961,8,8,8,8,8,8,8,8,28
875011,10,9,9,9,10,9,9,10,51
875017,9,9,9,8,9,8,8,9,33
875020,9,8,8,9,10,9,9,9,29
875027,9,10,10,9,9,9,10,10,29
875028,10,9,9,10,10,10,10,10,23
875044,7,8,8,8,8,8,8,8,59
875088,8,8,8,8,9,9,9,9,65
875095,9,8,8,8,7,8,8,7,73
875096,9,9,8,8,7,9,8,8,78
875100,9,8,8,8,8,8,7,7,47
875126,9,10,9,9,9,10,9,10,65
875139,8,8,10,10,10,10,8,10,94
875154,8,9,8,8,8,10,8,8,52
875184,8,8,7,7,8,8,7,8,42
875206,9,9,9,7,8,8,8,8,153
875211,8,7,8,8,9,8,8,8,88
875214,8,9,8,8,9,9,8,8,96
875217,8,9,8,9,8,8,8,9,178
875221,7,7,6,7,6,7,7,7,68
875224,6,6,6,6,8,7,5,6,73
875280,10,10,10,10,10,10,10,10,51
875281,8,8,8,8,8,9,8,8,65
875293,8,9,8,8,8,8,8,7,91
875326,6,7,7,8,8,8,6,7,37
875336,8,8,8,8,7,9,7,7,32
875341,6,6,6,7,7,7,6,6,40
875365,8,8,8,8,8,8,8,8,31
875382,8,8,8,8,6,8,8,8,35
875415,7,8,6,8,5,6,7,2,43
875426,8,8,8,8,8,9,8,8,71
875431,7,6,5,6,5,3,3,3,37
875436,6,6,6,7,4,6,5,3,33
875439,5,5,5,6,5,4,4,2,39
875449,5,5,6,6,5,5,5,2,40
875452,2,2,4,7,7,7,2,2,33
875514,8,8,8,8,8,8,8,8,69
875523,9,9,9,9,9,9,9,9,55
875527,9,9,9,9,9,9,9,9,50
875528,7,7,7,6,6,6,6,6,55
875539,6,6,6,6,6,6,6,6,41
875542,9,9,9,9,9,9,9,9,44
875548,9,9,9,9,9,9,9,9,26
875557,9,9,8,9,9,8,9,8,35
875562,9,9,9,9,9,9,9,9,42
875568,9,9,9,9,9,9,9,9,33
875573,9,9,9,9,9,9,9,9,26
875577,9,9,9,9,9,9,9,9,22
875582,9,9,9,9,9,9,9,9,19
875585,9,9,9,9,9,9,9,9,50
875602,10,10,10,10,10,10,10,10,70
875606,10,10,10,10,10,10,10,10,85
875623,9,9,10,10,10,10,8,10,60
875635,9,9,9,9,9,9,9,9,50
875649,8,8,8,8,8,8,8,8,71
875654,10,10,10,10,10,10,10,10,49
875658,10,10,10,10,10,10,10,10,50
875668,8,8,8,8,8,8,8,8,54
875679,10,10,8,10,10,10,10,10,44
875686,10,10,10,10,10,10,10,10,42
875726,8,9,8,8,8,8,8,8,39
875731,7,7,7,7,7,7,7,7,70
875737,8,8,8,8,8,8,8,8,21
875758,8,8,8,8,8,8,8,8,40
875765,7,8,8,8,8,8,8,7,18
875817,9,8,8,8,7,9,9,7,50
875851,8,7,7,6,7,6,5,4,34
875855,7,7,6,6,6,7,6,6,63
875909,10,10,10,10,10,10,10,10,90
875914,10,10,10,10,10,10,10,10,52
875920,6,6,6,6,6,6,6,6,62
875967,7,6,6,6,5,7,7,7,39
875969,8,8,8,8,8,8,8,8,63
875976,6,6,6,7,5,6,6,5,48
875977,8,9,8,8,8,8,8,8,64
876017,7,7,7,7,7,7,6,7,47
876018,6,6,6,6,6,6,6,6,46
876020,6,6,6,6,6,6,6,6,40
876023,6,6,6,6,5,6,5,6,21
876037,6,6,5,6,6,5,5,6,41
876042,6,6,6,6,5,7,7,6,43
876052,4,5,5,6,7,6,6,6,15
876069,7,6,6,6,7,8,5,8,70
876079,10,10,10,10,10,10,10,10,65
876093,10,10,10,10,10,10,10,10,68
876104,7,7,10,10,10,10,10,10,40
876105,8,8,8,8,8,8,8,8,28
876108,6,6,6,7,7,7,7,7,34
876109,10,10,5,10,10,10,10,10,49
876115,8,8,8,8,8,8,8,8,45
876125,10,10,3,10,10,10,10,10,46
876127,9,9,9,9,9,9,9,9,37
876218,10,10,10,10,10,10,10,10,56
876272,7,8,8,9,7,7,6,6,52
876314,7,7,6,7,7,7,6,5,43
876364,8,9,8,7,8,9,8,8,112
876383,8,9,9,9,9,9,9,9,61
876388,9,10,9,8,9,9,9,9,42
876391,10,10,10,10,10,10,10,10,65
876444,8,9,7,9,9,9,9,9,39
876523,9,9,9,9,9,9,9,9,133
876542,9,9,9,9,9,9,9,9,87
876551,8,8,8,8,8,9,9,8,22
