nquest,Y,CN,CD1,CD2,CD,C,S
33038,50316.385841,28300,0,0,0,28300,22016.385841
33275,45650,18000,0,700,700,18700,26950
33303,39672.245495,23900,0,0,0,23900,15772.245495
33335,63608.059011,42000,0,300,300,42300,21308.059011
33336,21100,22900,0,0,0,22900,-1800
33348,37086.652815,19100,2750,600,3350,22450,14636.652815
33451,23447.64866,29000,0,0,0,29000,-5552.35134
33455,30053.283686,21300,0,1000,1000,22300,7753.283686
33479,44829.322252,14400,0,0,0,14400,30429.322252
33644,16618.256916,10400,0,0,0,10400,6218.2569156
33823,20413.136679,20000,0,0,0,20000,413.13667944
33839,14898.79647,13800,0,0,0,13800,1098.7964701
33877,49620.596983,27000,0,5000,5000,32000,17620.596983
33882,22242.509285,12800,0,0,0,12800,9442.5092847
33937,35909.958446,43600,0,0,0,43600,-7690.041554
33985,85099.426607,63400,0,0,0,63400,21699.426607
33994,41716.186047,29200,0,0,0,29200,12516.186047
34059,41490.98242,46000,0,15000,15000,61000,-19509.01758
34252,17451.673528,7440,2000,0,2000,9440,8011.6735281
34732,28646.526062,18800,0,0,0,18800,9846.5260618
34778,25017.523044,20300,0,0,0,20300,4717.5230443
34825,58918.060167,54200,5300,1000,6300,60500,-1581.939833
34900,28035.801828,21600,0,1000,1000,22600,5435.8018284
35005,36374.458622,18900,0,0,0,18900,17474.458622
35022,26202.192539,22800,0,0,0,22800,3402.1925393
35032,77733.828102,16200,0,0,0,16200,61533.828102
35234,29822.460972,19600,0,0,0,19600,10222.460972
35319,29659.582336,18900,0,600,600,19500,10159.582336
35322,17135.937274,16700,0,0,0,16700,435.93727431
35323,16959.488268,14660,0,0,0,14660,2299.4882679
35326,39696.611261,22800,0,0,0,22800,16896.611261
35340,6774.6611261,4680,0,0,0,4680,2094.6611261
35349,17270.159048,9600,0,500,500,10100,7170.1590484
35355,12074.824549,9200,0,0,0,9200,2874.8245493
35370,10207.330563,9600,0,0,0,9600,607.33056305
35372,45600.276542,45000,0,3000,3000,48000,-2399.723458
35374,27025.412219,21000,200,700,900,21900,5125.4122185
35379,24218.326408,17400,0,0,0,17400,6818.3264076
35502,8556.6528152,13100,0,0,0,13100,-4543.347185
35507,46626.540662,34500,0,0,0,34500,12126.540662
35508,7307.330563,9300,0,0,0,9300,-1992.669437
35518,31854.979223,26400,0,0,0,26400,5454.9792229
35600,10813.561542,9000,0,0,0,9000,1813.5615416
35640,35256.69912,10800,0,1000,1000,11800,23456.69912
35682,33040.543797,32200,0,0,0,32200,840.54379739
35788,28057.154074,34220,0,0,0,34220,-6162.845926
35968,73910.075021,73600,0,0,0,73600,310.07502132
36067,43200,19200,0,0,0,19200,24000
36130,40922.724745,21200,0,0,0,21200,19722.724745
36164,24854.244544,14200,0,1000,1000,15200,9654.2445438
36186,17783.983378,12350,0,0,0,12350,5433.9833783
36250,38812.828485,24500,0,0,0,24500,14312.828485
36321,46838.569949,27000,0,850,850,27850,18988.569949
36333,17502.565697,16800,0,0,0,16800,702.56569707
36378,46268.627968,15000,0,1000,1000,16000,30268.627968
