nquest,anmutuo11,anmutuo12,debgar11_1,debgar12_1,debgar11_2,debgar12_2,debgar11_3,debgar12_3,debm11,debm12,debpers11,debpers12,debrf11,debrf12,ltv11,ltv12,mutuodu11,mutuodu12,mutuoin11,mutuoin12,ratacon11,ratacon12,rifinanz11,rifinanz12,rippag11,rippag12,rippagqua11,rippagqua12,sospecome11,sospecome12,sospens11,sospens12,stesmut11,stesmut12,taxfis11,taxfis12,taxvar11,taxvar12,tipotax11,tipotax12,tmutuoab11,tmutuoab12,whytipo11,whytipo12,tdebita11,tdebita12
674239,2009,,0,,0,,1,,1,,2,,2,,100,,20,,150000,,2,,2,,,,,,,,2,,,,,,1,,2,,6000,,3,,78000,
675905,2012,,1,,0,,0,,1,,,,2,,80,,20,,100000,,,,2,,,,,,,,2,,,,2.5,,,,1,,7000,,1,,80000,
680243,2002,,1,,0,,0,,1,,,,2,,80,,15,,55000,,,,2,,,,,,,,2,,,,3,,,,1,,3600,,2,,1856,
680244,2012,,1,,0,,0,,1,,,,2,,80,,25,,165000,,1,,2,,,,,,,,2,,,,,,2,,2,,9000,,1,,150000,
681394,2011,,1,,0,,0,,1,,,,2,,60,,30,,165000,,2,,2,,,,,,,,2,,,,,,1.8,,2,,7400,,1,,150000,
681477,2002,,1,,0,,0,,1,,,,2,,100,,25,,67000,,,,1,,,,,,,,2,,1,,3.9,,,,1,,4800,,4,,36000,
681668,2015,,0,,0,,1,,2,,1,,2,,20,,5,,10000,,,,2,,,,,,,,2,,,,6,,,,1,,2500,,4,,9000,
681713,2000,,0,,0,,1,,1,,1,,2,,80,,20,,45000,,,,2,,,,,,,,2,,,,2.5,,,,1,,2000,,4,,6000,
683033,2005,,1,,0,,0,,1,,,,2,,77,,20,,150000,,2,,2,,,,,,,,2,,,,,,1.8,,2,,10800,,1,,100000,
683164,2011,,1,,0,,0,,1,,,,2,,80,,20,,150000,,,,1,,,,,,,,2,,1,,2.5,,,,1,,6000,,1,,125000,
683349,2002,,1,,0,,0,,1,,,,2,,80,,20,,110000,,2,,2,,,,,,,,2,,,,,,1,,2,,12000,,4,,50000,
683352,2007,,1,,0,,0,,1,,,,2,,100,,30,,125000,,,,2,,,,,,,,2,,,,5,,,,1,,6312,,4,,80000,
683373,2003,,1,,0,,0,,1,,,,2,,35,,15,,50000,,2,,2,,,,,,,,2,,,,,,3,,2,,4400,,3,,9000,
683377,2015,,1,,0,,0,,1,,,,2,,100,,25,,250000,,2,,2,,,,,,,,2,,,,,,4,,2,,13200,,3,,250000,
684407,1998,,1,,0,,0,,1,,,,2,,80,,20,,120000,,,,2,,,,,,,,2,,,,3,,,,1,,9200,,4,,16000,
685058,2008,,1,,0,,0,,1,,,,2,,40,,20,,50000,,,,2,,,,,,,,2,,,,6.5,,,,1,,4320,,4,,40000,
685149,2003,,1,,0,,1,,1,,,,2,,20,,15,,45000,,,,2,,,,,,,,2,,,,4,,,,1,,6000,,1,,13000,
686528,2015,,1,,0,,0,,1,,,,2,,100,,25,,200000,,2,,2,,,,,,,,2,,,,,,4,,2,,12000,,4,,184000,
686634,2001,,1,,0,,0,,1,,,,2,,90,,20,,108000,,,,2,,,,,,,,2,,,,1.5,,,,1,,4800,,3,,14000,
687321,2003,,1,,0,,0,,1,,,,2,,70,,15,,45000,,,,2,,,,,,,,2,,,,3,,,,1,,4500,,1,,7000,
687699,2000,2000,1,1,0,0,0,0,1,1,,,2,2,50,50,20,20,300000,120000,,,1,1,,,,,,,2,2,3,3,2.3,2.3,,,1,1,6600,6600,1,1,79000,79000
688287,2004,,1,,0,,0,,1,,,,2,,80,,20,,175000,,1,,2,,,,,,,,2,,,,,,0.5,,2,,10600,,1,,100000,
702643,1999,,1,,0,,0,,1,,,,2,,80,,25,,80000,,,,2,,,,,,,,2,,,,4.5,,,,1,,4800,,4,,50000,
704118,2005,,1,,0,,0,,1,,,,1,,100,,20,,80000,,,,2,,,,,,,,2,,,,1,,,,1,,4500,,1,,60000,
707963,2006,,1,,0,,0,,1,,,,2,,80,,24,,350000,,2,,2,,,,,,,,2,,,,,,1.2,,2,,10800,,4,,240000,
713851,2016,,1,,0,,0,,1,,,,1,,56,,15,,56000,,,,1,,,,,,,,2,,1,,3.4,,,,1,,2750,,1,,55750,
715065,2005,,1,,0,,0,,1,,,,2,,45,,20,,125000,,2,,2,,,,,,,,2,,,,,,1,,2,,7200,,1,,67000,
716937,2015,,1,,0,,0,,1,,,,2,,80,,15,,70000,,1,,2,,,,,,,,2,,,,,,1.9,,2,,6000,,1,,65000,
717409,2004,,1,,0,,0,,1,,,,2,,50,,25,,100000,,,,2,,,,,,,,2,,,,3.2,,,,1,,5520,,1,,61000,
717669,2010,,1,,0,,0,,1,,,,2,,100,,30,,135000,,1,,2,,,,,,,,2,,,,,,5,,2,,8400,,3,,116000,
717858,2014,,1,,0,,0,,1,,,,2,,80,,25,,65000,,,,2,,,,,,,,2,,,,2.2,,,,1,,3600,,4,,50000,
720117,2005,,1,,0,,0,,2,,,,2,,0,,15,,120000,,1,,2,,,,,,,,2,,,,,,1,,2,,9600,,3,,38000,
721871,2000,2008,1,0,0,0,0,1,1,2,,1,2,2,70,60,25,25,42000,40000,,,2,2,,,,,,,2,2,,,2,2,,,1,1,3300,2400,1,1,20000,30000
722141,2006,,1,,0,,0,,1,,,,2,,100,,30,,132000,,1,,2,,,,,,,,2,,,,,,4.35,,2,,6000,,4,,85000,
724209,2012,,1,,0,,0,,2,,,,2,,50,,15,,50000,,,,2,,,,,,,,2,,,,9,,,,1,,4200,,4,,45000,
728160,2011,,1,,0,,0,,1,,,,2,,25,,20,,165000,,1,,2,,,,,,,,2,,,,,,1,,2,,9000,,2,,110000,
732601,2008,,0,,0,,1,,1,,1,,2,,90,,30,,400000,,,,2,,,,,,,,2,,,,5.24,,,,1,,22200,,3,,235600,
735143,2015,,0,,0,,1,,2,,1,,2,,20,,10,,60000,,1,,2,,,,,,,,2,,,,,,6.8,,2,,7000,,4,,58000,
735659,2009,,1,,0,,0,,2,,,,2,,100,,15,,80000,,2,,2,,,,,,,,2,,,,,,3.5,,2,,5000,,1,,50000,
736935,2016,,1,,0,,0,,1,,,,2,,80,,25,,170000,,,,2,,,,,,,,2,,,,1.95,,,,1,,730,,1,,170000,
737420,2003,,1,,0,,0,,1,,,,2,,80,,25,,120000,,,,2,,,,,,,,2,,,,3,,,,1,,9600,,1,,80000,
800003,2004,,1,,0,,0,,1,,,,2,,65,,20,,100000,,2,,2,,,,,,,,2,,,,,,4,,2,,7700,,4,,50000,
800010,2005,,1,,0,,0,,1,,,,2,,100,,20,,165000,,1,,1,,,,,,,,2,,1,,,,1.5,,2,,7200,,4,,100000,
801541,2007,,0,,0,,1,,1,,1,,2,,80,,25,,120000,,,,2,,2,,,,2,,1,,,,4,,,,1,,9000,,4,,119000,
801955,2008,,1,,0,,0,,2,,,,2,,100,,10,,15000,,,,2,,,,,,,,2,,,,5,,,,1,,3700,,4,,7500,
801966,2005,,1,,0,,0,,3,,,,2,,100,,25,,110000,,,,2,,,,,,,,2,,,,2.5,,,,1,,9800,,4,,85000,
804825,2009,,1,,0,,0,,1,,,,2,,65,,20,,164000,,,,1,,,,,,,,2,,3,,4,,,,1,,5520,,1,,80000,
804962,2003,,1,,0,,0,,1,,,,2,,80,,20,,74000,,,,2,,,,,,,,2,,,,3,,,,1,,4800,,3,,24000,
806601,2007,,1,,0,,0,,1,,,,2,,95,,20,,100000,,,,2,,,,,,,,2,,,,3,,,,1,,3600,,4,,50000,
806983,2005,,1,,0,,0,,1,,,,2,,100,,30,,160000,,1,,2,,,,,,,,2,,,,,,3,,2,,6840,,4,,115000,
807146,2004,,1,,0,,0,,1,,,,2,,33,,15,,75000,,2,,2,,,,,,,,2,,,,,,1.5,,2,,6000,,4,,15000,
809488,2006,,1,,0,,0,,1,,,,2,,100,,30,,148000,,,,2,,,,,,,,2,,,,2,,,,1,,7800,,4,,100000,
812794,2007,,1,,0,,0,,1,,,,2,,100,,18,,80000,,,,2,,,,,,,,2,,,,4.8,,,,1,,5400,,1,,60000,
813298,2007,,1,,0,,0,,1,,,,1,,90,,20,,95000,,,,2,,,,,,,,2,,,,4.5,,,,1,,7200,,4,,50000,
813513,2010,,1,,0,,0,,1,,,,2,,60,,20,,100000,,,,2,,,,,,,,2,,,,3,,,,1,,7600,,4,,78000,
815192,2000,,0,,0,,1,,1,,1,,2,,90,,20,,200000,,,,2,,,,,,,,2,,,,5,,,,1,,8400,,4,,60000,
817905,2007,,1,,0,,0,,1,,,,2,,50,,25,,100000,,,,2,,,,,,,,2,,,,5.5,,,,1,,7600,,4,,68000,
819517,2013,,1,,0,,0,,1,,,,2,,80,,25,,145000,,,,1,,,,,,,,2,,3,,3,,,,1,,8500,,3,,130000,
819575,2011,,1,,0,,0,,1,,,,2,,80,,30,,250000,,2,,2,,,,,,,,2,,,,,,1.6,,2,,9600,,1,,220000,
820707,2007,,0,,0,,1,,2,,2,,2,,50,,10,,30000,,,,2,,,,,,,,2,,,,2.5,,,,1,,3600,,1,,1500,
820966,2008,,1,,0,,0,,1,,,,2,,50,,15,,100000,,2,,2,,,,,,,,2,,,,,,0.25,,2,,5500,,4,,80000,
822191,2005,,1,,0,,0,,1,,,,2,,60,,15,,100000,,2,,1,,,,,,,,2,,1,,,,4,,2,,7000,,1,,20000,
822266,2008,,1,,0,,0,,1,,,,2,,10,,10,,40000,,2,,2,,,,,,,,2,,,,,,4,,2,,1500,,4,,900,
824735,2016,,1,,0,,0,,2,,,,2,,80,,10,,60000,,,,2,,,,,,,,2,,,,2,,,,1,,2000,,3,,20000,
826118,2006,,1,,0,,0,,1,,,,2,,80,,25,,100000,,2,,2,,,,,,,,2,,,,,,0.92,,2,,4000,,2,,53000,
826456,2013,,1,,0,,0,,1,,,,2,,50,,30,,90000,,,,1,,,,,,,,2,,1,,5,,,,1,,5000,,4,,75000,
826744,2004,,1,,0,,0,,1,,,,2,,85,,25,,175000,,,,2,,,,,,,,2,,,,2,,,,1,,7000,,3,,80000,
851172,2007,,1,,0,,0,,1,,,,2,,60,,25,,230000,,,,2,,,,,,,,2,,,,,,2,,3,,11500,,1,,180000,
852573,2000,,1,,0,,0,,1,,,,2,,50,,20,,42500,,1,,2,,,,,,,,2,,,,,,4,,2,,4200,,1,,10000,
853354,2007,,1,,0,,0,,1,,,,2,,70,,24,,100000,,1,,2,,,,,,,,2,,,,,,2,,2,,4000,,3,,30000,
854081,2001,,1,,0,,0,,1,,,,2,,90,,25,,100000,,,,2,,,,,,,,2,,,,2,,,,1,,6400,,4,,60000,
854112,2010,,0,,0,,1,,1,,1,,2,,90,,20,,200000,,1,,2,,,,,,,,2,,,,,,3,,2,,8000,,4,,150000,
855238,2006,,1,,0,,0,,2,,,,2,,50,,15,,100000,,1,,2,,,,,,,,2,,,,,,2,,2,,8175,,4,,50000,
855402,2015,,1,,0,,0,,1,,,,1,,50,,30,,60000,,1,,2,,,,,,,,2,,,,,,3,,2,,3600,,4,,59000,
855780,2009,,1,,0,,0,,1,,,,2,,80,,30,,85000,,,,2,,,,,,,,2,,,,4,,,,1,,4000,,4,,75000,
855790,2005,,1,,0,,0,,2,,,,2,,55,,15,,45000,,1,,2,,,,,,,,2,,,,,,1.75,,2,,4200,,4,,10000,
855839,2003,,0,,0,,1,,1,,1,,2,,95,,25,,170000,,1,,2,,,,,,,,2,,,,,,4,,2,,9400,,4,,110000,
857107,2012,,1,,0,,0,,1,,,,2,,60,,20,,70000,,,,1,,,,,,,,2,,3,,2.9,,,,1,,4200,,1,,60000,
857353,2005,,1,,0,,0,,2,,,,1,,60,,15,,75000,,2,,2,,,,,,,,2,,,,,,7,,2,,5000,,2,,32000,
859261,2000,,1,,0,,0,,2,,,,2,,25,,25,,100000,,,,1,,,,,,,,2,,3,,1.5,,,,1,,15000,,4,,500,
859459,2016,,1,,0,,0,,2,,,,1,,60,,15,,90000,,,,2,,,,,,,,2,,,,1.25,,,,1,,4800,,1,,87000,
860127,2015,,1,,0,,0,,1,,,,2,,52,,30,,250000,,2,,1,,,,,,,,2,,3,,,,1,,2,,8000,,1,,214000,
864120,2005,,1,,0,,0,,2,,,,2,,100,,15,,55000,,,,2,,,,,,,,2,,,,4.5,,,,1,,3600,,1,,15000,
864213,2000,,1,,0,,0,,1,,,,2,,75,,20,,55000,,1,,2,,,,,,,,2,,,,,,4,,2,,4000,,4,,15000,
864457,2006,,1,,0,,0,,1,,,,2,,80,,30,,150000,,2,,2,,,,,,,,2,,,,,,2.5,,2,,4500,,4,,80000,
866071,1997,,1,,0,,0,,1,,,,2,,33,,20,,50000,,2,,2,,,,,,,,2,,,,,,0.1,,2,,4800,,1,,5000,
867201,2016,,0,,0,,1,,2,,1,,2,,1,,3,,5000,,,,2,,,,,,,,2,,,,14,,,,1,,696,,4,,4000,
867205,2003,,1,,0,,0,,1,,,,2,,90,,15,,80000,,1,,2,,,,,,,,2,,,,,,2.3,,2,,7560,,3,,1300,
868283,2011,,1,,0,,0,,2,,,,2,,30,,30,,70000,,1,,2,,,,,,,,2,,,,,,3.5,,2,,3000,,4,,65000,
869003,2010,,1,,0,,0,,1,,,,2,,45,,40,,90000,,2,,2,,,,,,,,2,,,,,,1,,2,,1500,,3,,83000,
869006,2008,,0,,0,,1,,1,,1,,2,,60,,20,,60000,,,,2,,,,,,,,2,,,,4,,,,1,,3000,,1,,30000,
869023,2010,,1,,0,,0,,1,,,,2,,80,,10,,51000,,,,2,,,,,,,,2,,,,4.4,,,,1,,6300,,4,,30000,
869043,2015,,1,,0,,0,,1,,,,2,,20,,10,,60000,,,,2,,,,,,,,2,,,,2,,,,1,,8000,,4,,55000,
871385,2007,,1,,0,,0,,1,,,,2,,30,,15,,60000,,,,2,,,,,,,,2,,,,4.75,,,,1,,3960,,3,,19000,
871798,2006,,1,,0,,0,,1,,,,2,,100,,30,,100000,,,,2,,,,,,,,2,,,,5,,,,1,,4500,,3,,90000,
872077,2006,,1,,0,,0,,1,,,,2,,38,,15,,90000,,2,,2,,,,,,,,2,,,,,,0.06,,2,,5000,,4,,25000,
872082,2006,,1,,0,,0,,1,,,,2,,70,,12,,70000,,,,2,,,,,,,,2,,,,,,2.6,,3,,7000,,3,,10000,
872190,2013,,1,,0,,0,,1,,,,2,,70,,25,,130000,,,,2,,,,,,,,2,,,,2,,,,1,,7200,,1,,100000,
872572,2004,,1,,0,,0,,1,,,,2,,50,,15,,60000,,,,2,,,,,,,,2,,,,4,,,,1,,5200,,4,,11000,
872633,2008,,1,,0,,0,,1,,,,2,,100,,30,,80000,,,,2,,1,,18,,1,,1,,,,5.6,,,,1,,5000,,3,,72000,
873011,2003,,1,,0,,0,,1,,,,2,,75,,13,,70000,,,,2,,,,,,,,2,,,,4.5,,,,1,,6000,,1,,1500,
873158,2010,,1,,0,,0,,1,,,,2,,100,,20,,110000,,1,,2,,,,,,,,2,,,,,,2,,2,,7200,,2,,60000,
873401,1999,,0,,0,,1,,1,,1,,2,,70,,20,,100000,,,,2,,,,,,,,2,,,,3.2,,,,1,,5760,,4,,85000,
873809,2007,,1,,0,,0,,1,,,,2,,45,,25,,150000,,2,,2,,,,,,,,2,,,,,,7,,2,,5500,,2,,120000,
873859,2006,,1,,0,,0,,1,,,,2,,50,,15,,70000,,,,2,,,,,,,,2,,,,8,,,,1,,12000,,3,,60000,
874347,2001,,1,,0,,0,,1,,,,2,,50,,20,,45000,,2,,2,,,,,,,,2,,,,,,2,,2,,3000,,1,,14000,
874517,2008,,1,,0,,0,,1,,,,2,,50,,10,,80000,,,,2,,,,,,,,2,,,,5,,,,1,,9500,,2,,22000,
874556,2004,,1,,0,,0,,1,,,,2,,100,,30,,95000,,1,,2,,1,,9,,2,,1,,,,,,6,,2,,4000,,4,,55000,
874681,2015,,1,,0,,0,,1,,,,2,,50,,10,,45000,,,,2,,,,,,,,2,,,,3,,,,1,,2300,,1,,40000,
874705,2004,,1,,0,,0,,1,,,,2,,60,,15,,77000,,,,2,,,,,,,,2,,,,5,,,,1,,7200,,1,,15000,
875095,2005,,1,,0,,0,,1,,,,2,,65,,15,,95000,,,,2,,,,,,,,2,,,,4.2,,,,1,,6350,,1,,12600,
875096,2001,,1,,0,,0,,1,,,,2,,50,,15,,90000,,,,2,,,,,,,,2,,,,4.8,,,,1,,6000,,1,,6000,
875139,2004,,1,,0,,0,,1,,,,2,,90,,30,,100000,,2,,2,,,,,,,,2,,,,,,4,,2,,5000,,1,,55000,
875214,2005,,1,,0,,0,,1,,,,2,,75,,25,,90000,,1,,2,,,,,,,,2,,,,,,7.5,,2,,4500,,4,,40000,
875439,2007,,1,,0,,0,,1,,,,1,,4,,35,,200000,,,,1,,,,,,,,2,,1,,4,,,,1,,9000,,4,,131000,
875542,2005,,1,,0,,0,,2,,,,2,,70,,20,,150000,,1,,2,,,,,,,,2,,,,,,5.4,,2,,7800,,4,,47000,
875585,2010,,1,,0,,0,,1,,,,2,,30,,15,,100000,,1,,2,,,,,,,,2,,,,,,3.3,,2,,6800,,4,,70000,
875817,2005,,1,,0,,0,,1,,,,2,,80,,25,,100000,,,,2,,,,,,,,2,,,,3,,,,1,,4200,,1,,45000,
875851,2003,,1,,0,,0,,1,,,,2,,100,,25,,150000,,,,1,,1,,6,,2,,1,,1,,3,,,,1,,9000,,2,,70000,
876069,2007,,1,,0,,0,,1,,,,2,,100,,30,,120000,,1,,2,,2,,,,3,,1,,,,,,3,,2,,2000,,4,,80000,
876694,2010,,1,,0,,0,,1,,,,2,,54,,20,,80000,,1,,2,,,,,,,,2,,,,,,3.25,,2,,4500,,4,,65000,
876806,2012,,1,,0,,0,,1,,,,2,,50,,25,,50000,,,,2,,,,,,,,2,,,,1,,,,1,,2400,,4,,42000,
877241,2015,2016,1,1,0,0,0,0,2,2,,,1,1,60,40,20,5,120000,80000,1,,2,2,,,,,,,2,2,,,,4,2,,2,1,10000,10000,4,4,110000,68000
878518,2010,,1,,0,,0,,1,,,,2,,60,,20,,140000,,,,2,,,,,,,,2,,,,3,,,,1,,8400,,4,,90000,
878573,2012,,0,,0,,1,,2,,1,,2,,20,,10,,30000,,,,2,,,,,,,,2,,,,12,,,,1,,5196,,4,,30000,
878831,2005,,1,,0,,0,,1,,,,2,,50,,20,,100000,,2,,2,,,,,,,,2,,,,,,1.2,,2,,7000,,4,,60000,
879319,2010,,1,,0,,0,,1,,,,2,,80,,35,,200000,,,,2,,,,,,,,2,,,,3.5,,,,1,,8400,,1,,180000,
879844,2008,,1,,0,,0,,2,,,,1,,30,,20,,120000,,,,2,,,,,,,,2,,,,5.2,,,,1,,11130,,2,,100000,
879943,2014,,1,,0,,0,,2,,,,2,,25,,15,,125000,,1,,1,,,,,,,,2,,1,,,,2.95,,2,,10800,,1,,102000,
879951,2007,,1,,0,,0,,1,,,,2,,50,,20,,160000,,1,,2,,,,,,,,2,,,,,,2,,2,,5000,,3,,80000,
880003,2014,,0,,1,,0,,1,,,,2,,30,,15,,120000,,1,,2,,,,,,,,2,,,,,,0.6,,2,,8000,,3,,110000,
880066,2003,,1,,0,,0,,1,,,,2,,30,,15,,100000,,2,,2,,,,,,,,2,,,,,,4,,2,,9600,,4,,20000,
880072,2002,,1,,0,,0,,1,,,,2,,30,,15,,75000,,2,,2,,,,,,,,2,,,,,,3,,2,,8400,,4,,4900,
880357,2005,,0,,0,,1,,2,,1,,2,,80,,15,,60000,,,,2,,,,,,,,2,,,,4,,,,1,,6000,,3,,20000,
880893,2015,,1,,0,,0,,1,,,,2,,100,,25,,150000,,,,2,,,,,,,,2,,,,0.3,,,,1,,7740,,1,,136000,
880912,2005,,1,,0,,0,,1,,,,2,,50,,20,,250000,,2,,2,,,,,,,,2,,,,,,0.6,,2,,13000,,2,,130000,
881448,2000,,1,,0,,0,,1,,,,2,,70,,25,,57000,,,,2,,,,,,,,2,,,,3.5,,,,1,,2900,,4,,20000,
881611,2007,,1,,0,,0,,1,,,,2,,40,,20,,150000,,,,2,,,,,,,,2,,,,2.3,,,,1,,6600,,1,,100000,
881680,2008,,1,,0,,0,,1,,,,2,,75,,20,,110000,,1,,2,,,,,,,,2,,,,,,4.25,,2,,8400,,4,,70000,
882019,2011,,1,,0,,0,,1,,,,2,,100,,30,,168000,,1,,2,,,,,,,,2,,,,,,2,,2,,6500,,4,,145000,
882096,2008,,1,,0,,0,,1,,,,2,,100,,20,,100000,,2,,2,,,,,,,,2,,,,,,6.7,,2,,1000,,4,,70000,
882675,2008,,1,,0,,0,,1,,,,2,,80,,20,,120000,,1,,2,,,,,,,,2,,,,,,2,,2,,7200,,4,,62000,
882927,2004,,1,,0,,0,,1,,,,2,,65,,20,,80000,,,,2,,,,,,,,2,,,,3,,,,1,,5400,,3,,35000,
883356,2005,,1,,0,,0,,1,,,,2,,65,,15,,65000,,,,2,,,,,,,,2,,,,6,,,,1,,6480,,4,,30000,
884232,2010,,1,,0,,0,,2,,,,2,,50,,25,,110000,,2,,2,,,,,,,,2,,,,,,1.47,,2,,4200,,1,,88000,
884685,2005,,1,,0,,0,,1,,,,2,,60,,12,,100000,,,,2,,,,,,,,2,,,,1.5,,,,1,,7000,,1,,10000,
884802,2006,,1,,0,,0,,1,,,,2,,100,,25,,154000,,1,,2,,,,,,,,2,,,,,,1.5,,2,,8500,,3,,60000,
884879,2006,,1,,0,,0,,2,,,,2,,25,,10,,25000,,,,2,,,,,,,,2,,,,2,,,,1,,2000,,3,,3000,
885045,2007,,1,,0,,0,,1,,,,2,,60,,20,,100000,,2,,2,,,,,,,,2,,,,,,4,,2,,7200,,1,,60000,
885353,2002,,1,,0,,0,,1,,,,2,,33,,15,,34000,,,,2,,,,,,,,2,,,,3,,,,1,,2280,,3,,570,
885504,2003,,1,,0,,0,,1,,,,2,,100,,25,,140000,,,,2,,,,,,,,2,,,,3,,,,3,,8500,,3,,70000,
