nquest,nord,intper,attivp,partime,contratt,tuttanno,mesilav,attest,dimaz,oretot,pstra,orestra,b1bonus,ylm,integ,ylnm,contaz_1,contaz_2,contaz_3
35507,1,1,1,1,1,1,12,1,8,18,2,,2,20000,2,0,2,2,2
35682,2,2,1,2,1,1,12,1,4,25,2,,2,15000,2,0,2,2,2
36067,3,1,1,1,1,1,12,1,2,41,2,,2,18000,2,0,1,1,2
36130,1,1,1,1,1,1,12,1,4,40,2,,2,18000,2,0,2,2,2
36130,2,2,1,1,1,1,12,1,2,40,2,,2,16900,2,0,2,2,2
36164,1,1,1,1,1,1,12,1,5,40,2,,2,16000,2,0,2,2,2
36164,2,1,1,2,2,1,12,1,1,28,1,4,2,2500,2,0,2,2,2
36186,1,1,1,1,2,2,8,1,1,33,2,,2,4100,2,0,2,2,2
36186,2,2,1,1,2,2,3,1,1,30,2,,2,2000,2,0,2,2,2
36250,1,1,1,1,1,1,12,1,8,40,1,0,2,17000,2,0,2,2,2
36378,2,2,1,1,2,1,12,1,4,30,2,,2,13000,2,0,2,2,2
36409,1,1,1,1,1,1,12,1,7,40,1,2,2,23000,2,0,2,2,2
36443,2,2,1,2,1,1,12,1,2,33,2,,2,16000,2,0,2,2,2
36450,2,1,1,1,1,1,12,1,4,40,2,,2,22000,1,400,2,2,2
36450,3,1,1,1,1,1,12,1,2,40,2,,2,18000,2,0,2,2,2
36522,1,1,1,1,1,1,12,1,8,36,2,,1,22000,2,0,2,2,2
36522,2,2,1,1,1,1,12,1,8,36,2,,1,25000,2,0,2,2,2
37001,3,3,1,1,1,1,12,1,3,40,1,5,2,17000,2,0,2,2,2
37299,1,1,1,1,1,1,12,1,1,60,2,,2,14000,2,0,2,2,2
37459,1,1,1,1,1,1,12,1,7,36,2,,1,24700,2,0,1,1,2
37665,1,1,1,1,1,1,12,1,4,40,2,,2,16900,2,0,2,2,2
37665,2,1,1,1,1,1,12,1,4,40,2,,2,16900,2,0,2,2,2
38095,1,1,1,1,1,1,12,1,5,40,2,,2,18000,2,0,2,2,2
38095,3,1,1,1,1,1,12,1,2,40,1,0,1,16000,2,0,2,2,2
38135,1,1,1,1,1,2,2,1,1,40,2,,2,1700,2,0,2,2,2
38554,1,1,1,1,1,1,12,1,5,40,2,,2,20000,1,,2,2,2
38554,2,1,1,1,1,1,12,1,1,36,2,,2,12000,2,0,2,2,2
38554,3,1,1,1,1,1,12,1,2,40,2,,2,15000,2,0,2,2,2
39056,1,1,1,1,1,1,12,1,8,37,1,1,1,21000,1,840,2,2,2
39056,2,1,1,1,1,1,12,1,8,37,1,1,1,16000,2,0,2,2,2
39095,1,1,1,2,1,1,12,1,7,30,2,,2,21000,1,200,1,2,2
39284,3,1,1,1,1,1,12,1,8,30,2,,2,18000,2,0,2,2,2
39317,1,1,1,1,1,1,12,1,4,40,2,,2,13000,2,0,2,2,2
39318,2,2,1,1,1,1,12,1,2,40,1,3,2,15000,2,0,1,1,2
39697,2,1,1,1,1,1,12,1,8,45,2,,2,20800,2,0,2,2,2
50231,2,1,1,1,1,1,12,1,3,36,2,,2,15000,2,0,2,2,2
51013,3,3,1,1,1,1,12,1,3,36,2,,2,19000,2,0,2,2,2
51444,3,1,1,1,2,1,12,1,8,18,2,,2,8400,2,0,2,1,2
52718,2,2,1,2,1,1,12,1,1,10,2,,2,4200,2,0,2,2,2
53008,1,1,1,1,1,1,12,1,7,42,1,2,1,30000,2,0,1,1,2
53008,2,1,1,1,1,1,12,1,6,40,2,,2,18000,2,0,2,2,2
53086,1,1,1,1,1,1,12,1,5,36,1,10,2,25000,1,1200,2,2,2
53234,3,1,1,1,1,1,12,1,2,30,2,,2,12000,2,0,2,2,2
53380,2,1,1,1,1,1,12,1,1,40,2,,2,15000,2,0,2,2,2
53520,2,1,1,2,1,1,12,1,2,25,2,,2,11000,2,0,2,2,2
53552,1,1,1,2,1,1,12,1,2,30,2,,2,14000,2,0,2,2,2
53552,2,1,1,1,2,2,9,1,2,48,2,,2,7800,2,0,2,2,2
53596,2,1,1,1,2,1,12,1,3,43,2,,2,12500,2,0,2,2,2
53871,1,1,1,1,1,1,12,1,8,27,2,,2,13000,2,0,2,2,2
53997,2,1,1,1,1,1,12,1,8,36,2,,2,26000,1,1680,2,2,2
55636,1,1,1,1,1,1,12,1,8,28,2,,2,23000,2,0,2,2,2
55636,2,2,1,1,1,1,12,1,8,30,2,,2,20000,2,0,2,2,2
55774,2,1,1,1,1,1,12,1,2,40,2,,2,16000,2,0,2,2,2
56251,2,3,1,1,1,1,12,1,5,43,2,,2,12000,2,0,2,2,2
56582,1,1,1,1,1,1,12,1,7,40,1,1,1,16800,1,600,1,2,2
56603,1,1,1,1,1,1,12,1,5,40,1,8,2,20400,2,0,2,2,2
56603,2,2,1,1,1,1,12,1,2,40,1,3,2,15600,2,0,2,2,2
56721,1,1,1,1,1,1,12,1,2,36,2,,2,11500,2,0,2,2,2
56761,1,1,1,1,1,1,12,1,8,18,2,,2,18000,2,0,2,2,2
57027,2,2,1,1,2,1,12,1,4,30,2,,2,17000,2,0,2,2,2
57546,1,1,1,1,1,1,12,1,8,36,2,,2,17000,2,0,2,2,2
57546,2,1,1,2,1,1,12,1,3,18,2,,2,9000,2,0,2,2,2
57547,3,1,1,1,1,1,12,1,1,40,2,,2,14000,2,0,2,2,2
57621,1,1,1,1,1,1,12,1,7,40,1,2,1,28000,1,1700,2,1,2
57670,1,1,1,1,1,1,12,1,8,36,2,,2,16900,2,0,2,2,2
57962,2,2,1,1,1,1,12,1,8,36,1,0,1,21000,1,1100,2,2,2
91071,1,1,1,2,1,1,12,1,7,30,2,,2,20000,2,0,2,2,2
91071,2,2,1,1,1,1,12,1,2,40,1,5,2,20000,2,0,2,2,2
91074,1,1,1,1,1,1,12,1,8,36,2,,2,16000,2,0,2,2,2
91079,1,1,1,1,1,1,12,1,8,36,1,0,1,15000,2,0,2,2,2
91081,1,1,1,1,1,2,2,1,1,30,2,,2,2600,2,0,2,2,2
91081,2,1,1,1,1,1,12,1,2,35,2,,2,16000,2,0,2,2,2
91095,1,1,1,1,1,1,12,1,7,40,1,2,1,38000,1,1000,2,1,2
145007,1,1,1,1,2,2,10,1,6,25,2,,2,14000,2,0,2,2,2
145007,3,1,1,1,2,1,12,1,7,36,1,0,2,6000,2,0,2,2,2
389084,2,1,1,1,1,1,12,1,3,50,2,,2,16500,2,0,2,2,2
500026,2,2,1,1,1,1,12,1,5,40,1,8,2,19600,2,0,2,2,2
500669,2,2,1,2,2,2,10,1,2,6,2,,2,9000,2,0,2,2,2
500726,1,1,1,1,1,1,12,1,8,40,2,,2,22000,2,0,2,2,2
500726,2,2,1,1,1,1,12,1,3,40,2,,2,20000,2,0,2,2,2
501816,2,2,1,1,1,1,12,1,7,39,1,2,1,19000,2,0,1,2,2
501816,3,2,1,2,1,1,12,1,1,8,1,1,1,3000,2,0,2,2,2
501874,2,1,1,1,1,1,12,1,7,40,2,,2,15600,2,0,2,2,2
502355,2,1,1,1,1,1,12,1,4,40,1,3,2,16800,2,0,2,2,2
502355,3,1,1,1,1,1,12,1,7,40,2,,1,22000,1,1500,2,2,2
503560,2,2,1,1,1,1,12,1,2,38,2,,2,15000,2,0,2,2,2
503593,1,1,1,1,1,1,12,1,8,36,2,,2,21000,2,0,2,2,2
503674,2,1,1,1,1,1,12,1,8,24,2,,2,22000,2,0,2,2,2
503674,3,1,1,1,1,1,12,1,5,28,2,,2,10500,1,360,2,2,2
503931,1,1,1,2,2,1,12,1,4,20,2,,2,9000,2,0,2,2,2
503950,1,1,1,2,1,1,12,1,6,20,1,3,2,8300,2,0,1,1,2
503950,2,2,1,1,1,1,12,1,7,40,1,0,1,22000,2,0,1,1,2
504157,1,1,1,1,1,1,12,1,6,40,2,,2,24000,2,0,2,2,2
504395,1,1,1,1,1,1,12,1,4,36,2,,2,19600,2,0,2,2,2
504395,4,2,1,1,1,1,12,1,3,40,2,,2,18000,2,0,2,2,2
504453,1,1,1,1,1,1,12,1,4,40,2,,2,17000,2,0,2,2,2
504453,2,2,1,1,1,1,12,1,3,40,2,,2,18200,2,0,2,2,2
504584,1,1,1,1,1,1,12,1,2,40,1,8,2,12000,2,0,2,2,2
504821,2,1,1,1,1,1,12,1,4,40,2,,2,16000,2,0,2,2,2
504921,1,1,1,1,1,1,12,1,2,30,2,,2,12000,2,0,2,2,2
504921,2,1,1,1,1,1,12,1,5,40,2,,2,14500,2,0,2,2,2
504937,1,1,1,1,1,1,12,1,5,40,2,,2,13500,2,0,2,2,2
505022,1,1,1,2,2,1,12,1,1,20,2,,2,13650,2,0,2,2,2
505228,2,1,1,1,1,1,12,1,2,40,2,,2,19000,2,0,1,2,2
505390,2,1,1,1,1,1,12,1,7,40,2,,2,27000,1,400,1,2,2
505424,1,1,1,1,1,1,12,1,8,36,2,,2,27500,2,0,2,2,2
505424,2,2,1,2,1,2,10,1,2,16,2,,2,8000,2,0,2,2,2
505594,2,1,1,1,1,1,12,1,2,48,2,,2,17770,2,0,2,2,2
505768,1,1,1,2,1,1,12,1,1,20,1,2,2,9100,2,0,2,2,2
505768,2,1,1,1,1,1,12,1,4,40,1,6,2,25200,2,0,2,2,2
505810,3,1,1,1,1,1,12,1,4,40,2,,2,24000,2,0,2,2,2
505818,2,2,1,2,1,1,12,1,8,30,2,,2,14000,2,0,2,2,2
505818,3,1,1,1,1,1,12,1,4,40,1,5,2,19000,1,7500,2,2,2
505818,4,4,1,1,2,1,12,1,2,40,2,,2,13000,2,0,2,2,2
505818,4,4,2,2,3,3,,1,2,5,2,,2,2000,2,0,2,2,2
505839,1,1,1,2,1,1,12,1,7,30,2,,2,15600,1,200,1,2,2
505839,2,1,1,1,1,1,12,1,7,38,2,,1,13000,1,500,1,2,2
506107,1,1,1,1,1,1,12,1,8,36,2,,2,21000,2,0,2,2,2
506152,2,1,1,1,1,1,12,1,2,40,2,,2,17000,1,1100,2,2,2
506385,3,1,1,1,1,1,12,1,8,38,2,,2,17000,2,0,2,2,2
506396,2,2,1,1,2,2,6,1,8,25,2,,2,10000,2,0,2,2,2
506410,1,1,1,1,1,1,12,1,7,36,2,,2,16000,1,1200,2,2,2
506410,2,1,1,1,1,1,12,1,8,36,2,,2,15000,2,0,2,2,2
506413,1,1,1,1,1,1,12,1,2,40,2,,2,22000,2,0,2,2,2
506413,2,2,1,1,1,1,12,1,3,31,2,,2,19000,2,0,2,2,2
506458,1,1,1,1,1,1,12,1,8,36,1,5,1,28000,2,0,2,2,2
506458,2,1,1,1,1,1,12,1,8,25,2,,2,21000,2,0,2,2,2
506492,1,1,1,1,1,1,12,1,8,40,2,,2,20000,2,0,2,2,2
506492,2,2,1,2,1,2,10,1,2,26,2,,2,5000,2,0,2,2,2
506628,1,1,1,1,1,1,12,1,7,36,2,,2,19500,2,0,2,2,2
506628,3,1,1,1,1,1,12,1,7,20,2,,2,18200,2,0,2,2,2
506628,4,1,1,2,2,2,7,1,7,18,2,,2,9000,2,0,2,2,2
506738,2,1,1,1,1,1,12,1,4,40,1,20,2,28600,2,0,1,2,2
506758,3,1,1,1,1,1,12,1,6,40,2,,2,20000,2,0,2,2,2
507037,1,1,1,1,1,1,12,1,8,38,2,,2,21000,2,0,2,2,2
507037,1,1,2,2,1,2,5,1,1,4,2,,2,3000,2,0,2,2,2
507037,2,1,1,1,1,1,12,1,8,40,2,,2,10000,2,0,2,2,2
507282,1,1,1,2,1,1,12,1,2,30,2,,2,13000,2,0,2,2,2
507329,1,1,1,1,1,1,12,1,4,38,1,0,1,30337,2,0,2,2,2
507329,2,1,1,1,1,1,12,1,4,38,1,0,1,26340,2,0,2,2,2
507444,1,1,1,1,1,2,8,1,2,40,1,2,2,10000,2,0,1,1,2
507541,1,1,1,1,1,1,12,1,6,42,1,2,1,23000,2,0,1,2,2
507541,2,2,1,1,2,2,10,1,6,48,1,10,1,15000,2,0,2,2,2
507544,2,1,1,1,1,1,12,1,8,25,2,,2,22000,2,0,2,2,2
507552,1,1,1,1,1,1,12,1,2,40,2,,2,14950,2,0,2,2,2
507552,2,2,1,2,1,2,11,1,7,24,1,0,2,9450,2,0,2,2,2
507905,5,1,1,1,1,1,12,1,5,40,2,,2,17500,2,0,2,2,2
507913,2,1,1,2,1,1,12,1,1,20,2,,2,2600,2,0,1,2,2
509057,3,1,1,1,1,1,12,1,2,40,2,,2,14000,2,0,2,2,2
509366,1,1,1,1,1,1,12,1,5,40,2,,2,15600,2,0,2,2,2
509550,1,1,1,1,1,1,12,1,8,30,2,,2,17550,2,0,2,2,2
509601,1,1,1,1,1,1,12,1,6,36,2,,2,20000,2,0,2,2,2
509689,2,1,1,1,1,1,12,1,8,40,2,,2,15600,2,0,2,2,2
509717,2,1,1,1,1,1,12,1,1,44,2,,2,9600,2,0,2,2,2
509806,1,1,1,2,2,1,12,1,1,10,2,,2,8000,1,1269.6,2,2,2
509806,1,1,2,2,3,1,12,1,1,12,2,,2,3360,2,0,2,2,2
509889,1,1,1,1,2,1,12,1,2,50,2,,2,10800,2,0,2,2,2
509889,3,2,1,2,2,1,12,1,2,50,2,,2,8400,2,0,2,2,2
510239,1,1,1,2,1,1,12,1,7,25,1,4,2,12000,2,0,2,2,2
510239,2,2,1,1,1,1,12,1,5,40,1,10,2,28000,1,1300,2,2,2
510374,1,1,1,1,1,1,12,1,6,38,2,,1,19000,1,700,1,1,2
510432,1,1,1,2,2,2,9,1,7,18,2,,2,3600,2,0,1,2,2
510433,3,3,1,1,1,1,12,1,8,36,2,,2,13500,2,0,2,2,2
510433,4,1,1,1,1,1,12,1,5,40,2,,2,14500,2,0,2,2,2
510984,1,1,1,1,1,1,12,1,8,24,2,,2,27000,2,0,2,2,2
511116,1,1,1,1,2,2,5,1,2,40,2,,2,6000,2,0,2,2,2
511136,2,1,1,1,2,2,6,1,3,40,2,,2,8400,2,0,2,2,2
511136,3,3,1,2,2,2,4,1,2,30,2,,2,3000,2,0,2,2,2
511342,1,1,1,1,1,1,12,1,8,36,2,,2,14000,2,0,2,2,2
511352,1,1,1,1,1,1,12,1,8,36,2,,2,19000,2,0,2,2,2
511352,2,1,1,1,1,1,12,1,8,36,2,,2,10000,2,0,2,2,2
511352,4,1,1,2,2,2,8,1,8,20,2,,2,6000,2,0,2,2,2
511365,1,1,1,1,1,1,12,1,6,36,2,,2,16000,2,0,2,2,2
511474,1,1,1,1,1,1,12,1,5,20,2,,2,27000,2,0,2,2,2
511474,3,1,1,1,1,1,12,1,2,50,2,,2,10000,2,0,2,2,2
512517,1,1,1,1,2,1,12,1,2,35,2,,2,9600,2,0,2,2,2
512784,1,1,1,1,1,1,12,1,1,48,2,,2,14300,2,0,2,2,2
512843,2,1,1,1,1,1,12,1,4,38,2,,2,22000,2,0,2,2,2
512884,2,1,1,1,1,1,12,1,1,40,2,,2,12000,2,0,2,2,2
512887,1,1,1,1,1,1,12,1,2,36,2,,2,15000,2,0,2,2,2
512887,3,3,1,2,2,1,12,1,1,6,2,,2,2800,2,0,2,2,2
512921,1,1,1,1,1,1,12,1,8,38,2,,2,21000,2,0,2,2,2
513045,3,1,1,1,1,1,12,1,5,36,2,,2,16980,2,0,2,2,2
513064,1,1,1,1,1,1,12,1,6,40,2,,2,21200,2,0,2,2,2
513064,2,2,1,1,1,1,12,1,6,40,2,,2,16200,2,0,2,2,2
513377,1,1,1,1,1,1,12,1,8,37,2,,2,16000,2,0,2,2,2
513406,3,1,1,1,2,2,3,1,2,40,2,,2,4200,2,0,2,2,2
513411,1,1,1,1,1,1,12,1,8,36,1,2,2,22000,2,0,2,2,2
513437,1,1,1,2,1,1,12,1,2,20,2,,2,9600,2,0,2,2,2
513437,2,1,1,1,1,1,12,1,5,36,1,20,2,40000,2,0,2,2,2
611412,1,1,1,1,1,1,12,1,8,38,2,,2,48000,1,1400,2,2,2
611412,2,2,1,1,1,1,12,1,8,38,2,,2,48000,1,1400,2,2,2
611441,1,1,1,1,1,1,12,1,7,40,2,,2,18000,2,0,2,2,2
611441,2,2,1,1,1,1,12,1,4,40,2,,2,20000,2,0,2,2,2
611614,1,1,1,2,1,1,12,1,1,20,2,,2,9000,2,0,2,2,2
611614,2,1,1,1,1,1,12,1,6,36,2,,1,24000,2,0,2,2,2
611614,3,1,1,2,2,2,4,1,2,36,2,,2,5000,2,0,2,2,2
611614,4,1,1,1,1,1,12,1,6,36,2,,1,17800,2,0,2,2,2
612011,2,1,1,1,1,1,12,1,2,40,2,,2,16835,1,350,2,2,2
612423,1,1,1,1,1,1,12,1,3,40,2,,2,14600,2,0,2,2,2
614660,1,1,1,2,1,1,12,1,1,20,2,,2,6700,2,0,2,2,2
614683,2,1,1,1,1,1,12,1,8,45,2,,2,23500,2,0,2,2,2
615399,1,1,1,1,1,1,12,1,4,40,2,,2,21000,2,0,2,2,2
615399,3,1,1,1,1,1,12,1,1,39,2,,2,16000,2,0,2,2,2
616313,1,1,1,1,1,1,12,1,7,37,2,,2,33000,1,1200,1,2,2
616313,2,1,1,1,1,1,12,1,8,18,2,,2,26000,2,0,2,2,2
617023,1,1,1,1,1,1,12,1,4,40,1,6,2,16000,2,0,2,2,2
617023,2,1,1,1,1,1,12,1,3,36,2,,2,15000,2,0,2,2,2
617398,2,1,1,1,1,1,12,1,8,40,2,,2,47000,2,0,2,2,2
620481,1,1,1,1,1,1,12,1,7,38,2,,2,21000,2,0,1,2,2
620829,1,1,1,1,1,1,12,1,8,40,1,0,2,21200,2,0,2,2,2
620858,2,2,1,2,1,1,12,1,2,24,2,,2,14120,2,0,2,2,2
620858,3,2,1,1,2,2,10,1,2,20,2,,2,13000,2,0,2,2,2
621773,2,2,1,1,1,1,12,1,5,40,2,,2,19000,2,0,2,2,2
621773,3,1,1,1,1,1,12,1,4,40,1,8,2,13000,2,0,2,2,2
621773,4,1,1,2,2,1,12,1,1,25,2,,2,7200,2,0,2,2,2
622034,1,1,1,1,1,1,12,1,6,18,2,,2,34000,2,0,2,2,2
623300,2,1,1,1,2,3,,1,2,40,2,,2,1500,2,0,2,2,2
623300,3,1,1,1,1,1,12,1,5,40,2,,2,18000,2,0,2,2,2
623606,1,1,1,1,2,2,7,1,2,40,2,,2,8000,2,0,2,2,2
625536,2,1,1,1,1,1,12,1,8,36,2,,2,19000,1,800,2,2,2
625983,1,1,1,1,1,1,12,1,8,36,2,,2,18200,1,652,1,2,2
625983,2,1,1,1,1,1,12,1,8,36,2,,2,18200,1,652,1,2,2
625983,3,1,1,1,1,1,12,1,7,30,2,,1,10000,2,0,2,2,2
626310,2,1,1,1,1,1,12,1,8,40,1,2,2,20000,2,0,1,2,2
626851,1,1,1,1,1,1,12,1,8,36,2,,2,48000,1,1000,2,2,2
626851,2,2,1,1,1,1,12,1,8,36,2,,2,26000,1,500,2,2,2
627314,1,1,1,1,1,1,12,1,8,36,1,0,1,18000,1,400,2,2,2
627314,2,1,1,2,1,1,12,1,1,28,2,,2,10400,2,0,2,2,2
627314,3,1,1,1,1,1,12,1,1,40,2,,2,10000,2,0,2,2,2
627314,4,1,1,1,1,1,12,1,2,42,2,,2,12000,2,0,2,2,2
627479,2,1,1,1,2,2,8,1,2,50,2,,2,8000,2,0,2,2,2
627479,4,1,1,2,2,2,6,1,2,40,2,,2,6000,2,0,2,2,2
630345,1,1,1,1,1,1,12,1,8,48,2,,2,16500,2,0,2,2,2
631712,1,1,1,1,1,1,12,1,8,36,2,,2,18000,2,0,2,2,2
631712,2,1,1,1,1,1,12,1,4,40,2,,2,20000,2,0,2,2,2
633412,1,1,1,1,1,1,12,1,7,36,2,,2,19500,2,0,2,2,2
633412,2,2,1,1,1,1,12,1,7,36,2,,2,19500,2,0,2,2,2
634144,2,1,1,1,1,1,12,1,8,38,2,,2,25000,2,0,2,2,2
634732,2,1,1,1,1,1,12,1,7,37,2,,2,26000,2,0,2,2,2
635112,1,1,1,1,1,1,12,1,8,38,1,2,1,24000,1,1000,2,2,2
635346,1,1,2,1,1,1,12,1,5,45,2,,2,30000,2,0,2,2,2
635346,2,1,1,2,1,1,12,1,4,20,2,,2,10000,2,0,2,2,2
636237,1,1,1,2,1,1,12,1,5,30,2,,2,15000,2,0,2,2,2
636237,4,1,1,2,1,1,12,1,1,20,2,,2,6500,2,0,2,2,2
636305,2,2,1,1,1,1,12,1,7,40,2,,2,17500,2,0,2,2,2
636305,3,1,1,1,1,1,12,1,7,40,2,,1,16800,2,0,2,2,2
636305,4,1,1,1,1,1,12,1,7,40,2,,1,16500,2,0,2,2,2
637701,3,1,1,2,2,3,,1,1,25,2,,2,1000,2,0,2,2,2
637701,4,1,1,1,2,1,12,1,2,40,2,,2,13000,2,0,2,2,2
638339,1,1,1,1,1,2,2,1,4,40,2,,2,3450,1,150,2,2,2
638339,2,1,1,1,1,2,11,1,2,40,1,0,2,12800,2,0,2,2,2
638395,1,1,1,1,1,1,12,1,7,50,2,,1,32000,2,0,1,1,1
638395,2,1,1,1,2,2,9,1,7,16,2,,2,15000,2,0,2,2,2
639331,1,1,1,1,1,1,12,1,2,40,1,4,2,18500,2,0,2,2,2
639331,2,1,1,1,1,1,12,1,2,40,1,5,2,19000,2,0,2,2,2
639331,3,1,1,1,1,1,12,1,2,44,1,4,2,18500,2,0,2,2,2
639331,4,1,1,1,1,1,12,1,2,44,1,4,2,18500,2,0,2,2,2
