nquest,quest,nquestp,stupcf,citpcf,stumcf,citmcf,stupco,citpco,stumco,citmco,vitgen,ngen,figli,nfigli,vitf,nfratsore,parnoit,ANCONV,contint,NCOMP,CAPI
888779,3,,4,1,3,1,,,,,2,,1,2,2,,2,,1,1,1
888782,3,,2,1,2,1,2,1,2,1,1,4,2,,1,3,,2000,1,4,1
888786,3,,1,1,1,1,,,,,2,,1,2,1,1,,,1,1,1
888787,3,,2,1,2,1,,,,,2,,1,2,1,1,2,,1,1,1
888843,3,,4,1,4,1,,,,,1,1,2,,1,1,2,,2,2,1
888848,3,,4,1,5,1,,,,,1,2,2,,1,1,2,,8,1,1
888861,3,,2,1,2,1,,,,,2,,2,,1,2,,,3,1,1
888864,3,,1,1,1,1,,,,,2,,1,1,1,1,,,6,1,0
888873,3,,2,1,2,1,,,,,2,,2,,1,4,,,2,1,1
888989,3,,2,2,2,2,,,,,1,1,2,,1,3,1,,1,1,1
888997,3,,2,2,2,2,2,2,2,2,1,1,1,1,1,2,,1985,3,3,1
889014,3,,1,1,1,1,7,1,7,1,2,,1,2,1,1,,1966,2,2,1
889047,3,,7,1,7,1,,,,,1,1,1,1,1,2,2,,2,1,1
889109,3,,3,1,2,1,,,,,2,,2,,2,,2,,1,2,1
889121,3,,2,1,2,1,,,,,2,,2,,2,,2,,1,1,0
889169,3,,4,1,2,1,2,1,2,1,1,2,1,1,1,2,,1978,12,3,1
889172,3,,2,1,2,1,2,1,3,1,1,2,2,,1,2,,1989,3,3,1
889173,3,,2,1,3,1,,,,,2,,1,1,1,1,,,4,1,1
889192,3,,3,1,4,1,2,1,3,1,1,4,2,,1,3,,2008,1,3,1
889199,3,,2,1,2,1,3,1,3,1,1,4,2,,1,3,,1995,1,4,1
889202,3,,1,1,1,1,,,,,2,,1,1,2,,,,1,2,1
889213,3,,1,1,1,1,1,1,1,1,1,2,2,,1,12,,1989,1,5,1
889251,3,,2,1,2,1,,,,,2,,1,2,2,,,,2,1,1
889292,3,,2,1,2,1,,,,,2,,1,1,2,,,,1,1,1
889294,3,,2,1,2,1,,,,,2,,1,2,2,,,,3,1,1
889348,3,,2,1,3,1,,,,,1,1,2,,2,,2,,3,1,1
889377,3,,2,1,2,1,2,1,2,1,2,,1,1,1,1,,1967,3,3,1
889378,3,,2,1,2,1,,,,,1,1,2,,1,1,1,,1,3,1
889392,3,,2,1,2,1,,,,,2,,2,,1,2,2,,4,2,1
889402,3,,2,1,2,1,4,1,3,1,1,3,2,,1,3,,2000,9,5,1
889403,3,,2,1,2,1,,,,,2,,1,2,1,2,,,1,1,1
889407,3,,4,1,3,1,,,,,1,1,2,,1,1,2,,9,2,1
889497,3,,3,1,4,1,2,1,2,1,2,,1,1,1,2,,1988,2,3,1
889512,3,,1,1,1,1,1,1,1,1,2,,1,2,1,8,,1962,1,2,1
889537,3,,1,1,1,1,1,1,1,1,2,,2,,1,13,,1982,1,4,1
889576,3,,2,1,2,1,,,,,2,,1,1,2,,,,1,1,1
889577,3,,2,1,2,1,,,,,2,,1,1,1,1,,,1,2,1
889583,3,,2,1,2,1,,,,,2,,1,1,2,,,,1,3,1
889587,3,,1,1,1,1,1,1,1,1,2,,1,1,1,6,,1974,1,2,1
889618,3,,3,1,4,1,,,,,1,1,1,1,1,1,2,,1,3,1
889623,3,,3,1,3,1,3,1,3,1,1,3,2,,1,2,,1993,3,5,1
889706,3,,2,1,2,1,2,1,2,1,1,4,2,,1,2,,2011,1,3,1
889709,3,,2,1,2,1,,,,,2,,1,2,2,,2,,1,2,1
889710,3,,2,1,4,1,3,1,3,1,1,3,2,,1,1,,1999,3,3,1
889711,3,,3,1,3,1,3,1,3,1,1,4,2,,1,3,,2013,1,2,1
889714,3,,3,1,2,1,,,,,1,2,2,,1,2,2,,1,1,1
889715,3,,2,1,2,1,,,,,1,2,2,,1,1,2,,2,1,1
889719,3,,4,1,4,1,3,1,4,1,1,4,2,,1,2,,2011,2,2,0
889720,3,,2,1,2,1,,,,,1,1,1,1,1,1,2,,1,3,1
889721,3,,4,1,5,1,4,1,2,1,2,,2,,1,2,,1988,1,4,1
889722,3,,6,1,4,1,3,1,2,1,1,2,2,,1,2,,2005,1,4,1
889724,3,,1,1,1,1,1,1,1,1,2,,1,2,1,3,,1975,1,2,1
889725,3,,2,1,1,1,,,,,2,,1,3,1,1,,,2,1,1
889726,3,,1,1,1,1,,,,,2,,1,2,1,1,,,1,1,1
889727,3,,2,1,3,1,,,,,1,1,2,,1,2,2,,1,3,1
