nquest,Y,YL,YL1,YL2,YT,YTP,YTP1,YTP2,YTA,YTA1,YTA2,YTA3,YTA31,YTA32,YM,YMA1,YMA2,YC,YCA,YCA1,YCA2,YCF,YCF1,YCF2,YCF3,YCF4,CLY,CLY2
22286,26729.328152,0,0,0,19500,19500,19500,0,0,0,0,0,0,0,0,0,0,7229.3281517,7200,0,7200,29.328151742,9.28079931,20.047352432,0,0,6,3
22624,19300,15500,15500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3800,3800,0,3800,0,0,0,0,0,4,2
22657,44252.633891,23000,23000,0,3000,13000,13000,0,-10000,0,0,-10000,0,10000,0,0,0,18252.633891,18000,0,18000,252.63389069,124.8281214,127.80576929,0,0,9,5
22996,39458.935086,0,0,0,32955,32955,32955,0,0,0,0,0,0,0,0,0,0,6503.9350861,6400,0,6400,103.93508613,42.517265681,61.417820445,0,0,8,4
23370,16849.170081,0,0,0,16770,16770,16770,0,0,0,0,0,0,0,0,0,0,79.170080923,0,0,0,79.170080923,79.170080923,0,0,0,3,2
23490,23617.226823,0,0,0,18200,18200,18200,0,0,0,0,0,0,0,0,0,0,5417.2268232,5400,0,5400,17.226823164,17.226823164,0,0,0,5,3
23797,27831.154893,18200,18200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9631.154893,9600,0,9600,31.154892956,31.154892956,0,0,0,6,3
23821,12183.218528,0,0,0,7930,7930,7930,0,0,0,0,0,0,0,0,0,0,4253.2185276,4200,0,4200,53.218527603,53.218527603,0,0,0,2,1
23823,30855.170776,13000,13000,0,11817,11817,11817,0,0,0,0,0,0,0,0,0,0,6038.1707764,6000,0,6000,38.17077636,38.17077636,0,0,0,7,4
24147,65915.195979,20000,20000,0,18200,18200,18200,0,0,0,0,0,0,0,0,0,0,27715.195979,26400,12000,14400,1315.1959793,51.313941339,0,1263.882038,0,10,5
24149,12097.330563,0,0,0,12090,12090,12090,0,0,0,0,0,0,0,0,0,0,7.3305630485,0,0,0,7.3305630485,7.3305630485,0,0,0,2,1
24194,68560.493299,37350,36300,1050,20800,20800,20800,0,0,0,0,0,0,0,0,0,0,10410.493299,9000,0,9000,1410.493299,146.61126097,0,1263.882038,0,10,5
24382,11891.290777,0,0,0,8060,8060,8060,0,0,0,0,0,0,0,0,0,0,3831.290777,3800,0,3800,31.290777027,31.290777027,0,0,0,2,1
24616,26814.661126,0,0,0,26800,26800,26800,0,0,0,0,0,0,0,0,0,0,14.661126097,0,0,0,14.661126097,14.661126097,0,0,0,6,3
24760,16836.652815,0,0,0,10800,10800,10800,0,0,0,0,0,0,0,0,0,0,6036.6528152,6000,0,6000,36.652815242,36.652815242,0,0,0,3,2
24764,28010.995845,19200,19200,0,2800,0,0,0,2800,0,1600,1200,1200,0,0,0,0,6010.9958446,6000,0,6000,10.995844573,10.995844573,0,0,0,6,3
24809,30525.656971,0,0,0,14300,14300,14300,0,0,0,0,0,0,0,0,0,0,16225.656971,16200,8400,7800,25.65697067,25.65697067,0,0,0,7,4
