nquest,ctit,nctit,ictit,unaban,banche,scoper,utscoper,mesiscoper,vmscoper,fscoper,fscoper1,carta,carte,usocart,cartdeb,cartdeb1,bancomat,nbancoma,cartapre,ncartapre,spesecon,coldis,trading,DEPOSIT,NDEPOSIT
173,2,,,1,1,1,2,,,,,2,,,,,1,1,2,,500,1,2,1,1
375,2,,,1,1,1,2,,,,,2,,,,,1,1,2,,500,1,2,1,1
633,2,,,1,1,2,,,,,,2,,,,,1,1,2,,500,2,,1,1
923,,,,1,1,,,,,,,2,,,,,2,,2,,300,2,,1,1
1367,,,,1,1,,,,,,,2,,,,,2,,2,,1000,2,,1,1
1763,,,,1,1,,,,,,,2,,,,,1,2,2,,500,2,,1,1
1946,2,1,1,2,2,1,2,,,,,2,,,,,1,1,2,,300,2,,1,2
2886,2,,,2,2,3,,,,,,2,,,,,1,2,2,,1500,2,,1,4
3717,,,,,,,,,,,,2,,,,,2,,2,,800,2,,2,0
5416,2,,,1,1,2,,,,,,2,,,,,1,1,2,,400,2,,1,1
7886,2,,,1,1,2,,,,,,1,1,1,,,1,1,2,,700,2,,1,1
11972,2,,,1,1,1,2,,,,,2,,,,,2,,2,,250,2,,1,1
20297,2,,,1,1,2,,,,,,2,,,,,1,1,2,,1000,2,,1,2
20711,2,,,1,1,2,,,,,,2,,,,,1,2,2,,500,2,,1,1
20837,1,1,2,1,1,2,,,,,,2,,,,,1,1,2,,600,2,,1,1
22099,2,,,1,1,2,,,,,,2,,,,,1,1,2,,1000,2,,1,1
22169,2,,,1,1,2,,,,,,2,,,,,2,,2,,600,2,,1,2
22173,2,,,1,1,3,,,,,,2,,,,,1,2,2,,1500,2,,1,2
22208,2,,,1,1,2,,,,,,2,,,,,1,1,2,,500,2,,1,1
22276,2,,,2,2,2,,,,,,2,,,,,2,,2,,300,2,,1,2
22286,2,1,1,2,2,2,,,,,,2,,,,,1,2,2,,500,2,,1,2
22624,2,,,1,1,2,,,,,,2,,,,,1,1,2,,1000,2,,1,1
22657,1,2,2,2,2,1,2,,,,,1,1,1,,,1,2,2,,500,2,,1,2
22996,1,1,2,1,1,3,,,,,,2,,,,,1,1,2,,1200,2,,1,1
23370,2,,,2,2,2,,,,,,2,,,,,1,2,2,,600,2,,1,2
23490,2,,,2,2,2,,,,,,2,,,,,1,1,2,,500,2,,1,2
23797,2,,,1,1,2,,,,,,1,1,3,,1,1,1,2,,1400,2,,1,1
23821,2,,,1,1,3,,,,,,2,,,,,1,1,2,,600,1,2,1,1
23823,2,,,1,1,1,2,,,,,1,1,1,,,1,1,2,,1200,1,2,1,1
24147,2,1,1,1,1,2,,,,,,1,2,2,,,1,2,2,,400,1,2,1,2
24149,2,,,1,1,2,,,,,,2,,,,,2,,2,,900,2,,1,1
24194,2,1,1,2,3,2,,,,,,2,,,,,1,3,1,2,2000,1,2,1,3
24382,,,,1,1,,,,,,,2,,,,,2,,2,,300,2,,1,1
24616,2,,,1,1,2,,,,,,2,,,,,1,1,2,,1000,2,,1,2
24760,,,,1,1,,,,,,,2,,,,,2,,2,,700,2,,1,1
24764,2,,,1,1,1,2,,,,,2,,,,,1,1,2,,1600,2,,1,1
24809,2,,,1,1,1,2,,,,,2,,,,,2,,2,,500,2,,1,2
24853,1,1,2,2,3,2,,,,,,2,,,,,1,2,2,,1000,1,2,1,4
25007,2,,,1,1,1,2,,,,,2,,,,,1,1,2,,700,2,,1,1
26349,2,1,1,1,1,2,,,,,,2,,,,,2,,2,,800,2,,1,1
27109,2,,,1,1,3,,,,,,2,,,,,1,1,2,,500,2,,1,1
27114,2,,,1,1,2,,,,,,2,,,,,1,1,2,,550,2,,1,1
27116,2,,,1,1,3,,,,,,2,,,,,1,1,2,,350,2,,1,1
27157,,,,1,1,,,,,,,2,,,,,2,,1,4,400,2,,1,1
27238,2,,,1,1,2,,,,,,2,,,,,1,2,2,,1500,1,2,1,1
27509,2,,,1,1,2,,,,,,2,,,,,1,1,2,,800,2,,1,1
27730,2,,,2,2,1,2,,,,,1,1,2,,,1,2,1,1,1200,1,2,1,2
27734,2,,,1,1,1,1,6,350,0,,2,,,,,1,2,2,,600,2,,1,1
27739,2,,,1,1,1,2,,,,,2,,,,,1,1,2,,600,2,,1,1
27742,,,,,,,,,,,,2,,,,,2,,2,,300,2,,2,0
27912,2,,,1,1,1,2,,,,,1,2,1,,,1,1,2,,850,1,2,1,2
27923,2,,,2,2,1,2,,,,,1,1,1,,,2,,2,,800,1,2,1,2
27947,,,,2,2,,,,,,,2,,,,,2,,2,,500,2,,1,2
28362,2,1,1,1,1,2,,,,,,2,,,,,2,,2,,600,2,,1,1
28441,2,1,1,2,2,3,,,,,,2,,,,,1,1,2,,1200,2,,1,3
28802,2,,,1,1,2,,,,,,1,1,2,,,1,2,1,1,800,2,,1,1
28859,2,,,1,1,2,,,,,,2,,,,,2,,2,,350,2,,1,1
28992,2,,,1,1,3,,,,,,2,,,,,2,,2,,1500,2,,1,1
29140,2,,,1,1,2,,,,,,1,1,1,,,2,,2,,400,2,,1,2
29678,2,,,1,1,2,,,,,,2,,,,,1,1,2,,900,2,,1,1
29680,2,,,1,1,2,,,,,,1,1,1,,,1,1,1,1,500,1,2,1,1
29737,2,,,1,1,1,2,,,,,1,2,2,,,2,,1,1,1500,1,2,1,1
29742,2,,,1,1,1,1,12,2500,2000,,1,1,2,,,2,,2,,2000,2,,1,1
29798,1,1,2,1,1,2,,,,,,2,,,,,2,,2,,1300,2,,1,1
29823,1,1,2,1,1,2,,,,,,1,1,2,,,1,1,1,3,1000,1,2,1,1
31093,2,1,1,1,1,1,2,,,,,1,2,1,,,1,1,1,2,400,1,1,1,1
31220,1,3,2,2,3,2,,,,,,2,,,,,2,,2,,200,2,,1,3
31221,1,1,1,1,1,2,,,,,,2,,,,,2,,2,,600,2,,1,1
31246,1,1,2,1,1,3,,,,,,2,,,,,2,,2,,2200,2,,1,1
31625,2,,,2,3,2,,,,,,1,2,2,,,1,3,2,,700,1,2,1,3
31652,2,1,1,1,1,2,,,,,,1,1,2,,,1,1,2,,1500,2,,1,2
31665,1,1,1,1,1,1,2,,,,,1,1,1,,,2,,2,,300,2,,1,2
31671,2,1,1,1,1,1,2,,,,,1,1,1,,,1,1,2,,1000,2,,1,1
31695,2,,,2,2,2,,,,,,2,,,,,1,2,2,,600,2,,1,2
31724,1,3,3,1,1,2,,,,,,1,2,2,,,1,5,1,1,2000,1,2,1,5
31757,2,1,1,1,1,2,,,,,,2,,,,,1,1,2,,300,2,,1,1
31799,1,1,2,1,1,2,,,,,,2,,,,,1,1,2,,400,2,,1,1
31860,2,,,1,1,1,2,,,,,2,,,,,1,2,1,1,1000,1,2,1,1
32034,2,,,1,1,2,,,,,,2,,,,,1,2,2,,1000,2,,1,1
32044,2,,,1,1,3,,,,,,2,,,,,1,1,2,,750,2,,1,1
32052,2,,,1,1,2,,,,,,2,,,,,1,2,2,,1200,2,,1,1
32057,2,,,1,1,1,2,,,,,1,1,1,,,1,3,1,1,1000,2,,1,2
32190,2,,,1,1,1,2,,,,,1,1,2,,,1,1,2,,600,2,,1,1
32318,2,,,1,1,2,,,,,,2,,,,,1,1,2,,50,2,,1,1
32320,2,,,1,1,2,,,,,,1,2,2,,,1,3,2,,500,1,2,1,2
32471,2,,,1,1,2,,,,,,2,,,,,1,1,2,,500,2,,1,1
32524,1,2,2,2,2,1,2,,,,,1,2,2,,,1,2,1,1,916,1,1,1,2
32556,1,1,1,1,1,2,,,,,,1,1,1,,,1,1,2,,400,2,,1,1
32668,2,,,2,2,3,,,,,,2,,,,,2,,2,,1000,2,,1,2
32703,2,,,1,1,2,,,,,,2,,,,,2,,2,,300,2,,1,1
32709,2,1,1,2,3,2,,,,,,1,2,2,,,1,4,2,,1500,2,,1,3
32729,2,1,1,1,1,1,1,6,5000,5000,,1,1,2,,,1,1,2,,1000,2,,1,2
32734,2,,,1,1,1,1,12,1000,1000,,1,1,2,,,1,1,2,,800,2,,1,1
32751,1,1,1,2,2,2,,,,,,2,,,,,2,,2,,800,2,,1,2
32765,2,,,2,2,2,,,,,,1,2,2,,,1,2,1,1,700,1,1,1,2
32772,1,1,4,2,2,2,,,,,,2,,,,,1,1,2,,300,2,,1,3
32810,,,,1,1,,,,,,,2,,,,,2,,2,,600,2,,1,1
32822,2,,,2,2,2,,,,,,2,,,,,1,2,2,,2800,2,,1,2
32839,2,1,1,2,2,1,2,,,,,1,1,1,,,1,2,2,,400,2,,1,2
32861,2,1,1,1,1,1,2,,,,,2,,,,,1,3,1,1,1000,2,,1,3
32887,2,,,1,1,2,,,,,,1,1,2,,,1,1,2,,500,1,2,1,2
33036,,,,1,1,,,,,,,2,,,,,2,,2,,800,2,,1,1
33038,2,,,1,1,2,,,,,,2,,,,,1,1,2,,1000,2,,1,2
33275,2,,,1,1,1,2,,,,,2,,,,,1,2,2,,1000,1,2,1,1
33303,2,1,1,1,1,2,,,,,,2,,,,,1,2,2,,500,2,,1,1
33335,1,3,3,2,3,1,1,8,20000,0,,2,,,,,1,4,1,1,300,1,2,1,6
33336,2,,,1,1,2,,,,,,2,,,,,1,1,2,,900,2,,1,1
33348,1,1,1,1,1,1,2,,,,,2,,,,,2,,2,,1500,2,,1,3
33451,2,,,1,1,2,,,,,,2,,,,,1,1,2,,1400,2,,1,1
33455,,1,1,1,1,,,,,,,2,,,,,2,,2,,800,2,,1,1
33479,2,,,1,1,2,,,,,,1,1,1,,,1,1,2,,500,2,,1,2
33644,2,,,1,1,2,,,,,,2,,,,,2,,2,,250,2,,1,1
33823,2,,,1,1,2,,,,,,2,,,,,1,1,2,,1000,2,,1,1
33839,,,,1,1,,,,,,,2,,,,,1,1,2,,550,2,,1,1
33877,2,,,1,1,2,,,,,,1,1,1,,,1,1,2,,300,2,,1,1
33882,2,,,1,1,2,,,,,,2,,,,,1,1,2,,350,2,,1,1
33937,2,,,1,1,2,,,,,,2,,,,,1,1,2,,1000,2,,1,1
33985,2,1,1,2,2,2,,,,,,1,3,2,,,1,2,1,1,1000,1,2,1,2
33994,2,,,1,1,2,,,,,,2,,,,,1,2,1,2,1500,2,,1,2
34059,1,1,1,2,2,2,,,,,,1,2,2,,,1,2,1,1,600,1,2,1,2
34252,2,,,1,1,2,,,,,,2,,,,,2,,2,,800,2,,1,1
34732,,,,2,2,,,,,,,2,,,,,2,,2,,1500,2,,1,2
34778,2,,,1,1,2,,,,,,2,,,,,1,1,2,,1000,2,,1,1
34825,2,1,1,2,2,2,,,,,,2,,,,,1,2,1,1,1000,2,,1,2
34900,2,1,1,1,1,2,,,,,,2,,,,,1,2,2,,500,2,,1,1
35005,2,,,1,1,2,,,,,,2,,,,,2,,2,,500,2,,1,2
35022,2,,,1,1,2,,,,,,2,,,,,1,2,2,,800,2,,1,1
35032,2,,,1,1,1,2,,,,,1,4,1,,,1,4,2,,1400,1,2,1,3
35234,2,,,1,1,1,2,,,,,2,,,,,1,1,2,,300,1,2,1,1
35319,,,,1,1,,,,,,,2,,,,,2,,2,,500,2,,1,1
35322,2,,,2,2,2,,,,,,2,,,,,2,,2,,800,2,,1,2
35323,,,,1,1,,,,,,,2,,,,,2,,2,,600,2,,1,1
35326,,,,1,1,,,,,,,2,,,,,2,,2,,2000,2,,1,1
35340,,,,1,1,,,,,,,2,,,,,2,,2,,520,2,,1,1
35349,,,,1,1,,,,,,,2,,,,,2,,2,,1000,2,,1,1
35355,,,,1,1,,,,,,,2,,,,,2,,2,,650,2,,1,1
35370,,,,1,1,,,,,,,2,,,,,2,,2,,600,2,,1,1
35372,2,,,1,1,2,,,,,,2,,,,,1,2,2,,2500,2,,1,2
35374,2,,,1,1,2,,,,,,2,,,,,1,1,2,,1500,2,,1,2
35379,2,,,1,1,3,,,,,,2,,,,,1,1,2,,1400,2,,1,1
35502,2,,,1,1,2,,,,,,2,,,,,1,1,2,,700,2,,1,1
35507,2,1,1,1,1,2,,,,,,2,,,,,1,2,1,1,1000,2,,1,2
35508,2,,,1,1,2,,,,,,2,,,,,1,1,1,1,200,2,,1,1
35518,2,,,2,2,2,,,,,,2,,,,,1,1,2,,1000,2,,1,2
35600,,,,1,1,,,,,,,2,,,,,2,,2,,400,2,,1,1
35640,2,1,1,1,1,2,,,,,,2,,,,,2,,2,,400,2,,1,1
35682,2,1,1,1,1,2,,,,,,2,,,,,1,1,2,,200,2,,1,1
35788,2,1,1,2,2,1,2,,,,,1,1,1,,,1,2,2,,1000,1,2,1,2
35968,1,1,1,1,1,2,,,,,,2,,,,,1,1,2,,1000,2,,1,1
36067,2,,,2,2,3,,,,,,2,,,,,1,2,1,1,600,2,,1,2
36130,2,,,1,1,3,,,,,,2,,,,,1,2,2,,400,2,,1,2
36164,2,,,2,2,2,,,,,,2,,,,,1,1,2,,300,2,,1,2
36186,2,,,1,1,2,,,,,,2,,,,,1,1,1,1,500,2,,1,2
36250,2,,,1,1,2,,,,,,2,,,,,1,2,1,2,1000,1,2,1,1
36321,2,,,1,1,1,2,,,,,1,1,1,,,1,1,2,,1500,2,,1,1
36333,2,,,1,1,2,,,,,,2,,,,,1,1,2,,500,2,,1,1
36378,2,,,2,2,3,,,,,,1,1,2,,,1,2,2,,200,2,,1,2
36403,,,,1,1,,,,,,,2,,,,,2,,2,,300,2,,1,1
36409,2,,,1,1,2,,,,,,1,1,1,,,1,2,2,,400,2,,1,1
36443,2,,,2,2,1,2,,,,,1,1,2,,,1,2,1,1,1000,2,,1,3
36450,2,1,1,2,2,1,2,,,,,2,,,,,2,,2,,2000,2,,1,2
36522,1,1,1,1,1,1,2,,,,,1,2,2,,,1,1,1,1,1000,1,2,1,3
36524,2,,,1,1,1,2,,,,,1,1,2,,,1,2,2,,1000,2,,1,2
36697,2,,,1,1,2,,,,,,1,1,1,,,1,1,1,1,500,1,2,1,1
36893,2,1,1,1,1,2,,,,,,1,1,1,,,1,1,2,,700,2,,1,1
37001,2,,,2,2,2,,,,,,1,1,2,,,1,2,2,,1500,2,,1,2
37011,2,,,1,1,1,2,,,,,1,1,1,,,1,1,2,,700,2,,1,1
37299,,,,,,,,,,,,2,,,,,2,,2,,1200,2,,2,0
37459,2,,,1,1,1,2,,,,,1,1,1,,,1,3,1,2,1000,1,2,1,3
37521,2,,,1,1,2,,,,,,2,,,,,1,1,2,,900,2,,1,1
37665,2,,,2,2,2,,,,,,2,,,,,1,2,1,1,1000,1,2,1,2
37677,2,,,1,1,2,,,,,,2,,,,,1,1,1,1,300,1,2,1,1
37810,,,,1,1,,,,,,,2,,,,,2,,2,,500,2,,1,1
38014,2,1,1,2,2,2,,,,,,2,,,,,1,1,1,1,1200,2,,1,3
38095,2,,,1,1,1,1,12,300,,1,1,1,2,,,1,3,1,1,600,1,2,1,2
38106,2,,,2,2,3,,,,,,1,1,2,,,1,1,2,,200,2,,1,2
38135,2,,,2,3,1,1,12,2000,190,,2,,,,,2,,1,1,200,2,,1,3
38272,2,,,1,1,2,,,,,,2,,,,,1,1,2,,300,2,,1,1
38316,1,1,2,1,1,2,,,,,,1,1,2,,,1,2,1,2,500,2,,1,2
38349,1,1,1,1,1,2,,,,,,2,,,,,2,,2,,500,2,,1,1
38554,2,,,2,2,1,1,1,400,0,,2,,,,,1,2,1,2,1200,2,,1,2
38877,2,,,1,1,1,2,,,,,2,,,,,1,1,2,,550,2,,1,1
38885,2,,,2,2,1,2,,,,,2,,,,,1,1,2,,600,2,,1,2
38939,2,,,1,1,1,2,,,,,2,,,,,1,1,2,,1500,1,2,1,2
38940,2,,,1,1,2,,,,,,2,,,,,1,1,2,,1200,2,,1,1
38957,2,,,1,1,2,,,,,,2,,,,,1,1,2,,1500,2,,1,1
38979,2,,,1,1,2,,,,,,2,,,,,1,1,2,,400,2,,1,1
38992,1,2,2,2,2,1,2,,,,,1,2,2,,,1,4,1,1,1500,1,2,1,2
39056,1,1,2,1,1,1,2,,,,,1,1,2,,,1,1,2,,500,1,2,1,1
39086,1,1,2,1,1,2,,,,,,2,,,,,1,1,2,,300,1,2,1,3
39095,1,1,1,2,2,1,2,,,,,1,1,2,,,1,2,1,1,1000,1,2,1,4
39218,2,1,1,1,1,2,,,,,,2,,,,,1,1,2,,250,2,,1,1
39227,2,,,2,2,2,,,,,,2,,,,,1,1,2,,600,2,,1,3
39284,2,,,1,1,2,,,,,,1,1,2,,,1,2,2,,500,2,,1,4
39317,2,,,1,1,2,,,,,,2,,,,,1,1,2,,200,2,,1,1
39318,2,,,1,1,1,2,,,,,1,1,1,,,1,1,1,1,1000,1,2,1,1
39351,,,,,,,,,,,,2,,,,,2,,2,,1200,2,,2,0
39488,2,,,2,2,2,,,,,,2,,,,,1,1,2,,1000,2,,1,2
39491,2,1,1,1,1,2,,,,,,1,1,2,,,1,1,2,,700,2,,1,1
39697,2,1,1,1,1,4,,,,,,1,1,2,,,1,1,1,1,1500,1,2,1,1
50052,2,,,1,1,2,,,,,,2,,,,,1,1,2,,500,2,,1,1
50060,2,1,1,2,2,1,2,,,,,2,,,,,1,2,2,,400,1,2,1,2
50085,2,,,1,1,2,,,,,,2,,,,,1,1,2,,300,2,,1,1
50231,2,,,1,1,2,,,,,,2,,,,,2,,2,,1000,2,,1,1
50232,2,,,1,1,2,,,,,,2,,,,,2,,2,,800,2,,1,1
51013,2,,,1,1,2,,,,,,1,1,2,,,1,2,2,,1500,1,2,1,2
51363,2,,,1,1,3,,,,,,2,,,,,1,1,2,,100,2,,1,1
51444,2,,,1,1,1,2,,,,,2,,,,,1,3,1,1,500,1,2,1,3
51467,2,,,1,1,3,,,,,,2,,,,,1,2,2,,500,2,,1,2
51544,2,,,2,2,2,,,,,,2,,,,,1,2,1,1,1000,2,,1,2
51733,2,,,2,2,2,,,,,,1,1,2,,,1,1,2,,500,2,,1,2
51895,2,1,1,1,1,2,,,,,,2,,,,,1,1,2,,500,2,,1,1
52700,2,,,1,1,2,,,,,,2,,,,,1,1,2,,600,2,,1,1
52718,2,,,2,2,3,,,,,,2,,,,,1,1,2,,200,2,,1,2
52736,2,,,1,1,1,2,,,,,2,,,,,1,1,2,,900,1,2,1,1
53008,2,,,2,2,1,2,,,,,1,1,3,,1,1,3,1,1,500,1,2,1,2
53028,,,,1,1,,,,,,,2,,,,,2,,2,,100,2,,1,1
53086,2,,,1,1,1,2,,,,,1,1,2,,,1,1,1,1,300,2,,1,1
53109,2,,,1,1,2,,,,,,2,,,,,1,1,2,,300,2,,1,1
53202,2,1,1,1,1,2,,,,,,2,,,,,1,1,2,,300,2,,1,1
53234,2,,,1,1,1,2,,,,,2,,,,,2,,2,,700,2,,1,1
53373,2,1,1,1,1,1,2,,,,,1,2,1,,,1,2,2,,1000,1,2,1,1
53380,,,,,,,,,,,,2,,,,,1,1,2,,900,2,,2,0
53520,1,2,2,2,2,2,,,,,,2,,,,,1,2,2,,1000,2,,1,4
53549,2,,,1,1,2,,,,,,2,,,,,1,2,2,,1200,2,,1,3
53552,2,,,2,2,2,,,,,,2,,,,,1,1,2,,600,2,,1,2
53564,1,1,1,1,1,2,,,,,,1,1,1,,,1,2,1,1,1500,1,2,1,3
53596,2,,,1,1,2,,,,,,2,,,,,1,1,2,,500,2,,1,1
53871,2,,,1,1,2,,,,,,2,,,,,1,1,2,,600,2,,1,1
53997,2,,,2,2,3,,,,,,1,2,1,,,1,2,2,,800,2,,1,3
54143,1,1,2,1,1,2,,,,,,1,1,2,,,1,1,2,,1000,2,,1,2
55147,1,1,2,1,1,2,,,,,,2,,,,,2,,2,,800,2,,1,1
55308,,,,1,1,,,,,,,2,,,,,2,,2,,350,2,,1,1
55425,2,,,2,2,2,,,,,,1,1,2,,,1,1,2,,200,1,2,1,2
55430,2,,,1,1,2,,,,,,1,1,1,,,1,1,2,,800,2,,1,1
55636,2,,,2,2,2,,,,,,2,,,,,1,2,1,1,1000,2,,1,2
55774,2,,,1,1,1,2,,,,,2,,,,,1,2,2,,800,2,,1,2
56251,2,,,1,1,2,,,,,,2,,,,,2,,2,,1700,2,,1,2
56465,2,,,1,1,2,,,,,,1,1,2,,,1,1,2,,750,2,,1,1
56563,2,,,1,1,2,,,,,,2,,,,,2,,2,,600,2,,1,2
56582,1,1,2,1,1,1,2,,,,,1,2,2,,,1,2,1,1,600,2,,1,2
56603,2,,,2,2,1,1,6,1500,1500,,2,,,,,1,2,1,2,300,2,,1,2
56624,2,,,1,1,1,2,,,,,2,,,,,1,2,2,,1500,1,2,1,1
56658,2,,,2,2,1,2,,,,,1,1,1,,,1,1,2,,200,1,2,1,2
56677,2,,,2,2,2,,,,,,2,,,,,1,2,2,,1000,2,,1,2
56721,2,1,1,2,3,2,,,,,,2,,,,,1,2,2,,1000,2,,1,4
56761,2,,,2,2,2,,,,,,1,3,2,,,1,2,2,,1500,1,2,1,3
56762,2,,,1,1,2,,,,,,2,,,,,2,,2,,800,2,,1,1
57027,2,,,2,2,2,,,,,,2,,,,,1,1,1,1,1000,2,,1,2
57042,2,,,1,1,2,,,,,,2,,,,,2,,2,,700,2,,1,1
57138,2,,,2,2,2,,,,,,1,1,2,,,1,2,2,,800,1,2,1,2
57546,2,,,2,2,2,,,,,,1,1,2,,,1,4,1,1,500,1,2,1,4
57547,2,,,1,1,2,,,,,,1,1,2,,,1,2,1,1,300,2,,1,2
57621,2,,,2,2,1,2,,,,,1,2,2,,,1,2,2,,500,2,,1,3
57670,2,,,1,1,2,,,,,,2,,,,,1,1,2,,250,2,,1,1
57779,2,,,1,1,2,,,,,,2,,,,,1,1,1,1,500,2,,1,1
57962,1,1,1,2,2,1,2,,,,,2,,,,,1,2,1,1,1000,1,2,1,2
58366,2,,,1,1,2,,,,,,2,,,,,1,1,2,,1100,2,,1,1
60078,,,,,,,,,,,,2,,,,,2,,2,,780,2,,1,1
91067,2,,,2,2,2,,,,,,2,,,,,1,1,2,,1300,2,,1,2
91071,1,1,2,2,3,1,2,,,,,1,1,2,,,1,2,2,,500,1,2,1,3
91074,2,,,1,1,2,,,,,,1,1,1,,,1,1,2,,300,1,2,1,1
91079,1,1,1,2,2,1,1,12,1500,0,,2,,,,,1,2,1,2,1000,1,2,1,4
91081,2,,,1,1,2,,,,,,1,1,2,,,1,1,2,,2000,2,,1,2
91095,1,1,1,1,1,1,1,2,300,0,,1,2,1,,,1,2,2,,700,1,2,1,2
111052,2,,,1,1,2,,,,,,2,,,,,2,,2,,1400,2,,1,2
138399,1,2,1,2,2,3,,,,,,2,,,,,2,,2,,950,2,,1,2
145007,2,,,2,2,1,1,5,1000,500,,1,5,2,,,1,4,1,1,500,1,2,1,2
178001,2,,,1,1,2,,,,,,2,,,,,1,1,2,,600,2,,1,1
193016,2,,,1,1,1,1,2,200,,1,2,,,,,2,,2,,300,2,,1,1
213440,2,,,1,1,2,,,,,,1,1,1,,,1,2,2,,600,2,,1,1
224048,,,,,,,,,,,,2,,,,,2,,2,,800,2,,2,0
230029,1,1,2,1,1,2,,,,,,2,,,,,1,1,2,,600,2,,1,2
230037,2,,,1,1,1,1,12,3500,3500,,2,,,,,1,1,2,,500,2,,1,1
237003,2,,,2,2,2,,,,,,1,1,1,,,1,2,2,,1300,2,,1,2
243067,1,1,2,1,1,2,,,,,,2,,,,,1,2,2,,1200,1,2,1,2
244013,2,,,1,1,2,,,,,,2,,,,,1,1,2,,800,2,,1,1
244058,2,,,1,1,2,,,,,,2,,,,,1,1,2,,500,2,,1,1
250005,2,,,1,1,2,,,,,,2,,,,,2,,2,,500,2,,1,1
250010,2,,,1,1,2,,,,,,2,,,,,2,,2,,500,2,,1,1
250039,2,,,1,1,2,,,,,,2,,,,,1,1,2,,400,2,,1,1
256015,2,,,1,1,2,,,,,,2,,,,,1,2,1,2,1000,2,,1,1
279054,2,,,1,1,2,,,,,,2,,,,,1,1,2,,800,2,,1,1
282083,,,,1,1,,,,,,,2,,,,,2,,2,,700,2,,1,1
282089,2,,,1,1,2,,,,,,2,,,,,1,1,2,,500,2,,1,1
284086,2,,,1,1,2,,,,,,2,,,,,1,1,2,,1600,2,,1,2
310002,,,,1,1,,,,,,,2,,,,,1,1,2,,800,2,,1,1
310005,2,,,2,2,2,,,,,,2,,,,,1,2,2,,1200,2,,1,2
321009,2,,,1,1,2,,,,,,2,,,,,1,1,2,,800,2,,1,1
330057,2,,,1,1,3,,,,,,2,,,,,2,,2,,1400,2,,1,1
332080,2,,,1,1,2,,,,,,2,,,,,2,,2,,600,2,,1,1
333081,1,1,2,1,1,2,,,,,,1,1,2,,,1,1,1,1,1000,1,1,1,1
355063,2,,,1,1,1,2,,,,,2,,,,,1,1,2,,600,2,,1,2
365034,2,,,1,1,2,,,,,,2,,,,,1,1,2,,1200,2,,1,1
387029,2,1,1,1,1,2,,,,,,1,1,2,,,1,1,2,,800,1,1,1,1
389084,2,,,1,1,2,,,,,,2,,,,,1,1,2,,1100,2,,1,1
500001,2,,,1,1,2,,,,,,2,,,,,1,1,2,,400,2,,1,1
500004,,,,1,1,,,,,,,2,,,,,1,4,2,,900,2,,1,4
500026,1,1,2,1,1,1,2,,,,,2,,,,,1,2,2,,1000,2,,1,1
500090,2,,,1,1,2,,,,,,2,,,,,2,,2,,800,2,,1,1
500176,2,,,1,1,2,,,,,,2,,,,,1,1,2,,500,2,,1,2
500669,2,,,1,1,2,,,,,,1,2,1,,,1,2,2,,300,2,,1,1
500674,2,,,1,1,2,,,,,,1,1,1,,,1,2,2,,500,2,,1,1
500726,2,1,1,1,1,2,,,,,,1,1,2,,,1,1,2,,1800,2,,1,1
501068,2,,,1,1,2,,,,,,2,,,,,1,1,2,,1000,2,,1,1
501082,2,,,1,1,2,,,,,,2,,,,,1,2,2,,1500,2,,1,1
501627,2,1,1,1,1,2,,,,,,2,,,,,2,,2,,900,2,,1,1
501694,2,,,1,1,2,,,,,,2,,,,,1,1,2,,400,2,,1,1
501816,2,,,2,2,2,,,,,,2,,,,,1,2,2,,500,1,2,1,2
501874,1,1,2,2,2,3,,,,,,2,,,,,1,2,2,,400,2,,1,4
502060,2,,,1,1,1,2,,,,,1,1,3,,2,1,1,2,,500,1,2,1,1
502355,1,1,2,1,1,2,,,,,,2,,,,,1,2,1,1,150,2,,1,2
502364,1,1,1,1,1,2,,,,,,2,,,,,2,,2,,600,2,,1,1
502772,2,1,1,1,1,2,,,,,,2,,,,,1,2,1,1,400,2,,1,1
503560,2,,,1,1,2,,,,,,1,2,1,,,1,2,2,,500,2,,1,2
503561,2,1,1,2,2,2,,,,,,2,,,,,1,1,2,,300,2,,1,2
503593,2,,,1,1,2,,,,,,2,,,,,1,1,1,1,200,1,2,1,1
503674,2,1,1,1,1,2,,,,,,1,3,2,,,1,3,1,2,1050,1,2,1,3
503788,1,1,2,1,1,2,,,,,,1,2,2,,,1,2,2,,500,2,,1,1
503931,1,2,2,2,2,1,2,,,,,1,1,2,,,1,2,1,1,700,1,2,1,2
503950,1,1,2,1,1,2,,,,,,2,,,,,1,2,1,1,600,1,2,1,1
503981,2,,,1,1,2,,,,,,2,,,,,2,,2,,1500,2,,1,1
504091,2,,,1,1,2,,,,,,2,,,,,1,1,2,,300,2,,1,1
504157,2,,,1,1,2,,,,,,1,1,2,,,1,1,2,,60,1,2,1,2
504363,2,,,1,1,2,,,,,,2,,,,,1,1,1,1,150,1,1,1,1
504380,2,,,1,1,2,,,,,,2,,,,,1,1,2,,400,2,,1,1
504395,2,,,1,1,2,,,,,,2,,,,,1,2,1,2,800,1,2,1,3
504453,2,,,1,1,3,,,,,,1,1,1,,,1,2,2,,300,1,2,1,2
504551,2,,,1,1,2,,,,,,2,,,,,2,,2,,700,2,,1,1
504584,2,,,1,1,2,,,,,,2,,,,,1,1,2,,200,2,,1,1
504730,2,,,1,1,2,,,,,,2,,,,,1,1,2,,500,2,,1,1
