nquest,ctit,nctit,ictit,unaban,banche,scoper,utscoper,mesiscoper,vmscoper,fscoper,fscoper1,carta,carte,usocart,cartdeb,cartdeb1,bancomat,nbancoma,cartapre,ncartapre,spesecon,coldis,trading,DEPOSIT,NDEPOSIT
902252,2,,,1,1,2,,,,,,2,,,,,1,1,2,,500,2,,1,1
902400,2,,,1,1,2,,,,,,2,,,,,1,1,2,,600,2,,1,1
902401,2,,,1,1,2,,,,,,1,1,3,,1,1,4,1,1,500,1,2,1,3
902411,2,,,1,1,2,,,,,,2,,,,,1,1,2,,1000,2,,1,1
902417,2,,,1,1,2,,,,,,2,,,,,1,1,2,,500,2,,1,1
902461,2,,,1,1,2,,,,,,2,,,,,1,1,2,,1200,2,,1,1
902550,,,,1,1,,,,,,,2,,,,,1,1,2,,750,2,,1,1
902575,,,,,,,,,,,,2,,,,,2,,2,,450,2,,2,0
902673,,,,1,1,,,,,,,2,,,,,2,,2,,600,2,,1,1
902680,2,,,1,1,3,,,,,,2,,,,,1,1,2,,600,2,,1,1
902712,2,,,1,1,1,2,,,,,1,2,1,,,1,1,1,1,1500,1,2,1,1
902811,2,,,1,1,3,,,,,,1,1,1,,,1,1,2,,500,1,2,1,1
902869,2,,,2,2,1,1,5,2000,0,,1,1,2,,,1,2,1,1,2000,1,2,1,2
902913,2,,,2,2,1,2,,,,,2,,,,,1,2,2,,500,2,,1,3
902915,1,1,1,2,2,1,2,,,,,1,1,2,,,1,3,2,,300,1,2,1,2
902916,2,,,1,1,1,2,,,,,2,,,,,1,1,2,,600,2,,1,1
902947,2,,,1,1,2,,,,,,2,,,,,1,1,2,,400,2,,1,2
902949,2,,,1,1,2,,,,,,2,,,,,2,,2,,800,2,,1,1
903018,2,1,1,1,1,2,,,,,,1,2,2,,,1,2,2,,600,1,2,1,2
903043,2,,,1,1,2,,,,,,2,,,,,2,,2,,1000,2,,1,1
903045,2,,,1,1,2,,,,,,2,,,,,1,1,2,,960,2,,1,1
