nquest,nord,anmutuo41i,anmutuo42i,anmutuo43i,anmutuo44i,debgar41i_1,debgar42i_1,debgar43i_1,debgar44i_1,debgar41i_2,debgar42i_2,debgar43i_2,debgar44i_2,debgar41i_3,debgar42i_3,debgar43i_3,debgar44i_3,debgar41i_4,debgar42i_4,debgar43i_4,debgar44i_4,debm41i,debm42i,debm43i,debm44i,debrf41i,debrf42i,debrf43i,debrf44i,mutuodu41i,mutuodu42i,mutuodu43i,mutuodu44i,mutuoin41i,mutuoin42i,mutuoin43i,mutuoin44i,taxdeb41i,taxdeb42i,taxdeb43i,taxdeb44i,tdebita41i,tdebita42i,tdebita43i,tdebita44i,tmutuoab41i,tmutuoab42i,tmutuoab43i,tmutuoab44i
916911,3,2001,2015,,,0,0,,,1,0,,,0,0,,,0,1,,,1,2,,,2,2,,,30,,,,425000,100000,,,4,1.8,,,240000,5000,,,24000,101000,,
917363,1,2012,2015,,,0,0,,,0,0,,,0,0,,,1,1,,,1,2,,,2,2,,,7,,,,50000,5000,,,2.75,6.5,,,15000,4500,,,7500,500,,
918452,2,2016,,,,0,,,,1,,,,0,,,,0,,,,1,,,,2,,,,15,,,,400000,,,,2,,,,350000,,,,5000,,,
919374,2,2015,,,,1,,,,0,,,,0,,,,0,,,,1,,,,2,,,,7,,,,56000,,,,4.5,,,,12600,,,,9000,,,
919516,2,2016,,,,0,,,,0,,,,0,,,,1,,,,1,,,,2,,,,10,,,,15000,,,,5,,,,14000,,,,900,,,
919547,2,2015,,,,0,,,,0,,,,1,,,,0,,,,1,,,,2,,,,10,,,,30000,,,,5,,,,25000,,,,2500,,,
919588,1,2014,,,,0,,,,0,,,,1,,,,0,,,,1,,,,2,,,,5,,,,13000,,,,6,,,,7000,,,,2640,,,
920375,1,2014,,,,0,,,,1,,,,0,,,,0,,,,1,,,,2,,,,20,,,,280000,,,,1.65,,,,210000,,,,12000,,,
922240,1,2015,,,,0,,,,1,,,,0,,,,0,,,,1,,,,2,,,,8,,,,40000,,,,7,,,,35000,,,,5000,,,
923012,1,2012,,,,1,,,,0,,,,0,,,,0,,,,1,,,,2,,,,6,,,,43000,,,,3,,,,7000,,,,7200,,,
923535,3,2015,,,,0,,,,0,,,,0,,,,1,,,,1,,,,2,,,,5,,,,20000,,,,4,,,,20000,,,,8400,,,
924400,1,2016,,,,0,,,,0,,,,0,,,,1,,,,1,,,,2,,,,5,,,,15000,,,,6,,,,12000,,,,3000,,,
924710,1,2010,,,,1,,,,1,,,,0,,,,0,,,,1,,,,1,,,,10,,,,60000,,,,4,,,,35000,,,,7200,,,
925204,1,2014,2015,,,0,0,,,0,0,,,0,0,,,1,1,,,1,2,,,1,2,,,5,,,,40000,40000,,,3,3,,,7000,6000,,,7500,7000,,
926092,1,2015,,,,0,,,,0,,,,1,,,,0,,,,2,,,,1,,,,,,,,6000,,,,5,,,,1950,,,,3500,,,
926460,1,2016,,,,0,,,,0,,,,1,,,,0,,,,1,,,,1,,,,10,,,,30000,,,,7,,,,30000,,,,3000,,,
926677,3,2015,,,,0,,,,0,,,,0,,,,1,,,,2,,,,2,,,,,,,,10000,,,,3,,,,4000,,,,3000,,,
927109,1,2016,,,,0,,,,0,,,,0,,,,1,,,,2,,,,2,,,,,,,,10000,,,,3.88,,,,8000,,,,2200,,,
927678,1,2009,2012,,,1,0,,,0,0,,,0,0,,,0,1,,,1,2,,,1,2,,,10,,,,220000,40000,,,3,3,,,155000,12000,,,27600,12600,,
928173,3,2016,,,,1,,,,0,,,,0,,,,0,,,,2,,,,2,,,,,,,,12000,,,,7,,,,8000,,,,400,,,
928473,1,2011,,,,0,,,,0,,,,1,,,,0,,,,1,,,,2,,,,15,,,,30000,,,,6,,,,25500,,,,3200,,,
