nquest,nord,nesplav,dislav,disann,exlav,etalav,contrib,acontrib,mcontrib,occnow,problav1,cerc2,problav2,finelav,etalav2,etapen,coppu,coppmax,coppmin,prevcom,coppip
28992,1,1,2,,,29,1,36,,2,,,,1996,,,,,,,
28992,2,0,,,,,,,,2,,2,,,,,,,,,
29140,1,2,1,4,1,16,1,30,,2,,,,2010,,,,,,,
29140,2,2,2,,1,16,1,34,,2,,,,2015,,,,,,,
29678,1,2,2,,3,15,1,36,,2,,,,1996,,,,,,,
29678,2,0,,,,,,,,2,,2,,,,,,,,,
29680,1,1,2,,,14,1,32,,1,80,2,,,,65,60,80,60,2,
29680,2,1,2,,,30,1,10,,1,,2,,,,,,,,,
29680,3,0,,,,,,,,2,,2,,,,,,,,,
29680,4,1,2,,,16,1,3,,1,,2,,,,,,,,2,
29737,1,1,2,,,33,1,26,,1,100,2,,,,66,75,80,75,2,
29737,2,1,2,,,25,1,42,,2,,,,2016,,,,,,,
29742,1,5,2,,3,14,1,38,,1,100,2,,,50,66,70,70,60,2,
29742,2,1,2,,,20,1,42,,2,,2,,2016,,,,,,2,
29742,3,0,,,,,,,,2,,2,,,,,,,,,
29742,4,0,,,,,,,,2,,2,,,,,,,,,
29798,1,4,2,,1,15,1,40,,2,,,,1993,,,,,,,
29798,2,1,1,10,,15,1,10,,2,,,,1972,,,,,,,
29823,1,0,,,,,,,,2,,2,,,,,,,,,
29823,2,1,2,,,36,1,14,,1,70,2,,,,70,65,65,50,1,70
29823,3,0,,,,,,,,2,,2,,,,,,,,,
29823,4,1,2,,,20,1,,6,2,,1,100,2016,,70,65,70,60,2,
29823,5,0,,,,,,,,2,,2,,,,,,,,,
29823,6,0,,,,,,,,2,,2,,,,,,,,,
31093,1,1,2,,,23,1,40,,1,100,2,,,,65,70,70,50,,
31220,1,3,2,,3,11,1,44,,2,,,,2015,,,,,,,
31220,2,3,2,,1,13,1,26,,2,,,,1988,,,,,,,
31221,1,2,2,,1,24,1,20,,2,,,,1981,,,,,,,
31221,2,0,,,,,,,,2,,,,,,,,,,,
31246,1,1,2,,,14,1,38,,2,,,,1996,,,,,,,
31246,2,1,2,,,15,1,35,,2,,,,1996,,,,,,,
31625,1,0,,,,,,,,2,,,,,,,,,,,
31625,2,2,2,,1,25,1,25,,1,100,2,,,46,85,50,80,40,2,
31652,1,1,2,,,18,1,44,,2,,,,2003,,,,,,,
31652,2,1,2,,,21,1,30,,2,,,,1994,,,,,,,
31665,1,1,1,1,,18,1,10,,2,,,,2000,,,,,,,
31671,1,0,,,,,,,,2,,,,,,,,,,,
31695,1,0,,,,,,,,2,,2,,,,,,,,,
31695,2,2,2,,1,16,1,36,,1,,2,,,18,,,,,2,
31695,3,4,1,1,1,17,1,3,,1,,2,,,22,,,,,2,
31724,1,1,2,,,19,1,39,,1,95,2,,,,63,65,80,60,2,
31724,2,2,1,1,1,19,1,29,,1,95,2,,,27,67,65,80,50,2,
31724,3,0,,,,,,,,1,,1,,,,,,,,,
31724,4,0,,,,,,,,2,,2,,,,,,,,,
31724,5,0,,,,,,,,2,,2,,,,,,,,,
31757,1,0,,,,,,,,2,,,,,,,,,,,
31799,1,8,2,,1,12,1,32,,2,,,,1996,,,,,,,
31799,2,3,2,,1,16,1,36,,2,,,,1995,,,,,,,
31860,1,1,2,,,23,1,33,,1,100,2,,,,68,75,80,70,,
31860,2,1,2,,,28,1,27,,1,,2,,,,,,,,2,
31860,3,1,2,,,27,1,,7,1,,1,,,,,,,,2,
32034,1,1,2,,,15,1,38,,2,,,,1996,,,,,,,
32034,2,0,,,,,,,,2,,2,,,,,,,,,
32044,1,0,,,,,,,,2,,,,,,,,,,,
32052,1,1,2,,,15,1,36,,2,,,,1993,,,,,,,
32052,2,1,2,,,15,1,26,,2,,,,2005,,,,,,,
32057,1,1,2,,,18,1,40,,2,,,,2008,,,,,,,
32057,2,1,2,,,19,1,3,,2,,,,1965,,,,,,,
32057,3,1,2,,,35,1,18,,1,,2,,,,,,,,,
32190,1,2,1,1,1,20,1,37,,2,,,,2005,,,,,,,
32318,1,1,2,,,16,1,19,,2,,,,1971,,,,,,,
32320,1,1,2,,,20,1,36,,1,100,2,,,,65,80,85,60,2,
32320,2,1,2,,,26,1,34,,1,,2,,,,,,,,2,
32320,3,1,2,,,20,1,1,,1,,2,,,,,,,,2,
32471,1,1,2,,,14,1,35,,2,,,,2001,,,,,,,
32524,1,3,2,,3,18,1,28,,2,,,,1997,,,,,,,
32524,2,1,2,,,25,1,36,,2,,,,2005,,,,,,,
32556,1,2,2,,3,14,1,45,,2,,,,2006,,,,,,,
32668,1,3,2,,1,19,1,27,,2,,,,1995,,,,,,,
32668,2,0,,,,,,,,2,,2,,,,,,,,,
32668,3,2,1,3,1,17,1,15,,1,,2,,,40,,,,,2,
32703,1,1,2,,,23,1,16,,2,,,,2011,,,,,,,
32709,1,2,2,,3,18,1,40,,2,,,,1997,,,,,,,
32709,2,2,2,,1,18,1,30,,1,100,2,,,39,75,80,95,75,2,
32709,3,1,2,,,28,1,18,,1,,2,,,,,,,,3,
32709,4,1,2,,,28,1,10,,1,,2,,,,,,,,3,
32729,1,4,2,,3,15,1,46,,1,90,2,,,24,59,30,35,30,,
32729,2,2,2,,3,14,1,22,,2,,2,,2015,,,,,,,
32734,1,1,2,,,15,1,35,,1,100,2,,,,58,80,85,70,2,
32751,1,2,2,,1,15,1,32,,2,,,,1989,,,,,,,
32765,1,3,2,,1,21,1,35,,1,100,2,,,35,67,70,70,60,2,
32765,2,3,2,,1,26,1,38,,1,100,2,,,34,67,80,80,70,1,90
32772,1,0,,,,,,,,2,,2,,,,,,,,,
32772,2,3,2,,1,17,1,40,,2,,,,2002,,,,,,,
32810,1,0,,,,,,,,2,,,,,,,,,,,
32822,1,1,2,,,21,1,44,,2,,,,1994,,,,,,,
32822,2,0,,,,,,,,2,,,,,,,,,,,
32822,3,1,2,,,23,1,15,,1,,2,,,,,,,,2,
32839,1,3,2,,3,15,1,37,,2,,,,1999,,,,,,,
32839,2,2,2,,1,15,1,13,,2,,2,,1971,,,,,,,
32861,1,1,2,,,18,1,40,,2,,,,2011,,,,,,,
32861,2,1,2,,,14,1,40,,2,,,,2001,,,,,,,
32861,3,1,2,,,20,1,7,,1,,2,,,,,,,,2,
32887,1,1,2,,,21,1,33,,1,100,2,,,,65,40,60,40,,
32887,2,3,2,,1,19,1,32,,1,100,2,,,23,63,70,80,60,2,
32887,3,1,,2,,22,1,2,,2,,1,,2015,,,,,,,
33036,1,1,2,,,15,1,28,,2,,,,2000,,,,,,,
33036,2,0,,,,,,,,2,,2,,,,,,,,,
33036,3,5,,4,1,15,2,,,2,,1,,2012,,,,,,,
33038,1,6,1,4,3,14,1,20,,1,100,2,,,56,70,60,65,60,,
33038,2,0,,,,,,,,2,,2,,,,,,,,,
33038,3,1,,2,,22,1,3,,2,,1,,2015,,,,,,,
33038,4,1,2,,,24,1,2,,1,,2,,,,,,,,2,
33038,5,1,,1,,24,1,4,,2,,1,,2017,,,,,,,
33038,6,,,,,,,,,,,,,,,,,,,,
33275,1,1,1,2,,25,1,35,,2,,,,2001,,,,,,,
33275,2,1,1,5,,30,1,32,,2,,,,2012,,,,,,,
33303,1,2,2,,1,20,1,35,,2,,,,2004,,,,,,,
33303,2,2,2,,1,18,1,35,,2,,,,1999,,,,,,,
33335,1,4,2,,1,19,1,37,,1,100,2,,,27,65,80,80,70,,
33335,2,4,2,,3,15,1,42,,2,,2,,2016,35,57,75,80,75,2,
33335,3,4,2,,3,16,1,4,,1,,2,,,30,,,,,,
33335,4,5,2,,1,19,1,9,,1,100,2,,,19,65,80,80,70,1,90
33336,1,1,2,,,18,1,25,,1,100,1,50,,,65,50,60,40,,
33336,2,1,2,,,15,1,32,,2,,,,1999,,,,,,,
33348,1,3,2,,1,15,1,40,,2,,,,1994,,,,,,,
33348,2,0,,,,,,,,2,,,,,,,,,,,
33451,1,1,2,,,24,1,25,,1,100,2,,,,62,90,90,85,,
33451,2,0,,,,,,,,2,,1,,,,,,,,,
33451,3,0,,,,,,,,2,,2,,,,,,,,,
33455,1,2,2,,1,25,1,37,,2,,,,2003,,,,,,,
33479,1,1,2,,,19,1,40,,2,,,,1992,,,,,,,
33479,2,1,2,,,20,1,40,,2,,,,2001,,,,,,,
33644,1,3,2,,1,16,1,35,,2,,,,1991,,,,,,,
33823,1,0,,,,,,,,2,,,,,,,,,,,
33839,1,0,,,,,,,,2,,,,,,,,,,,
33877,1,5,1,1,1,22,1,29,,1,100,2,,,53,67,80,80,60,2,
33877,2,2,2,,1,18,1,42,,1,,2,,,40,,,,,2,
33882,1,3,2,,1,23,1,35,,2,,,,2010,,,,,,,
33882,2,0,,,,,,,,2,,2,,,,,,,,,
33937,1,1,2,,,13,1,20,,2,,,,1981,,,,,,,
33937,2,1,2,,,15,2,,,2,,2,,1971,,,,,,,
33985,1,5,2,,3,28,1,38,,1,100,,,,,,,,,,
33985,2,1,2,,,24,1,38,,1,,2,,,,,,,,2,
33985,3,0,,,,,,,,2,,1,,,,,,,,,
33994,1,3,1,2,1,22,1,36,,2,,,,2006,,,,,,,
33994,2,0,,,,,,,,2,,2,,,,,,,,,
33994,3,10,1,3,1,20,1,14,,1,80,1,50,,40,65,70,80,50,2,
34059,1,1,2,,,20,1,40,,2,,,,2011,,,,,,,
34252,1,1,2,,,19,1,35,,2,,,,2002,,,,,,,
34732,1,1,2,,,20,1,42,,2,,,,2000,,,,,,,
34732,2,0,,,,,,,,2,,,,,,,,,,,
34778,1,0,,,,,,,,2,,,,,,,,,,,
34778,2,1,2,,,21,1,30,,1,,2,,,,,,,,2,
34825,1,2,2,,1,19,1,42,,2,,,,2014,,,,,,,
34825,2,2,1,1,1,19,1,41,,2,,,,2015,,,,,,,
34900,1,2,2,,1,18,1,20,,1,40,2,,,36,67,30,50,30,2,
34900,2,1,2,,,17,1,38,,1,,2,,,,,,,,3,
34900,3,0,,,,,,,,2,,1,,,,,,,,,
34900,4,,,,,,,,,,,,,,,,,,,,
35005,1,2,2,,3,15,1,35,,2,,,,2006,,,,,,,
35005,2,0,,,,,,,,2,,2,,,,,,,,,
35022,1,0,,,,,,,,2,,1,20,,,,,,,,
35022,2,3,1,2,3,19,1,20,,1,,2,,,40,,,,,2,
35022,3,1,,1,,23,1,,6,2,,1,,2016,,,,,,,
35032,1,1,2,,,16,1,28,,1,100,2,,,,65,100,100,100,,
35032,2,1,2,,,22,1,32,,1,100,2,,,,62,100,100,100,2,
35032,3,1,2,,,25,1,5,,1,,2,,,,,,,,2,
35032,4,0,,,,,,,,2,,2,,,,,,,,,
35234,1,15,1,1,3,14,1,37,,2,,,,1997,,,,,,,
35234,2,1,2,,,22,1,32,,2,,,,1998,,,,,,,
35319,1,1,2,,,16,1,35,,2,,,,1998,,,,,,,
35322,1,1,2,,,15,1,18,,2,,,,1990,,,,,,,
35322,2,0,,,,,,,,2,,2,,,,,,,,,
35323,1,0,,,,,,,,2,,2,,,,,,,,,
35323,2,1,2,,,16,1,38,,2,,,,1991,,,,,,,
35326,1,1,2,,,36,1,33,,2,,,,2005,,,,,,,
35326,2,1,2,,,23,1,40,,2,,,,1995,,,,,,,
35340,1,0,,,,,,,,2,,,,,,,,,,,
35349,1,0,,,,,,,,2,,,,,,,,,,,
35355,1,0,,,,,,,,2,,,,,,,,,,,
35370,1,1,2,,,20,1,16,,2,,,,1992,,,,,,,
35372,1,1,2,,,25,1,37,,1,100,2,,,,65,80,85,70,3,
35372,2,1,2,,,22,1,34,,2,,,,2014,,,,,,,
35372,3,0,,,,,,,,2,,,,,,,,,,,
35374,1,0,,,,,,,,2,,1,40,,,,,,,,
35374,2,1,2,,,21,1,41,,2,,,,2013,,,,,,,
35374,3,0,,,,,,,,2,,2,,,,,,,,,
35374,4,0,,,,,,,,2,,1,,,,,,,,,
35379,1,1,2,,,18,1,37,,2,,,,2006,,,,,,,
35379,2,0,,,,,,,,2,,2,,,,,,,,,
35502,1,0,,,,,,,,2,,2,,,,,,,,,
35502,2,10,1,6,1,10,1,30,,2,,,,2014,,,,,,,
35507,1,1,2,,,24,1,17,,1,80,2,,,,65,60,80,55,2,
35507,2,1,2,,,20,1,35,,2,,,,1997,,,,,,,
35507,3,0,,,,,,,,2,,2,,,,,,,,,
35508,1,1,1,2,,49,2,,,1,100,2,,,,65,80,85,70,,
35508,2,0,,,,,,,,2,,1,10,,,,,,,,
35508,3,0,,,,,,,,2,,1,10,,,,,,,,
35508,4,0,,,,,,,,2,,2,,,,,,,,,
35508,5,,,,,,,,,,,,,,,,,,,,
35508,6,,,,,,,,,,,,,,,,,,,,
35518,1,1,2,,,20,1,15,,2,,,,1998,,,,,,,
35600,1,0,,,,,,,,2,,,,,,,,,,,
35640,1,1,2,,,22,1,32,,2,,,,2000,,,,,,,
35640,2,1,2,,,21,1,27,,2,,,,1992,,,,,,,
35682,1,2,2,,1,16,1,35,,2,,,,2006,,,,,,,
35682,2,1,2,,,19,1,38,,1,100,2,,,,62,90,90,85,2,
35788,1,1,2,,,21,1,40,,2,,,,2011,,,,,,,
35788,2,1,2,,,14,1,17,,2,,2,,1985,,,,,,,
35968,1,1,2,,,35,1,20,,2,,,,1987,,,,,,,
36067,1,4,2,,1,17,1,33,,2,,,,1996,,,,,,,
