nquest,motusc,annoenus,nordp
864482,4,2015,2
865357,1,2016,2
866387,4,2016,2
866541,3,2016,2
866541,3,2016,3
866541,3,2016,4
866541,3,2016,5
866541,3,2016,6
866985,1,2016,1
867275,4,2015,3
867462,4,2016,3
867505,1,2015,2
867686,1,2016,2
867799,4,2015,2
868165,4,2015,3
868583,4,2016,3
871009,1,2015,5
871320,4,2016,3
871395,1,2016,4
871442,1,2016,2
871470,4,2016,3
871470,4,2016,4
871470,4,2016,5
871470,2,2016,6
871517,1,2015,2
872027,4,2016,3
872027,4,2016,4
872077,4,2015,4
872077,4,2015,5
872112,1,2015,2
872367,4,2016,3
872619,4,2016,3
872646,4,2016,3
872661,4,2016,3
872710,4,2015,2
872794,1,2016,2
872795,1,2016,2
872924,1,2016,2
873042,4,2015,3
873224,1,2016,1
873390,3,2015,2
873788,5,2015,3
874134,5,2015,2
874392,4,2016,4
874681,5,2015,2
874681,5,2015,3
874756,4,2015,4
874947,1,2016,2
875017,1,2016,1
875020,1,2015,1
875100,3,2015,2
875224,1,2015,4
875280,5,2016,2
875280,4,2016,3
875281,4,2016,2
875382,4,2016,3
875382,4,2016,4
875426,5,2015,4
875523,4,2016,2
875623,3,2016,2
875817,3,2015,2
876069,5,2016,5
876125,4,2015,3
876542,1,2016,2
876571,1,2015,2
876666,3,2015,4
876703,1,2015,1
876799,5,2015,2
876799,5,2015,3
876806,1,2015,2
876833,1,2016,1
877083,5,2015,2
877784,5,2015,2
878002,1,2015,4
878011,5,2015,2
878011,5,2015,4
878022,4,2016,3
878503,4,2015,2
878503,4,2016,3
878506,4,2015,3
878738,5,2016,2
878738,5,2016,3
878738,5,2016,4
878750,1,2015,1
879391,3,2015,3
879449,4,2016,3
879494,1,2015,2
879507,4,2016,3
879565,4,2015,4
879620,4,2016,3
879681,5,2015,3
880431,4,2015,3
880431,4,2015,4
880431,4,2015,5
881188,1,2015,1
881480,4,2016,2
881554,1,2015,1
881566,1,2015,2
881884,4,2015,3
882048,4,2015,3
882057,4,2016,2
882117,1,2015,2
882117,5,2015,3
882515,4,2015,3
882561,4,2015,3
882652,4,2015,2
883157,4,2015,3
883182,4,2016,2
883228,3,2015,3
883322,4,2015,3
883356,4,2015,3
883392,3,2016,4
883642,5,2015,2
883762,4,2015,3
883800,4,2015,2
883969,4,2015,3
884032,3,2015,1
884294,3,2015,3
884294,3,2015,4
884294,3,2015,5
884537,3,2015,3
884537,4,2016,5
885014,1,2016,1
885040,4,2015,2
885040,3,2015,3
885353,4,2015,2
885633,4,2015,2
885698,1,2015,2
886233,3,2015,2
886273,3,2015,3
886419,3,2016,3
886443,4,2015,3
886529,3,2015,3
886606,4,2015,2
886606,3,2015,3
886741,4,2015,2
886851,4,2015,3
887498,5,2015,3
887734,4,2016,3
887964,1,2016,2
888185,4,2016,4
888695,4,2015,2
889047,4,2015,2
889047,4,2015,3
889109,1,2015,2
889294,4,2015,2
889497,3,2016,3
889577,1,2015,3
889709,1,2016,1
889714,4,2015,2
889727,5,2015,2
889739,3,2015,2
890030,3,2016,3
890573,5,2015,2
890871,4,2015,4
890880,3,2015,2
891073,5,2016,3
891320,1,2015,3
891435,4,2016,2
891676,2,2015,3
891688,4,2015,3
891688,4,2016,4
891724,4,2015,2
891724,4,2015,3
891835,4,2016,3
891882,4,2015,2
891882,4,2015,3
892181,1,2016,3
892676,1,2016,3
892884,1,2016,2
892972,1,2015,2
892985,1,2015,1
893016,4,2015,2
893240,1,2015,2
893973,3,2016,3
894140,4,2015,3
894140,3,2015,4
894208,4,2016,3
894506,4,2015,3
894884,4,2015,3
894887,5,2015,5
895073,5,2016,3
895184,4,2015,3
895774,1,2015,3
896079,4,2016,2
896124,1,2016,2
896277,2,2015,3
896353,4,2015,3
896404,4,2016,3
896570,3,2016,3
896591,5,2016,2
896591,5,2016,3
896988,1,2016,2
897397,1,2016,2
897676,3,2016,2
897683,4,2015,3
897853,5,2015,2
