nquest,NCOMP,nord,sex,parent,anasc,cit,aningr,motiv,staciv,studio,tipolau,votoedu,suedu,selode,annoedu,tipodip,univer,apqual,asnonoc,nace,nordp,motent,annoenus,NASCREG,NASCAREA,ireg,ETA,isco,CLETA5,QUAL,Q,SETT,CFRED,PERC,PERL,NPERL,NPERC,AREA3,AREA5,ACOM4C,ACOM5,PESOFIT
853352,2,1,1,1,1947,1,,,1,3,,,,,,,,15,2,3,1,,,5,1,3,69,,5,6,3,5,1,1,0,0,2,1,1,2,4,1.1084484181
853352,2,2,2,2,1951,1,,,1,3,,,,,,,,15,8,3,2,,,3,1,3,65,,5,6,3,5,0,1,0,0,2,1,1,2,4,1.1084484181
853354,3,1,2,1,1982,1,,,1,7,9,100,110,0,2005,3,,2,,9,1,,,20,3,3,34,42,1,2,1,4,0,1,1,2,2,1,1,2,4,4.9039020955
853354,3,2,1,2,1978,1,,,1,5,,70,100,0,2001,2,2,2,,3,2,,,3,1,3,38,75,2,2,1,2,1,1,1,2,2,1,1,2,4,4.9039020955
853354,3,3,1,6,2014,1,,,2,1,,,,,,,,18,,,3,,,3,1,3,2,,1,7,3,5,0,0,0,2,2,1,1,2,4,4.9039020955
853565,1,1,2,1,1943,1,,,4,1,,,,,,,,16,,,1,,,20,3,20,73,,5,6,3,5,1,1,0,0,1,3,5,0,2,0.5720753712
853569,4,1,1,1,1955,1,,,1,3,,,,,,,,15,2,15,1,,,20,3,20,61,,4,6,3,5,1,1,0,0,1,3,5,2,4,0.3647267974
853569,4,2,2,2,1961,1,,,1,5,,48,60,0,1978,5,2,13,,,2,,,20,3,20,55,,4,7,3,5,0,0,0,0,1,3,5,2,4,0.3647267974
853569,4,3,2,6,1984,1,,,2,5,,88,100,0,2006,2,2,11,,,3,,,20,3,20,32,,1,7,3,5,0,0,0,0,1,3,5,2,4,0.3647267974
853569,4,4,1,6,1988,1,,,2,7,7,110,110,1,2016,2,,11,,,4,,,20,3,20,28,,1,7,3,5,0,0,0,0,1,3,5,2,4,0.3647267974
853617,2,1,2,1,1948,1,,,1,7,9,101,110,0,1971,3,,15,3,16,2,,,19,3,19,68,,5,6,3,5,1,1,0,0,2,3,5,2,4,0.2025177602
853617,2,2,1,2,1947,1,,,1,5,,40,60,0,1969,5,2,15,2,15,1,,,19,3,19,69,,5,6,3,5,0,1,0,0,2,3,5,2,4,0.2025177602
853765,1,1,2,1,1964,1,,,2,5,,56,60,0,1983,1,2,2,,14,1,,,3,1,3,52,33,3,2,1,4,1,1,1,1,1,1,1,1,3,1.3782319217
853801,1,1,2,1,1948,1,,,2,5,,45,60,0,1968,1,2,15,2,17,1,,,9,2,9,68,,5,6,3,5,1,1,0,0,1,2,3,2,3,0.3309783588
853849,1,1,1,1,1938,1,,,4,3,,,,,,,,15,7,7,1,,,20,3,20,78,,5,6,3,5,1,1,0,0,1,3,5,1,3,0.2051856127
853854,1,1,2,1,1942,1,,,2,1,,,,,,,,15,8,19,1,,,20,3,20,74,,5,6,3,5,1,1,0,0,1,3,5,1,3,0.2209609578
853875,2,1,2,1,1952,1,,,1,5,,40,60,0,1973,5,2,12,8,7,1,,,15,3,15,64,,4,7,3,5,0,0,0,0,1,3,4,0,1,1.7913864427
853875,2,2,1,2,1948,1,,,1,3,,,,,,,,15,1,3,2,,,15,3,15,68,,5,6,3,5,1,1,0,0,1,3,4,0,1,1.7913864427
853911,4,1,1,1,1947,1,,,1,7,6,90,100,0,1972,2,,10,,1,1,,,8,1,8,69,61,5,4,2,1,1,1,1,2,3,1,2,2,4,0.3564783086
853911,4,2,2,2,1957,1,,,1,5,,42,60,0,1976,2,2,15,2,11,2,,,8,1,8,59,,4,6,3,5,0,1,0,2,3,1,2,2,4,0.3564783086
853911,4,3,1,11,1953,1,,,2,5,,42,60,0,1973,2,2,10,,1,5,,,8,1,8,63,61,4,4,2,1,0,1,1,2,3,1,2,2,4,0.3564783086
853911,4,4,2,6,1991,1,,,2,5,,48,60,0,2010,3,1,17,,,4,,,8,1,8,25,,1,7,3,5,0,0,0,2,3,1,2,2,4,0.3564783086
854058,3,1,1,1,1950,1,,,1,5,,36,60,0,1971,3,1,15,2,15,1,,,9,2,9,66,,5,6,3,5,1,1,0,2,3,2,3,2,3,0.241615293
854058,3,2,2,2,1955,1,,,1,7,9,100,110,0,1980,3,,2,,15,2,,,9,2,9,61,43,4,2,1,3,0,1,1,2,3,2,3,2,3,0.241615293
854058,3,3,1,6,1991,1,,,2,5,,76,100,0,2010,3,1,1,,8,4,,,9,2,9,25,93,1,1,1,4,0,1,1,2,3,2,3,2,3,0.241615293
854070,2,1,2,1,1968,1,,,3,5,,40,60,0,1987,5,2,1,,7,1,,,15,3,9,48,52,3,1,1,4,1,1,1,1,2,2,3,2,3,0.6353275968
854070,2,2,2,6,1994,1,,,2,5,,85,100,0,2013,2,1,17,,,2,,,8,1,9,22,,1,7,3,5,0,1,0,1,2,2,3,2,3,0.6353275968
854074,2,1,1,1,1947,1,,,1,5,,7,10,0,1966,2,2,15,2,8,1,,,9,2,9,69,,5,6,3,5,1,1,0,0,2,2,3,2,3,0.1945526291
854074,2,2,2,2,1949,1,,,1,3,,,,,,,,15,7,7,2,,,9,2,9,67,,5,6,3,5,0,1,0,0,2,2,3,2,3,0.1945526291
854078,2,1,1,1,1935,1,,,1,2,,,,,,,,15,1,3,1,,,9,2,9,81,,5,6,3,5,1,1,0,0,1,2,3,2,3,0.2055607974
854078,2,2,2,2,1942,1,,,1,2,,,,,,,,13,,,2,,,9,2,9,74,,5,7,3,5,0,0,0,0,1,2,3,2,3,0.2055607974
854081,2,1,1,1,1952,1,,,1,5,,50,60,0,1972,3,1,8,,6,1,,,9,2,9,64,74,4,5,2,4,0,1,1,2,2,2,3,2,3,0.2267999117
854081,2,2,2,2,1953,1,,,1,7,9,110,110,0,1984,3,,3,,16,2,,,9,2,9,63,23,4,2,1,3,1,1,1,2,2,2,3,2,3,0.2267999117
854108,2,1,2,1,1940,1,,,1,5,,8,10,0,1958,5,2,16,,,1,,,15,3,15,76,,5,6,3,5,1,1,0,0,2,3,4,2,4,0.2339712271
854108,2,2,1,2,1936,1,,,1,5,,7,10,0,1954,3,2,15,2,14,2,,,15,3,15,80,,5,6,3,5,0,1,0,0,2,3,4,2,4,0.2339712271
854112,1,1,1,1,1985,1,,,2,7,3,110,110,1,2010,3,,6,,17,1,,,15,3,15,31,22,1,4,2,3,1,1,1,1,1,3,4,2,4,0.7187509226
854163,2,1,1,1,1946,1,,,1,4,,,,,,,,15,2,2,1,,,8,1,8,70,,5,6,3,5,1,1,0,1,2,1,2,0,1,0.8272508888
854163,2,2,2,2,1949,1,,,1,2,,,,,,,,1,,17,2,,,9,2,8,67,53,5,1,1,3,0,1,1,1,2,1,2,0,1,0.8272508888
854188,2,1,2,1,1926,1,,,1,2,,,,,,,,15,1,3,1,,,8,1,8,90,,5,6,3,5,0,1,0,0,2,1,2,0,1,0.8272508888
854188,2,2,1,2,1925,1,,,1,3,,,,,,,,15,1,3,2,,,8,1,8,91,,5,6,3,5,1,1,0,0,2,1,2,0,1,0.8272508888
854197,2,1,2,1,1941,1,,,4,3,,,,,,,,16,,,1,,,15,3,15,75,,5,6,3,5,1,1,0,0,1,3,4,2,4,0.5725306353
854197,2,2,1,6,1976,1,,,2,5,,45,60,0,1995,2,1,12,2,7,2,,,15,3,15,40,,2,7,3,5,0,0,0,0,1,3,4,2,4,0.5725306353
854223,3,1,2,1,1953,1,,,1,2,,,,,,,,13,,,1,,,15,3,15,63,,4,7,3,5,0,0,0,0,1,3,4,2,4,0.4049302647
854223,3,2,1,2,1952,1,,,1,4,,,,,,,,15,2,19,2,,,15,3,15,64,,4,6,3,5,1,1,0,0,1,3,4,2,4,0.4049302647
854223,3,3,1,6,1988,1,,,2,5,,80,100,0,2008,1,1,11,,,3,,,15,3,15,28,,1,7,3,5,0,0,0,0,1,3,4,2,4,0.4049302647
854306,2,1,1,1,1946,1,,,1,3,,,,,,,,15,2,3,1,,,5,1,5,70,,5,6,3,5,1,1,0,0,2,1,2,1,3,0.2585684758
854306,2,2,2,2,1952,1,,,1,3,,,,,,,,15,1,3,2,,,5,1,5,64,,4,6,3,5,0,1,0,0,2,1,2,1,3,0.2585684758
854346,3,1,1,1,1964,1,,,1,3,,,,,,,,12,1,3,1,,,15,3,15,52,,3,7,3,5,0,0,0,1,2,3,4,2,4,0.4052146758
854346,3,2,2,2,1965,1,,,1,2,,,,,,,,1,,15,2,,,15,3,15,51,93,3,1,1,3,0,1,1,1,2,3,4,2,4,0.4052146758
854346,3,3,2,6,1992,1,,,2,3,,,,,,,,16,,,3,,,15,3,15,24,,1,6,3,5,1,1,0,1,2,3,4,2,4,0.4052146758
854352,1,1,2,1,1940,1,,,2,2,,,,,,,,15,1,20,1,,,15,3,15,76,,5,6,3,5,1,1,0,0,1,3,4,2,4,0.4565242071
854385,2,1,2,1,1942,1,,,1,2,,,,,,,,13,,,2,,,15,3,15,74,,5,7,3,5,0,0,0,0,1,3,4,2,4,0.3395985989
854385,2,2,1,2,1940,1,,,1,2,,,,,,,,15,1,3,1,,,15,3,15,76,,5,6,3,5,1,1,0,0,1,3,4,2,4,0.3395985989
854393,2,1,2,1,1936,1,,,4,2,,,,,,,,16,,,1,,,15,3,15,80,,5,6,3,5,1,1,0,0,1,3,4,2,4,0.4576640742
854393,2,2,1,6,1968,1,,,3,3,,,,,,,,12,1,8,,2,2016,15,3,15,48,,3,7,3,5,0,0,0,0,1,3,4,2,4,0.4576640742
854406,2,1,2,1,1948,1,,,1,2,,,,,,,,13,,,2,,,15,3,15,68,,5,7,3,5,0,0,0,0,1,3,4,2,4,0.3395985989
854406,2,2,1,2,1944,1,,,1,3,,,,,,,,15,1,7,1,,,15,3,15,72,,5,6,3,5,1,1,0,0,1,3,4,2,4,0.3395985989
854435,3,1,1,1,1955,1,,,1,5,,10,10,0,1976,2,2,1,,3,1,,,15,3,8,61,74,4,1,1,2,1,1,1,2,2,1,2,0,2,2.6274851039
854435,3,2,2,2,1960,1,,,1,3,,,,,,,,12,1,16,2,,,15,3,8,56,,4,7,3,5,0,0,0,2,2,1,2,0,2,2.6274851039
854435,3,3,1,6,1986,1,,,2,5,,98,100,0,2003,2,2,1,,3,3,,,15,3,8,30,74,1,1,1,2,0,1,1,2,2,1,2,0,2,2.6274851039
854460,1,1,2,1,1967,1,,,2,3,,,,,,,,2,,7,1,,,9,2,9,49,41,3,2,1,4,1,1,1,1,1,2,3,0,2,3.7891038094
854501,4,1,2,1,1977,2,1998,3,1,5,,100,100,0,1997,2,2,1,,19,1,,,,,19,39,91,2,1,1,4,0,1,1,2,2,3,5,2,5,5.8616371269
854501,4,2,1,2,1976,2,1993,2,1,3,,,,,,,,1,,19,2,,,,,19,40,91,2,1,1,4,1,1,1,2,2,3,5,2,5,5.8616371269
854501,4,3,1,6,2003,1,,,2,3,,,,,,,,17,,,3,,,19,3,19,13,,1,7,3,5,0,0,0,2,2,3,5,2,5,5.8616371269
854501,4,4,1,6,2012,1,,,2,1,,,,,,,,18,,,4,,,19,3,19,4,,1,7,3,5,0,0,0,2,2,3,5,2,5,5.8616371269
854534,2,1,1,1,1936,1,,,1,5,,10,10,0,1955,2,2,15,2,15,1,,,19,3,19,80,,5,6,3,5,1,1,0,0,2,3,5,2,5,1.3299684472
854534,2,2,2,2,1946,1,,,1,3,,,,,,,,15,1,10,2,,,19,3,19,70,,5,6,3,5,0,1,0,0,2,3,5,2,5,1.3299684472
854535,3,1,2,1,1968,1,,,4,5,,40,60,0,1986,2,2,2,,17,1,,,19,3,19,48,32,3,2,1,3,1,1,1,1,1,3,5,2,5,4.3083844191
854535,3,2,1,6,1992,1,,,2,5,,60,100,0,2010,4,2,12,,,2,,,19,3,19,24,,1,7,3,5,0,0,0,1,1,3,5,2,5,4.3083844191
854535,3,3,2,7,1999,1,,,2,3,,,,,,,,17,,,3,,,19,3,19,17,,1,7,3,5,0,0,0,1,1,3,5,2,5,4.3083844191
854554,1,1,2,1,1940,1,,,4,2,,,,,,,,16,,,2,,,18,3,18,76,,5,6,3,5,1,1,0,0,1,3,4,2,4,0.3407791011
854559,3,1,1,1,1949,1,,,1,3,,,,,,,,15,2,17,1,,,18,3,18,67,,5,6,3,5,1,1,0,1,2,3,4,2,4,0.4518032162
854559,3,2,2,2,1956,1,,,1,5,,42,60,0,1975,1,2,13,,,2,,,18,3,18,60,,4,7,3,5,0,0,0,1,2,3,4,2,4,0.4518032162
854559,3,3,1,6,1984,1,,,2,5,,89,100,0,2003,2,2,1,,7,3,,,18,3,18,32,52,1,1,1,4,0,1,1,1,2,3,4,2,4,0.4518032162
854592,1,1,2,1,1937,1,,,4,2,,,,,,,,16,,,1,,,15,3,15,79,,5,6,3,5,1,1,0,0,1,3,4,2,4,0.1796279962
854593,4,1,1,1,1964,1,,,1,3,,,,,,,,12,1,1,1,,,15,3,15,52,,3,7,3,5,1,1,0,0,1,3,4,2,4,0.2814111901
854593,4,2,2,2,1965,1,,,1,3,,,,,,,,11,,,2,,,15,3,15,51,,3,7,3,5,0,0,0,0,1,3,4,2,4,0.2814111901
854593,4,3,2,6,1995,1,,,2,5,,79,100,0,2014,3,1,17,,,3,,,15,3,15,21,,1,7,3,5,0,0,0,0,1,3,4,2,4,0.2814111901
854593,4,4,1,6,2000,1,,,2,3,,,,,,,,17,,,4,,,15,3,15,16,,1,7,3,5,0,0,0,0,1,3,4,2,4,0.2814111901
854714,2,1,1,1,1935,1,,,1,2,,,,,,,,15,1,1,1,,,6,1,6,81,,5,6,3,5,1,1,0,0,2,1,2,0,2,1.074441541
854714,2,2,2,2,1941,1,,,1,2,,,,,,,,15,1,20,2,,,6,1,6,75,,5,6,3,5,0,1,0,0,2,1,2,0,2,1.074441541
854730,3,1,1,1,1965,1,,,1,5,,48,60,0,1984,2,2,1,,4,1,,,8,1,8,51,93,3,1,1,2,1,1,1,2,2,1,2,2,4,0.7232908195
854730,3,2,2,2,1969,1,,,1,4,,,,,,,,13,,,2,,,8,1,8,47,,3,7,3,5,0,1,1,2,2,1,2,2,4,0.7232908195
854730,3,3,2,6,1998,1,,,2,3,,,,,,,,17,,,3,,,8,1,8,18,,1,7,3,5,0,0,0,2,2,1,2,2,4,0.7232908195
854762,1,1,1,1,1950,1,,,3,5,,36,60,0,1990,1,2,8,,11,1,,,8,1,8,66,52,5,5,2,4,1,1,1,1,1,1,2,2,4,0.4944795376
854858,4,1,1,1,1955,1,,,1,3,,,,,,,,9,,7,1,,,13,3,13,61,14,4,5,2,4,0,1,1,1,2,3,4,2,4,0.3365097622
854858,4,2,2,2,1959,1,,,1,5,,50,60,0,1977,4,2,13,,,2,,,13,3,13,57,,4,7,3,5,0,0,0,1,2,3,4,2,4,0.3365097622
854858,4,3,1,6,1985,1,,,2,5,,36,100,0,2003,2,2,12,1,3,3,,,13,3,13,31,,1,7,3,5,0,0,0,1,2,3,4,2,4,0.3365097622
854858,4,4,2,5,1937,1,,,4,2,,,,,,,,16,,,,2,2015,13,3,13,79,,5,6,3,5,1,1,0,1,2,3,4,2,4,0.3365097622
854862,4,1,1,1,1970,1,,,1,5,,56,60,0,1990,5,1,2,,15,1,,,13,3,13,46,03,3,2,1,3,1,1,1,2,2,3,4,2,4,0.6341826061
854862,4,2,2,2,1974,1,,,1,7,1,110,110,1,2000,3,,6,,13,2,,,13,3,13,42,21,2,4,2,4,0,1,1,2,2,3,4,2,4,0.6341826061
854862,4,3,1,6,2005,1,,,2,2,,,,,,,,17,,,3,,,13,3,13,11,,1,7,3,5,0,0,0,2,2,3,4,2,4,0.6341826061
854862,4,4,2,6,2010,1,,,2,1,,,,,,,,17,,,4,,,13,3,13,6,,1,7,3,5,0,0,0,2,2,3,4,2,4,0.6341826061
854970,1,1,1,1,1955,1,,,4,2,,,,,,,,15,1,1,1,,,5,1,6,61,,4,6,3,5,1,1,0,0,1,1,2,0,2,2.0447711597
855004,1,1,1,1,1953,1,,,2,4,,,,,,,,15,2,17,1,,,3,1,3,63,,4,6,3,5,1,1,0,0,1,1,1,0,1,2.4748856808
855035,3,1,2,1,1947,1,,,1,2,,,,,,,,15,8,1,1,,,3,1,3,69,,5,6,3,5,0,1,0,1,3,1,1,0,1,2.082381928
855035,3,2,1,2,1937,1,,,1,2,,,,,,,,15,8,1,2,,,3,1,3,79,,5,6,3,5,0,1,0,1,3,1,1,0,1,2.082381928
855035,3,3,2,6,1973,1,,,2,7,5,97,100,0,2000,3,,6,,12,3,,,3,1,3,43,21,2,4,2,4,1,1,1,1,3,1,1,0,1,2.082381928
855088,1,1,2,1,1956,1,,,4,3,,,,,,,,16,,,1,,,18,3,1,60,,4,6,3,5,1,1,0,0,1,1,1,1,3,0.30494153
855111,4,1,2,1,1962,1,,,1,7,1,110,110,1,1986,3,,3,,16,1,,,11,2,11,54,23,3,2,1,3,0,1,1,2,2,2,3,0,2,1.640276111
855111,4,2,1,2,1960,1,,,1,5,,7,10,0,1979,2,2,8,,7,2,,,11,2,11,56,52,4,5,2,4,1,1,1,2,2,2,3,0,2,1.640276111
855111,4,3,1,6,1996,1,,,2,5,,8,10,0,2015,3,1,17,,,3,,,11,2,11,20,,1,7,3,5,0,0,0,2,2,2,3,0,2,1.640276111
855111,4,4,1,6,2004,1,,,2,2,,,,,,,,17,,,4,,,11,2,11,12,,1,7,3,5,0,0,0,2,2,2,3,0,2,1.640276111
855135,3,1,2,1,1964,1,,,4,3,,,,,,,,1,,3,1,,,11,2,11,52,75,3,1,1,2,0,1,1,3,3,2,3,0,2,2.0539013663
855135,3,2,1,7,1983,1,,,2,5,,65,100,0,2002,2,2,1,,7,2,,,11,2,11,33,52,1,1,1,4,0,1,1,3,3,2,3,0,2,2.0539013663
855135,3,3,1,7,1991,1,,,2,3,,,,,,,,1,,6,3,,,11,2,11,25,71,1,1,1,4,1,1,1,3,3,2,3,0,2,2.0539013663
855181,2,1,1,1,1947,1,,,1,5,,45,60,0,1968,2,2,15,1,3,1,,,18,3,3,69,,5,6,3,5,1,1,0,0,2,1,1,2,4,0.3017946734
855181,2,2,2,2,1944,1,,,1,3,,,,,,,,15,1,3,2,,,19,3,3,72,,5,6,3,5,0,1,0,0,2,1,1,2,4,0.3017946734
855238,2,1,2,1,1955,1,,,1,3,,,,,,,,1,,19,1,,,10,2,10,61,91,4,1,1,4,0,1,1,2,2,2,3,1,3,0.6111649853
855238,2,2,1,2,1954,1,,,1,2,,,,,,,,1,,3,2,,,10,2,10,62,75,4,1,1,2,1,1,1,2,2,2,3,1,3,0.6111649853
855259,2,1,1,1,1951,1,,,2,5,,52,60,0,1970,2,1,15,2,8,1,,,10,2,10,65,,5,6,3,5,1,1,0,0,2,2,3,1,3,0.4206915622
855259,2,2,1,11,1952,1,,,2,5,,52,60,0,1972,2,2,15,2,15,2,,,10,2,10,64,,4,6,3,5,0,1,0,0,2,2,3,1,3,0.4206915622
855268,1,1,2,1,1946,1,,,4,2,,,,,,,,15,8,3,2,,,10,2,10,70,,5,6,3,5,1,1,0,0,1,2,3,1,3,0.4943098617
855295,1,1,2,1,1945,1,,,2,2,,,,,,,,15,1,1,1,,,4,1,4,71,,5,6,3,5,1,1,0,0,1,1,2,0,1,1.5738156566
855308,2,1,1,1,1949,1,,,1,2,,,,,,,,15,8,19,1,,,4,1,4,67,,5,6,3,5,0,1,0,1,2,1,2,0,1,1.3753870735
855308,2,2,2,2,1959,1,,,1,5,,50,60,0,1978,5,2,2,,17,2,,,4,1,4,57,32,4,2,1,3,1,1,1,1,2,1,2,0,1,1.3753870735
855344,2,1,2,1,1960,1,,,1,7,9,7,10,0,1984,3,,3,,16,1,,,6,1,6,56,23,4,2,1,3,1,1,1,2,2,1,2,0,2,2.0295099302
855344,2,2,1,6,1992,1,,,2,5,,75,100,0,2011,2,2,1,,7,2,,,6,1,6,24,52,1,1,1,4,0,1,1,2,2,1,2,0,2,2.0295099302
855371,3,1,2,1,1963,1,,,2,3,,,,,,,,13,,,1,,,11,2,11,53,,3,7,3,5,0,0,0,0,2,2,3,2,3,0.178414876
855371,3,2,1,4,1935,1,,,1,2,,,,,,,,15,1,3,2,,,11,2,11,81,,5,6,3,5,1,1,0,0,2,2,3,2,3,0.178414876
855371,3,3,2,4,1941,1,,,1,1,,,,,,,,15,1,3,3,,,11,2,11,75,,5,6,3,5,0,1,0,0,2,2,3,2,3,0.178414876
855376,3,1,2,1,1960,1,,,1,5,,50,60,0,1979,2,2,6,,11,1,,,3,1,11,56,24,4,4,2,4,1,1,1,3,3,2,3,2,3,0.2791994325
855376,3,2,1,2,1960,1,,,1,3,,,,,,,,1,,5,2,,,11,2,11,56,72,4,1,1,2,0,1,1,3,3,2,3,2,3,0.2791994325
855376,3,3,2,6,1989,1,,,2,6,6,110,110,1,2015,3,,6,,11,3,,,11,2,11,27,33,1,4,2,4,0,1,1,3,3,2,3,2,3,0.2791994325
855396,5,1,2,1,1966,1,,,1,5,,37,60,0,1985,2,2,12,1,3,1,,,11,2,11,50,,3,7,3,5,0,0,0,2,2,2,3,2,3,0.3556550597
855396,5,2,1,2,1963,1,,,1,4,,,,,,,,1,,3,2,,,11,2,11,53,72,3,1,1,2,1,1,1,2,2,2,3,2,3,0.3556550597
855396,5,3,1,6,1993,1,,,2,5,,98,100,0,2012,2,2,1,,19,3,,,11,2,11,23,51,1,1,1,4,0,1,1,2,2,2,3,2,3,0.3556550597
855396,5,4,2,6,1998,1,,,2,3,,,,,,,,17,,,4,,,11,2,11,18,,1,7,3,5,0,0,0,2,2,2,3,2,3,0.3556550597
855396,5,5,1,6,1999,1,,,2,3,,,,,,,,17,,,5,,,11,2,11,17,,1,7,3,5,0,0,0,2,2,2,3,2,3,0.3556550597
855402,7,1,2,1,1986,1,,,1,5,,68,100,0,2005,3,2,13,,,1,,,11,2,11,30,,1,7,3,5,0,0,0,1,1,2,3,2,3,0.4797400556
855402,7,2,1,2,1984,1,,,1,5,,60,100,0,2004,3,2,8,,6,2,,,11,2,11,32,71,1,5,2,4,1,1,1,1,1,2,3,2,3,0.4797400556
855402,7,3,2,6,2004,1,,,2,2,,,,,,,,17,,,3,,,11,2,11,12,,1,7,3,5,0,0,0,1,1,2,3,2,3,0.4797400556
855402,7,4,2,6,2006,1,,,2,2,,,,,,,,17,,,4,,,11,2,11,10,,1,7,3,5,0,0,0,1,1,2,3,2,3,0.4797400556
855402,7,5,1,6,2008,1,,,2,1,,,,,,,,17,,,5,,,11,2,11,8,,1,7,3,5,0,0,0,1,1,2,3,2,3,0.4797400556
855402,7,6,2,6,2010,1,,,2,1,,,,,,,,17,,,6,,,11,2,11,6,,1,7,3,5,0,0,0,1,1,2,3,2,3,0.4797400556
855402,7,7,1,6,2015,1,,,2,1,,,,,,,,18,,,,1,2015,11,2,11,1,,1,7,3,5,0,0,0,1,1,2,3,2,3,0.4797400556
855417,2,1,1,1,1961,2,2001,3,3,5,,8,10,0,1986,2,2,16,,,1,,,,,12,55,,4,6,3,5,0,1,0,1,2,2,3,2,4,0.5615315514
855417,2,2,2,3,1968,2,2003,3,3,5,,8,10,0,1986,3,2,1,,9,2,,,,,12,48,51,3,1,1,4,1,1,1,1,2,2,3,2,4,0.5615315514
855468,2,1,2,1,1955,2,1990,3,1,6,9,70,100,0,1980,3,,3,,13,1,,,,,1,61,23,4,2,1,4,0,1,1,2,2,1,1,2,3,0.3655514048
855468,2,2,1,2,1954,1,,,1,5,,40,60,0,1973,2,2,2,,13,2,,,1,1,1,62,41,4,2,1,4,1,1,1,2,2,1,1,2,3,0.3655514048
855534,2,1,1,1,1940,1,,,1,2,,,,,,,,15,8,1,1,,,16,3,16,76,,5,6,3,5,1,1,0,0,2,3,4,0,2,2.30178267
855534,2,2,2,2,1947,1,,,1,2,,,,,,,,15,1,1,2,,,16,3,16,69,,5,6,3,5,0,1,0,0,2,3,4,0,2,2.30178267
855681,2,1,1,1,1946,1,,,1,5,,52,60,0,1967,2,2,15,4,15,1,,,16,3,16,70,,5,6,3,5,1,1,0,0,1,3,4,2,3,0.1534913986
855681,2,2,2,2,1948,1,,,1,3,,,,,,,,13,,,2,,,16,3,16,68,,5,7,3,5,0,0,0,0,1,3,4,2,3,0.1534913986
855685,2,1,1,1,1941,1,,,1,3,,,,,,,,15,2,17,1,,,16,3,16,75,,5,6,3,5,1,1,0,0,1,3,4,2,3,0.1621762422
855685,2,2,2,2,1945,1,,,1,2,,,,,,,,13,,,2,,,16,3,16,71,,5,7,3,5,0,0,0,0,1,3,4,2,3,0.1621762422
855780,4,1,1,1,1975,1,2001,3,1,5,,7,10,0,1995,2,2,1,,9,1,,,,,11,41,75,2,1,1,4,1,1,1,2,2,2,3,0,2,4.6559728131
855780,4,2,2,2,1979,2,2006,2,1,7,9,9,10,0,2003,3,,1,,3,2,,,,,11,37,93,2,1,1,2,0,1,1,2,2,2,3,0,2,4.6559728131
855780,4,3,2,6,2014,1,,,2,1,,,,,,,,18,,,3,,,11,2,11,2,,1,7,3,5,0,0,0,2,2,2,3,0,2,4.6559728131
855780,4,4,2,6,2016,1,,,2,1,,,,,,,,18,,,,1,2016,11,2,11,0,,1,7,3,5,0,0,0,2,2,2,3,0,2,4.6559728131
855790,2,1,2,1,1953,1,,,1,5,,46,60,0,1972,2,2,15,4,11,1,,,11,2,11,63,,4,6,3,5,1,1,0,0,2,2,3,0,2,1.3217208274
855790,2,2,1,2,1949,1,,,1,3,,,,,,,,15,1,3,2,,,11,2,11,67,,5,6,3,5,0,1,0,0,2,2,3,0,2,1.3217208274
855792,2,1,2,1,1954,1,,,1,5,,48,60,0,1973,2,2,2,,7,1,,,11,2,11,62,41,4,2,1,4,0,1,1,2,2,2,3,0,2,1.3217208274
855792,2,2,1,2,1950,1,,,1,5,,42,60,0,1969,2,2,4,,3,2,,,12,2,11,66,12,5,3,1,2,1,1,1,2,2,2,3,0,2,1.3217208274
855809,2,1,2,1,1930,1,,,1,2,,,,,,,,16,,,1,,,11,2,11,86,,5,6,3,5,0,1,0,0,2,2,3,0,2,1.0414181241
855809,2,2,1,2,1925,1,,,1,2,,,,,,,,15,1,1,2,,,11,2,11,91,,5,6,3,5,1,1,0,0,2,2,3,0,2,1.0414181241
855839,4,1,1,1,1963,1,,,1,3,,,,,,,,2,,8,1,,,3,1,3,53,41,3,2,1,4,1,1,1,2,2,1,1,1,3,1.6273467118
855839,4,2,2,2,1972,1,,,1,5,,47,60,0,1991,5,2,3,,15,2,,,3,1,3,44,23,2,2,1,3,0,1,1,2,2,1,1,1,3,1.6273467118
855839,4,3,1,6,1999,1,,,2,3,,,,,,,,17,,,3,,,3,1,3,17,,1,7,3,5,0,0,0,2,2,1,1,1,3,1.6273467118
855839,4,4,1,6,2009,1,,,2,1,,,,,,,,17,,,4,,,3,1,3,7,,1,7,3,5,0,0,0,2,2,1,1,1,3,1.6273467118
855991,2,1,1,1,1946,1,,,1,5,,42,60,0,1964,2,2,15,2,17,1,,,3,1,3,70,,5,6,3,5,0,1,0,1,2,1,1,2,4,0.2565370305
855991,2,2,2,2,1953,1,,,1,3,,,,,,,,9,,7,2,,,3,1,3,63,52,4,5,2,4,1,1,1,1,2,1,1,2,4,0.2565370305
856128,2,1,2,1,1957,1,,,1,3,,,,,,,,13,,,1,,,10,2,10,59,,4,7,3,5,0,0,0,0,1,2,3,0,2,0.2482339551
856128,2,2,1,2,1946,1,,,1,3,,,,,,,,15,1,3,2,,,10,2,10,70,,5,6,3,5,1,1,0,0,1,2,3,0,2,0.2482339551
856134,3,1,2,1,1956,1,,,1,5,,56,60,0,1975,5,2,13,,,1,,,10,2,10,60,,4,7,3,5,0,1,1,1,2,2,3,0,2,0.6986265952
