nquest,nord,intper,attivp,tuttanno,mesilav,numadd,numdip,forgiu,etaimpresa,oretot,compfiss,dividut,enteprev,quopro,partecip
910632,1,1,1,1,12,2,0,7,18,45,15000,0,1,50,50000
910676,1,1,1,1,12,8,5,5,32,30,19000,0,1,48,300000
910676,2,1,1,1,12,8,5,5,32,40,19000,0,1,52,320000
911082,1,1,1,1,12,5,2,5,20,40,,0,1,30,50000
911082,2,2,1,1,12,5,2,5,20,35,,0,1,30,50000
911082,3,3,1,1,12,5,2,5,20,45,,0,1,40,50000
911919,1,1,1,1,12,3,2,4,42,45,,0,1,98,200000
912411,1,1,1,2,3,4,2,4,3,44,2400,200,1,99,30000
912849,1,1,1,1,12,7,7,1,36,60,30000,15000,1,100,700000
912897,1,1,1,1,12,5,2,4,5,45,9000,0,1,25,10000
912897,2,2,1,1,12,5,2,4,5,40,12000,0,1,55,20000
912906,2,2,1,1,12,1,0,5,1,45,6000,4500,1,50,16000
913070,1,1,1,1,12,3,1,7,30,38,24000,22000,1,50,100000
913346,2,1,1,1,12,4,3,4,21,10,0,15000,1,50,75000
913882,1,1,1,1,12,4,2,4,40,40,28000,16000,1,50,50000
914631,1,1,1,1,12,7,5,1,23,40,20000,20000,2,50,75000
914631,2,1,1,1,12,7,5,1,23,60,20000,20000,1,50,75000
915005,1,1,1,2,7,25,23,1,19,70,8000,8000,1,50,2000000
915006,1,1,1,1,12,8,5,5,2,60,7200,3000,1,10,20000
915234,1,1,2,3,,3,0,5,10,4,,0,1,40,15000
915234,2,2,1,1,12,3,0,5,10,40,8000,12000,1,40,15000
915234,3,3,1,1,12,3,0,5,10,40,8000,12000,1,20,7500
915250,1,1,1,1,12,8,1,1,5,50,0,10000,19,50,100000
915251,1,1,1,1,12,3,3,7,8,70,18000,0,1,50,40000
916083,1,1,1,1,12,1,0,7,50,10,6000,4000,1,100,200000
916409,1,1,1,1,12,2,1,1,3,70,,0,1,90,36000
916583,2,1,1,2,9,8,6,1,10,45,20000,5000,1,50,50000
916718,1,1,1,1,12,2,0,7,14,60,0,24000,1,90,9000
916718,2,1,1,3,,2,0,7,14,10,700,0,1,10,1000
916896,1,1,2,3,,4,0,4,39,1,10000,50000,1,40,400000
916989,1,1,1,1,12,300,0,6,40,40,16000,0,1,1,500
917166,1,1,2,2,4,4,1,5,36,50,0,6000,1,33,30000
917530,1,1,1,2,6,8,6,5,12,60,10000,6000,1,5,50000
917530,3,1,1,2,6,9,8,5,12,60,6000,6000,1,45,150000
918593,1,1,1,1,12,1,1,1,4,60,18000,0,1,50,100000
918648,3,1,1,1,12,2,0,6,1,45,450,9100,10,50,70000
919505,1,1,1,1,12,3,0,7,34,63,0,5000,1,30,100000
919505,2,2,1,1,12,3,0,7,34,50,0,5000,1,30,100000
919727,3,3,1,1,12,4,1,5,2,38,9600,100,1,30,2000
920569,1,1,1,1,12,8,4,1,9,70,2000,26000,1,10,20000
921010,2,1,1,1,12,2,0,4,30,30,10000,0,1,40,30000
922480,1,1,1,1,12,5,3,7,13,30,10000,5000,1,50,20000
922681,1,1,1,1,12,2,1,7,20,50,10000,8000,1,100,50000
924709,1,1,1,1,12,3,2,4,14,50,35000,20000,1,50,25000
924709,2,1,2,1,12,2,1,4,14,10,10000,5000,1,50,25000
925355,3,3,1,3,,1,1,2,8,30,7000,5000,1,40,200000
926992,1,1,1,1,12,1,0,4,23,40,,0,4,60,1500
927121,1,1,1,1,12,2,0,1,25,48,,0,1,50,20000
927125,2,2,1,1,12,2,0,7,22,40,12000,0,1,50,3000
928394,2,1,1,1,12,2,0,7,1,50,6000,0,1,50,10000
