nquest,nord,YL1,YL2,YTP1,YTP2,YTA1,YTA2,YTA31,YTA32,YL,YTP,YTA3,YTA,YT,YM,YCA1,YCA2,YCA,YCF1,YCF2,YCF3,YCF4,YCF,YC,Y,YMA1,YMA2
23821,1,0,0,7930,0,0,0,0,0,0,7930,0,0,7930,0,0,4200,4200,53.218527603,0,0,0,53.218527603,4253.2185276,12183.218528,0,0
23823,1,0,0,11817,0,0,0,0,0,0,11817,0,0,11817,0,0,6000,6000,38.17077636,0,0,0,38.17077636,6038.1707764,17855.170776,0,0
23823,2,13000,0,0,0,0,0,0,0,13000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13000,0,0
24147,1,0,0,18200,0,0,0,0,0,0,18200,0,0,18200,0,12000,14400,26400,51.313941339,0,1263.882038,0,1315.1959793,27715.195979,45915.195979,0,0
24147,2,20000,0,0,0,0,0,0,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,0,0
24149,1,0,0,12090,0,0,0,0,0,0,12090,0,0,12090,0,0,0,0,7.3305630485,0,0,0,7.3305630485,7.3305630485,12097.330563,0,0
24194,1,0,0,20800,0,0,0,0,0,0,20800,0,0,20800,0,0,9000,9000,146.61126097,0,1263.882038,0,1410.493299,10410.493299,31210.493299,0,0
24194,2,2500,0,0,0,0,0,0,0,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500,0,0
24194,3,18500,0,0,0,0,0,0,0,18500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18500,0,0
24194,4,15300,1050,0,0,0,0,0,0,16350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16350,0,0
24382,1,0,0,8060,0,0,0,0,0,0,8060,0,0,8060,0,0,3800,3800,31.290777027,0,0,0,31.290777027,3831.290777,11891.290777,0,0
24616,1,0,0,19650,0,0,0,0,0,0,19650,0,0,19650,0,0,0,0,14.661126097,0,0,0,14.661126097,14.661126097,19664.661126,0,0
24616,2,0,0,7150,0,0,0,0,0,0,7150,0,0,7150,0,0,0,0,0,0,0,0,0,0,7150,0,0
24760,1,0,0,10800,0,0,0,0,0,0,10800,0,0,10800,0,0,6000,6000,36.652815242,0,0,0,36.652815242,6036.6528152,16836.652815,0,0
24764,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000,6000,10.995844573,0,0,0,10.995844573,6010.9958446,6010.9958446,0,0
24764,2,19200,0,0,0,0,0,0,0,19200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19200,0,0
24764,3,0,0,0,0,0,1600,1200,0,0,0,1200,2800,2800,0,0,0,0,0,0,0,0,0,0,2800,0,0
24809,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8400,7800,16200,25.65697067,0,0,0,25.65697067,16225.656971,16225.656971,0,0
24809,2,0,0,14300,0,0,0,0,0,0,14300,0,0,14300,0,0,0,0,0,0,0,0,0,0,14300,0,0
24853,1,0,0,26000,0,0,0,0,0,0,26000,0,0,26000,0,0,8200,8200,87.323410683,0,57.608722996,0,144.93213368,8344.9321337,34344.932134,0,0
24853,2,20000,0,0,0,0,0,0,0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,0,0
25007,1,0,0,14170,0,0,0,0,0,0,14170,0,0,14170,0,0,4800,4800,13.168855217,0,0,0,13.168855217,4813.1688552,18983.168855,0,0
26349,1,0,0,13000,0,0,0,0,0,0,13000,0,0,13000,0,0,6000,6000,22.000910917,59.217684733,0,0,81.21859565,6081.2185957,19081.218596,0,0
27109,1,0,0,6000,0,0,0,0,0,0,6000,0,0,6000,0,0,1800,1800,0,0,0,0,0,1800,7800,0,0
27114,1,0,0,12000,0,0,0,0,0,0,12000,0,0,12000,0,0,4080,4080,14.661126097,0,0,0,14.661126097,4094.6611261,16094.661126,0,0
27116,1,0,0,8400,0,0,0,0,0,0,8400,0,0,8400,0,0,3600,3600,3.2987533718,0,0,0,3.2987533718,3603.2987534,12003.298753,0,0
27157,1,0,0,0,0,0,0,0,12000,0,0,-12000,-12000,-12000,9600,0,5400,5400,2.5464215527,0,0,0,2.5464215527,5402.5464216,3002.5464216,9600,0
27157,2,7200,0,0,0,0,0,0,0,7200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7200,0,0
27238,1,0,0,13000,0,0,0,0,0,0,13000,0,0,13000,0,0,3600,3600,36.652815242,0,0,0,36.652815242,3636.6528152,16636.652815,0,0
27238,2,15000,0,0,0,0,0,0,0,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15000,0,0
27509,1,0,0,20400,0,0,0,0,0,0,20400,0,0,20400,0,0,7200,7200,18.342241261,0,0,0,18.342241261,7218.3422413,27618.342241,0,0
27730,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9900,9900,14.661126097,0,0,0,14.661126097,9914.6611261,9914.6611261,0,0
27730,2,0,0,19110,0,0,0,0,0,0,19110,0,0,19110,0,0,0,0,0,0,0,0,0,0,19110,0,0
27730,4,16640,0,0,0,0,0,0,0,16640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16640,0,0
27734,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8400,8400,0,0,0,4.7035775734,-4.703577573,8395.2964224,8395.2964224,0,0
27734,2,0,0,15067,0,0,0,0,0,0,15067,0,0,15067,0,0,0,0,0,0,0,0,0,0,15067,0,0
